iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,1.79141259,0.00167567,0.04182027,1157.43322754,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.41744089
1,1.58921373,0.00147604,0.03914837,1131.72888184,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,1.42244089
2,1.41895771,0.00130815,0.03677475,1108.03295898,0.00009928,0.00025131,1.01001406,0.00728312,0.00998359,1.42737031
3,1.27739096,0.00116881,0.03469862,1085.77197266,0.00022094,0.00048649,1.01497495,0.00683601,0.01493992,1.43215692
4,1.16179919,0.00105536,0.03292347,1064.41845703,0.00038685,0.00079788,1.01986325,0.00568391,0.01985923,1.43670714
5,1.06823337,0.00096388,0.03142742,1043.49084473,0.00059290,0.00119261,1.02464843,0.00544354,0.02473296,1.44091988
6,0.99430990,0.00089203,0.03020561,1022.75463867,0.00083402,0.00165949,1.02930045,0.00661647,0.02955335,1.44468629
7,0.93839210,0.00083816,0.02925921,1002.26391602,0.00110345,0.00218022,1.03377604,0.00884978,0.03431409,1.44784558
8,0.89764476,0.00079944,0.02856117,982.03680420,0.00139288,0.00273580,1.03802657,0.01178359,0.03901077,1.45022964
9,0.86932313,0.00077310,0.02807736,962.16644287,0.00169245,0.00330615,1.04199743,0.01510416,0.04363917,1.45169926
10,0.84969538,0.00075542,0.02774820,942.68170166,0.00199105,0.00387164,1.04563165,0.01848515,0.04819547,1.45218468
11,0.83497614,0.00074260,0.02750729,923.65600586,0.00227736,0.00441212,1.04887867,0.02151089,0.05267573,1.45171428
12,0.82172251,0.00073121,0.02729141,905.09234619,0.00254104,0.00490617,1.05170083,0.02372525,0.05707615,1.45038927
13,0.80745786,0.00071875,0.02705373,886.96606445,0.00277374,0.00534255,1.05407786,0.02487121,0.06139325,1.44834149
14,0.79077351,0.00070383,0.02676636,869.33129883,0.00296969,0.00572941,1.05600703,0.02498752,0.06562360,1.44570005
15,0.77127016,0.00068603,0.02641970,852.31427002,0.00312611,0.00608903,1.05750430,0.02429309,0.06976332,1.44257963
16,0.74927038,0.00066566,0.02601773,836.03179932,0.00324305,0.00644612,1.05860066,0.02302809,0.07380848,1.43907726
17,0.72555673,0.00064349,0.02557366,820.55786133,0.00332283,0.00682223,1.05933785,0.02140763,0.07775565,1.43527365
18,0.70105994,0.00062045,0.02510438,805.94927979,0.00336959,0.00723513,1.05976617,0.01964718,0.08160120,1.43123806
19,0.67675698,0.00059753,0.02462901,792.19061279,0.00338861,0.00769770,1.05993938,0.01795525,0.08534255,1.42703044
