View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6109,0.6874,0.7365,0.7687,0.7909,0.8071,0.8194,0.8291,0.8364,0.8419,0.8464,0.8499,0.8524,0.8563,0.8597,0.8644,0.8679,0.8654,0.8260,0.7320,0.5315,0.2842,0.1482,0.0891
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3607,0.2313,0.1466,0.0982,0.0705,0.0536,0.0425,0.0348,0.0292,0.0249,0.0216,0.0189,0.0169,0.0150,0.0135,0.0123,0.0112,0.0107,0.0106,0.0106,0.0105,0.0104,0.0103,0.0102
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3267,0.1515,0.0769,0.0461,0.0312,0.0230,0.0178,0.0144,0.0120,0.0101,0.0087,0.0076,0.0068,0.0061,0.0055,0.0050,0.0046,0.0044,0.0040,0.0036,0.0033,0.0030,0.0026,0.0024
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6142,0.6951,0.7482,0.7834,0.8082,0.8268,0.8416,0.8536,0.8639,0.8718,0.8787,0.8851,0.8915,0.8958,0.9005,0.9049,0.9104,0.9179,0.9111,0.8940,0.8648,0.8128,0.6984,0.4760
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6114,0.6822,0.7226,0.7437,0.7537,0.7583,0.7593,0.7577,0.7564,0.7437,0.7265,0.7060,0.6902,0.6381,0.5847,0.5163,0.4791,0.5818,0.7256,0.7977,0.8438,0.8764,0.8966,0.9093
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5759,0.6148,0.6206,0.6034,0.5620,0.4960,0.4086,0.3130,0.2263,0.1707,0.1283,0.0997,0.0773,0.0663,0.0559,0.0480,0.0393,0.0308,0.0228,0.0176,0.0141,0.0117,0.0097,0.0082
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5191,0.4431,0.2934,0.1723,0.1070,0.0727,0.0532,0.0409,0.0326,0.0270,0.0227,0.0194,0.0167,0.0147,0.0131,0.0117,0.0104,0.0091,0.0075,0.0061,0.0052,0.0045,0.0039,0.0034
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6486,0.7393,0.7891,0.8189,0.8384,0.8513,0.8604,0.8667,0.8693,0.8744,0.8772,0.8763,0.8698,0.8708,0.8673,0.8588,0.8381,0.7269,0.3503,0.1389,0.0763,0.0507,0.0366,0.0278
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3840,0.2812,0.2037,0.1507,0.1154,0.0912,0.0741,0.0615,0.0519,0.0447,0.0390,0.0343,0.0304,0.0274,0.0247,0.0225,0.0204,0.0184,0.0167,0.0152,0.0138,0.0126,0.0115,0.0105
012,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3410,0.1817,0.1005,0.0630,0.0437,0.0326,0.0255,0.0207,0.0172,0.0145,0.0124,0.0108,0.0096,0.0085,0.0076,0.0069,0.0063,0.0061,0.0066,0.0073,0.0080,0.0087,0.0096,0.0108
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6209,0.7043,0.7583,0.7942,0.8196,0.8389,0.8542,0.8668,0.8775,0.8868,0.8950,0.9025,0.9089,0.9150,0.9202,0.9251,0.9287,0.9323,0.9403,0.9445,0.9471,0.9484,0.9479,0.9453
014,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6236,0.6990,0.7404,0.7622,0.7739,0.7789,0.7799,0.7776,0.7714,0.7627,0.7523,0.7398,0.7265,0.7085,0.6847,0.6524,0.6144,0.5852,0.8285,0.9082,0.9365,0.9500,0.9594,0.9662
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3502,0.2275,0.1498,0.1042,0.0768,0.0594,0.0477,0.0393,0.0331,0.0283,0.0245,0.0216,0.0192,0.0172,0.0155,0.0140,0.0128,0.0121,0.0123,0.0125,0.0125,0.0125,0.0123,0.0121
