frame_idx,boxing_bag_reproj_mean_px,active_pairs,mean_reproj_px
0,0.7070956230163574,3650,0.7070956230163574
1,1.2052727937698364,3521,1.2052727937698364
2,74.05902099609375,3511,74.05902099609375
3,1.4049630165100098,3486,1.4049630165100098
4,0.7300556302070618,3443,0.7300556302070618
5,0.4998950660228729,3435,0.4998950660228729
6,0.39229628443717957,3381,0.39229628443717957
7,0.3434864580631256,3291,0.3434864580631256
8,0.4166415333747864,3318,0.4166415333747864
9,0.4952809512615204,3230,0.4952809512615204
10,0.5295987725257874,3235,0.5295987725257874
11,0.6103020906448364,3239,0.6103020906448364
12,0.6869258284568787,3211,0.6869258284568787
13,0.7558333277702332,3206,0.7558333277702332
14,0.7958315014839172,3266,0.7958315014839172
15,0.8583282828330994,3286,0.8583282828330994
16,0.9368208646774292,3314,0.9368208646774292
17,0.9795544743537903,3312,0.9795544743537903
18,0.9620482921600342,3351,0.9620482921600342
19,0.9981321096420288,3377,0.9981321096420288
20,0.9946380853652954,3389,0.9946380853652954
21,0.9647284150123596,3382,0.9647284150123596
22,0.9816886186599731,3396,0.9816886186599731
23,0.9805451035499573,3418,0.9805451035499573
24,0.9786176085472107,3452,0.9786176085472107
25,1.0280331373214722,3475,1.0280331373214722
26,1.0103517770767212,3517,1.0103517770767212
27,1.018621802330017,3517,1.018621802330017
28,1.0181891918182373,3517,1.0181891918182373
29,0.9825823307037354,3507,0.9825823307037354
30,0.9486994743347168,3481,0.9486994743347168
31,0.9137008190155029,3452,0.9137008190155029
32,0.8550806045532227,3379,0.8550806045532227
33,0.8818063139915466,3261,0.8818063139915466
34,0.8155410289764404,3119,0.8155410289764404
35,0.8076456785202026,3069,0.8076456785202026
36,0.8350697755813599,3016,0.8350697755813599
37,0.8828437924385071,2919,0.8828437924385071
38,0.9556187987327576,2931,0.9556187987327576
39,0.9348205327987671,2859,0.9348205327987671
40,1.0189871788024902,2931,1.0189871788024902
41,0.9714771509170532,2886,0.9714771509170532
42,1.0068273544311523,2928,1.0068273544311523
43,0.9864907264709473,2921,0.9864907264709473
44,0.9673827886581421,2915,0.9673827886581421
45,0.9627017378807068,2910,0.9627017378807068
46,1.0041829347610474,2887,1.0041829347610474
47,1.001786708831787,2881,1.001786708831787
48,0.9497637152671814,2929,0.9497637152671814
49,0.9373700618743896,2971,0.9373700618743896
50,0.9066017270088196,2968,0.9066017270088196
51,0.9606226086616516,3089,0.9606226086616516
52,0.973082959651947,3146,0.973082959651947
53,0.8937785029411316,3152,0.8937785029411316
54,0.9117425680160522,3161,0.9117425680160522
55,0.9512093663215637,3143,0.9512093663215637
56,0.9399853348731995,3133,0.9399853348731995
57,0.9665889739990234,3088,0.9665889739990234
58,0.965730607509613,3052,0.965730607509613
59,0.9733338356018066,3207,0.9733338356018066
60,1.1293987035751343,3064,1.1293987035751343
61,1.5168182849884033,2957,1.5168182849884033
62,1.398187518119812,2868,1.398187518119812
63,1.211657166481018,2857,1.211657166481018
64,1.1033110618591309,2853,1.1033110618591309
65,1.0674055814743042,2900,1.0674055814743042
66,1.0591596364974976,2913,1.0591596364974976
67,0.9961026310920715,3082,0.9961026310920715
68,1.0684505701065063,3063,1.0684505701065063
69,1.0992424488067627,3062,1.0992424488067627
70,1.1262357234954834,3105,1.1262357234954834
71,1.1730356216430664,3154,1.1730356216430664
72,1.2832194566726685,3212,1.2832194566726685
73,1.2612736225128174,3164,1.2612736225128174
74,1.2008330821990967,3074,1.2008330821990967
75,1.3246266841888428,3039,1.3246266841888428
76,1.2599773406982422,3094,1.2599773406982422
77,1.2235536575317383,3138,1.2235536575317383
78,1.2405283451080322,3235,1.2405283451080322
79,1.2958000898361206,3257,1.2958000898361206
80,1.3050119876861572,3309,1.3050119876861572
