interaction_name,num_edges,mean_min_contact_distance_m,mean_max_contact_distance_m,mean_contact_distance_m,ncs,mean_penetration_m,max_penetration_m
interaction_02,5,0.0411853093886748,0.11540406346321105,0.07614850848913193,0.9999385714285715,0.0023627434857189655,0.007468432188034058
interaction_03,4,0.18854402843862772,0.2572588734328747,0.2251737406477332,0.9978328571428572,0.026383843272924423,0.07397180795669556
interaction_04,3,0.1721195951104164,0.24866983294487,0.2013365626335144,1.0,0.0,0.0
interaction_05,3,0.05465512862429023,0.10592424993713696,0.08079362971087296,0.9997371428571429,0.010655045509338379,0.02302698791027069
interaction_06,3,0.10022981216510136,0.17251626153786978,0.13257302095492682,0.9997714285714285,0.01068176981061697,0.02299448847770691
interaction_07,3,0.15447483553240696,0.21985353901982307,0.19132764947911104,0.99846,0.012583661824464798,0.03749571740627289
interaction_08,4,0.025648453505709767,0.0833485908806324,0.05405297363176942,0.9967785714285714,0.020499849691987038,0.045081302523612976
interaction_09,3,0.21336554487546286,0.34612006942431134,0.28565434118111926,0.9862085714285714,0.030567923560738564,0.08006167411804199
interaction_10,4,0.1522812806069851,0.2306216098368168,0.1856408230960369,1.0,0.0,0.0
interaction_11,4,0.07115263165906072,0.15832117293030024,0.10354829765856266,0.9999671428571428,0.026632780209183693,0.040792495012283325
interaction_14,3,0.011767697559359172,0.17075145989656448,0.0888591247300307,0.9990128571428571,0.01630687713623047,0.05180369317531586
interaction_15,5,0.16428856118582189,0.2565575107932091,0.21164152771234512,0.9967657142857143,0.03186243772506714,0.07173460721969604
interaction_16,3,0.010942610523973903,0.1145823672413826,0.054844401155908905,0.9998071428571429,0.0029718726873397827,0.015425190329551697
interaction_18,4,0.19079075194895267,0.3039850555360317,0.24845524691045284,0.99989,0.0079659977927804,0.019198894500732422
interaction_20,4,0.04890552529832348,0.19285526685416698,0.11826333869248629,0.9826614285714286,0.036635398864746094,0.08245506882667542
interaction_21,4,0.025574943923857063,0.11932092905044556,0.07065045926719904,0.9986071428571428,0.03725588321685791,0.07107450067996979
interaction_22,4,0.14764730632305145,0.2407889310270548,0.19455675408244133,0.9997257142857143,0.008920662105083466,0.02232837677001953
interaction_23,4,0.15422623977065086,0.23392778262495995,0.19583931006491184,1.0,0.0,0.0
interaction_24,3,0.4561421660085519,0.5663162618875504,0.5179990778366724,0.9686757142857143,0.03659387677907944,0.10524909198284149
interaction_26,2,0.07817030884325504,0.15967581048607826,0.11828907579183578,1.0,0.0,0.0
interaction_27,3,0.06125330179929733,0.15634486824274063,0.1055667797724406,0.9939042857142857,0.04408492520451546,0.09296102821826935
interaction_28,3,0.04162076868427297,0.14046860734621683,0.09066462392608325,0.9993885714285714,0.007214459590613842,0.014017373323440552
interaction_30,4,0.13224271743092686,0.2606162391602993,0.1962148305028677,0.9823771428571428,0.0220860093832016,0.06963296234607697
__mean__,82,0.11727084866117525,0.21105345015454552,0.16296061295341105,0.9956308695652174,0.017055044254369062,0.041164073607195976
