interaction_name,clip_score,num_renders
interaction_02,0.2480655958255132,3
interaction_03,0.2627539137999217,3
interaction_04,0.2593575070301692,3
interaction_05,0.2693854868412018,3
interaction_06,0.28205858667691547,3
interaction_07,0.24839861194292703,3
interaction_08,0.24949869016806284,3
interaction_09,0.3127484917640686,3
interaction_10,0.23691380520661673,3
interaction_11,0.2443662236134211,3
interaction_14,0.2611265579859416,3
interaction_15,0.29011476039886475,3
interaction_16,0.23258563876152039,3
interaction_18,0.29113078117370605,3
interaction_20,0.28294559319814044,3
interaction_21,0.25062193473180133,3
interaction_22,0.26269173125425976,3
interaction_23,0.24695525070031485,3
interaction_24,0.2614387770493825,3
interaction_26,0.24996540943781534,3
interaction_27,0.27669741710027057,3
interaction_28,0.30878110726674396,3
interaction_30,0.24373763799667358,3
__mean__,0.26401476130105445,69
