iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,16.008501052856445,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,0.0,0.0,60.0,0.045312125235795975,2.7187275141477585,30.0,0.07136799395084381,2.1410398185253143,800.0,0.013935916125774384,11.148732900619507,0.0,0.0,0.0,700000,700000,15797,10475,10475,2707
2,rigid,16.014999389648438,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,6.07115637762945e-08,6.07115637762945e-08,60.0,0.045754581689834595,2.7452749013900757,30.0,0.07157136499881744,2.1471409499645233,800.0,0.01390322856605053,11.122582852840424,0.0,0.0,0.0,700000,700000,15824,10475,10475,2683
3,rigid,16.01325225830078,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,2.474939151397848e-07,2.474939151397848e-07,60.0,0.04602622613310814,2.7615735679864883,30.0,0.07183894515037537,2.155168354511261,800.0,0.013870637863874435,11.096510291099548,0.0,0.0,0.0,700000,700000,15812,10475,10475,2657
4,rigid,15.99259090423584,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,5.603690738098521e-07,5.603690738098521e-07,60.0,0.046014513820409775,2.7608708292245865,30.0,0.07203616201877594,2.161084860563278,800.0,0.01383829303085804,11.070634424686432,0.0,0.0,0.0,700000,700000,15902,10475,10474,2634
5,rigid,15.941852569580078,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,9.99337089524488e-07,9.99337089524488e-07,60.0,0.04547875002026558,2.7287250012159348,30.0,0.0722976103425026,2.168928310275078,800.0,0.013805247843265533,11.044198274612427,0.0,0.0,0.0,700000,700000,15878,10475,10474,2609
6,rigid,15.965903282165527,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,1.5643977349100169e-06,1.5643977349100169e-06,60.0,0.046209122985601425,2.7725473791360855,30.0,0.0724860429763794,2.174581289291382,800.0,0.01377346646040678,11.018773168325424,0.0,0.0,0.0,700000,700000,15937,10475,10473,2587
7,rigid,15.962066650390625,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,2.2555516352440463e-06,2.2555516352440463e-06,60.0,0.04649878665804863,2.789927199482918,30.0,0.07260249555110931,2.1780748665332794,800.0,0.013742578215897083,10.994062572717667,0.0,0.0,0.0,700000,700000,15925,10475,10472,2568
8,rigid,15.886523246765137,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,3.0727978810318746e-06,3.0727978810318746e-06,60.0,0.04558686167001724,2.7352117002010345,30.0,0.07270112633705139,2.1810337901115417,800.0,0.013712843880057335,10.970275104045868,0.0,0.0,0.0,700000,700000,15912,10475,10472,2550
9,rigid,15.868117332458496,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,4.034970515931491e-06,4.034970515931491e-06,60.0,0.045634567737579346,2.7380740642547607,30.0,0.07274803519248962,2.1824410557746887,800.0,0.013684498146176338,10.94759851694107,0.0,0.0,0.0,700000,700000,16065,10475,10472,2534
10,rigid,15.87515640258789,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,5.127992608322529e-06,5.127992608322529e-06,60.0,0.04607561603188515,2.764536961913109,30.0,0.07285674661397934,2.18570239841938,800.0,0.013656139373779297,10.924911499023438,0.0,0.0,0.0,700000,700000,15958,10475,10472,2516
11,rigid,15.842082023620605,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,6.328231847874122e-06,6.328231847874122e-06,60.0,0.04592281952500343,2.755369171500206,30.0,0.0729338750243187,2.188016250729561,800.0,0.01362336240708828,10.898689925670624,0.0,0.0,0.0,700000,700000,16071,10475,10472,2499
12,rigid,15.806248664855957,50.0,9.71445146547012e-17,4.85722573273506e-15,150.0,0.0,0.0,1.0,7.654562978132162e-06,7.654562978132162e-06,60.0,0.04572345316410065,2.743407189846039,30.0,0.07297976315021515,2.1893928945064545,800.0,0.013591800816357136,10.873440653085709,0.0,0.0,0.0,700000,700000,16116,10475,10472,2483
