frame_idx,bicycle_reproj_mean_px,umbrella_reproj_mean_px,active_pairs,mean_reproj_px
0,0.7070952653884888,0.7071045637130737,6212,0.7070999145507812
1,0.2127423733472824,0.23708708584308624,5602,0.22491472959518433
2,0.27370667457580566,0.35845494270324707,5588,0.31608080863952637
3,0.34443098306655884,0.45967382192611694,5598,0.4020524024963379
4,0.38166481256484985,0.504031777381897,5598,0.4428482949733734
5,0.4483788311481476,0.5027745962142944,5590,0.4755766987800598
6,0.49464210867881775,0.6084945201873779,5593,0.551568329334259
7,0.5667197108268738,0.7011705636978149,5583,0.633945107460022
8,0.6146930456161499,0.8777938485145569,5572,0.7462434768676758
9,0.6871054768562317,0.9993273019790649,5553,0.8432164192199707
10,0.7174210548400879,1.1229103803634644,5543,0.9201657176017761
11,0.7421446442604065,1.1865917444229126,5529,0.9643682241439819
12,0.7696408629417419,1.3148752450942993,5517,1.0422580242156982
13,0.7856592535972595,1.4817566871643066,5503,1.1337080001831055
14,0.8047477602958679,1.5876178741455078,5490,1.1961828470230103
15,0.8335158228874207,1.7094630002975464,5448,1.2714893817901611
16,0.8503779172897339,1.742246389389038,5404,1.2963120937347412
17,0.8598892092704773,1.7450066804885864,5392,1.3024479150772095
18,0.8889111280441284,1.815285325050354,5351,1.3520982265472412
19,0.904282808303833,1.8285268545150757,5330,1.3664047718048096
20,0.9091516137123108,1.8083175420761108,5306,1.3587346076965332
21,0.919910192489624,1.699651837348938,5317,1.3097810745239258
22,0.8997492790222168,1.5778084993362427,5310,1.238778829574585
23,0.9252945780754089,1.5473315715789795,5320,1.2363131046295166
24,0.9169594049453735,1.4833801984786987,5328,1.2001698017120361
25,0.9190738201141357,1.3541148900985718,5332,1.136594295501709
26,0.9424711465835571,1.2811611890792847,5334,1.111816167831421
27,0.9388637542724609,1.3596080541610718,5339,1.1492359638214111
28,0.9233852624893188,1.31653892993927,5337,1.1199620962142944
29,0.9061504602432251,1.2124007940292358,5371,1.0592756271362305
30,0.9056582450866699,1.3852100372314453,5383,1.1454341411590576
31,0.892117977142334,1.5584850311279297,5390,1.2253015041351318
32,0.9256318807601929,1.8095921277999878,5403,1.3676120042800903
33,0.9146583080291748,2.1147069931030273,5397,1.514682650566101
34,0.8834942579269409,2.672659158706665,5381,1.7780766487121582
35,0.8426429033279419,2.8937604427337646,5370,1.868201732635498
36,0.787324070930481,2.7307024002075195,5362,1.7590131759643555
37,0.758822500705719,2.89780330657959,5358,1.828312873840332
38,0.7212855815887451,3.406744956970215,5360,2.0640153884887695
39,0.6768130660057068,3.543536424636841,5369,2.1101746559143066
40,0.6479588150978088,3.6745212078094482,5396,2.1612401008605957
41,0.5901175141334534,4.221959114074707,5399,2.406038284301758
42,0.611791729927063,4.660743236541748,5388,2.6362674236297607
43,0.5806646943092346,4.4482011795043945,5374,2.514432907104492
44,0.6036568284034729,4.651243686676025,5359,2.6274502277374268
45,0.5707319974899292,4.55141019821167,5331,2.5610711574554443
46,0.5302088856697083,4.440881729125977,5273,2.4855453968048096
47,0.5454503297805786,4.392303466796875,5271,2.468876838684082
48,0.562325656414032,4.329423904418945,5314,2.4458746910095215
49,0.604802668094635,4.213473320007324,5344,2.4091379642486572
50,0.5958020091056824,4.029086589813232,5351,2.3124442100524902
51,0.571901798248291,3.911792039871216,5382,2.241847038269043
52,0.6729716658592224,3.795308828353882,5392,2.234140157699585
53,0.7791534662246704,3.595602035522461,5437,2.187377691268921
54,0.904346227645874,3.534010887145996,5434,2.2191786766052246
55,0.874183177947998,3.420835494995117,5425,2.1475093364715576
56,0.8340973854064941,3.360564947128296,5426,2.0973310470581055
57,0.8547372221946716,3.3379065990448,5413,2.0963218212127686
58,0.8718015551567078,3.284536123275757,5405,2.0781688690185547
59,0.740931510925293,3.260167360305786,5402,2.00054931640625
60,0.8431054949760437,3.185786485671997,5412,2.0144460201263428
61,0.9057585000991821,3.1499462127685547,5403,2.0278522968292236
62,0.9350793361663818,3.2415359020233154,5389,2.0883076190948486
63,0.9161812663078308,3.1746397018432617,5384,2.045410394668579
64,0.7563443183898926,3.158280611038208,5381,1.9573124647140503
65,0.8196832537651062,3.191538095474243,5381,2.005610704421997
66,0.8545437455177307,3.2699077129364014,5368,2.062225818634033
67,0.925678551197052,3.401095151901245,5369,2.163386821746826
68,0.8775726556777954,3.5103261470794678,5372,2.1939494609832764
69,0.9489191174507141,3.6785666942596436,5339,2.3137428760528564
70,0.9716379046440125,4.0088019371032715,5343,2.490219831466675
71,1.0035338401794434,4.22285270690918,5334,2.6131932735443115
72,0.8746368288993835,4.48093843460083,5372,2.6777875423431396
73,0.8178651928901672,4.658946990966797,5397,2.738406181335449
74,0.7457022070884705,4.90394401550293,5408,2.8248231410980225
75,0.7387909889221191,5.167209148406982,5413,2.953000068664551
76,0.7313588857650757,5.459171295166016,5407,3.0952651500701904
77,0.7184345722198486,5.8036041259765625,5416,3.261019229888916
78,0.7700172066688538,6.052569389343262,5405,3.4112932682037354
79,0.8171033263206482,6.3230438232421875,5395,3.5700736045837402
80,0.8877109289169312,6.687075138092041,5388,3.787393093109131
