interaction_name,clip_score,num_renders
interaction_02,0.25308699905872345,10
interaction_03,0.2671477049589157,10
interaction_04,0.28226022273302076,10
interaction_05,0.2656960666179657,10
interaction_06,0.2931199908256531,10
interaction_07,0.25337107479572296,10
interaction_08,0.26946689039468763,10
interaction_09,0.2921992242336273,1
interaction_10,0.2381921961903572,10
interaction_11,0.2593949943780899,10
interaction_14,0.26778808832168577,10
interaction_15,0.2977525621652603,10
interaction_16,0.25055347830057145,10
interaction_18,0.2743860125541687,10
interaction_20,0.2927352249622345,10
interaction_21,0.2566841647028923,10
interaction_22,0.28445837646722794,10
interaction_23,0.23309947699308395,10
interaction_24,0.28356516659259795,10
interaction_26,0.27214421033859254,10
interaction_27,0.2919993132352829,10
interaction_28,0.2985967993736267,10
interaction_30,0.2890913158655167,10
__mean__,0.2724691110460654,221
