interaction_name,num_edges,mean_min_contact_distance_m,mean_max_contact_distance_m,mean_contact_distance_m,ncs,mean_penetration_m,max_penetration_m
interaction_02,5,0.0067312685656361285,0.07610578313469887,0.03231800757348537,0.9991985714285714,0.005647655576467514,0.03432009369134903
interaction_03,4,0.008094878896372393,0.08212190493941307,0.03737199725583196,0.99934,0.0029482487589120865,0.011478348635137081
interaction_04,3,0.002209442745273312,0.04573932538429896,0.018447650596499443,0.9995685714285715,0.002391447313129902,0.0069113983772695065
interaction_05,3,0.001940366152363519,0.05641792590419451,0.01834917813539505,0.9997685714285715,0.003599955001845956,0.011993913911283016
interaction_06,3,0.0017649073464175065,0.0531767209370931,0.021271984403332073,0.99961,0.0029720456805080175,0.009849539957940578
interaction_07,3,0.0020823468027325967,0.059467993676662445,0.01985735942920049,0.9998542857142857,0.003146922215819359,0.00972841028124094
interaction_08,4,0.03139833325985819,0.1101241959258914,0.06489633582532406,0.9999871428571429,0.0017255720449611545,0.0038589625619351864
interaction_09,3,0.000994183918616424,0.06977372492353122,0.02121538110077381,0.99965,0.0022059439215809107,0.01497582346200943
interaction_10,4,0.0032693820248823613,0.06738790590316057,0.02343857125379145,0.9998142857142858,0.004085628781467676,0.016801346093416214
interaction_11,4,0.007818874495569617,0.07966241799294949,0.03229732811450958,0.99854,0.011102319695055485,0.026857497170567513
interaction_14,3,0.00287981319706887,0.11011002957820892,0.05068208153049151,0.9994285714285714,0.01016729325056076,0.03745995834469795
interaction_15,5,0.002656742767430842,0.08868462070822716,0.032958255335688594,0.9995457142857143,0.004264024086296558,0.014352977275848389
interaction_16,3,0.0018954904129107792,0.12426284203926723,0.043736317505439125,0.9997185714285715,0.0032839204650372267,0.014981121756136417
interaction_18,4,0.041992534446762875,0.13243948854506016,0.08518700953572989,0.9999028571428571,0.005155547522008419,0.021852394565939903
interaction_20,4,0.007889904751209542,0.14097260683774948,0.07074685487896204,0.9956771428571428,0.009965676814317703,0.029052473604679108
interaction_21,4,0.010609008386381902,0.11293224152177572,0.054240372497588396,0.9995442857142857,0.014659540727734566,0.04171644523739815
interaction_22,4,0.0017655522242421284,0.0630351435393095,0.024831073824316263,0.9996114285714286,0.0029315268620848656,0.011488622985780239
interaction_23,4,0.0020849385909968987,0.05816381750628352,0.022766094654798508,0.9997028571428571,0.005978264845907688,0.02620122581720352
interaction_24,3,0.0019655528400714197,0.09037558486064275,0.029319896052281063,0.9992128571428571,0.0026138899847865105,0.009153426624834538
interaction_26,2,0.0024449593474855646,0.09326496347784996,0.03343736194074154,0.99978,0.0018548710504546762,0.006354790646582842
interaction_27,3,0.002693765292254587,0.08367764453093211,0.03512374932567278,0.9994242857142858,0.005443869158625603,0.012694635428488255
interaction_28,3,0.004049211818103989,0.07608913009365399,0.03071022064735492,0.9997985714285714,0.0039137681014835835,0.01006160955876112
interaction_30,4,0.05465279959025793,0.13340828195214272,0.08708084840327501,0.9992471428571429,0.007392862346023321,0.01668650098145008
__mean__,82,0.008864532950995626,0.08727801277882595,0.03870799694871665,0.9993880745341616,0.005106556269785632,0.01734050073782387
