frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,2712,2712.0,0.7071002125740051,0.7071067690849304,0.7071283459663391,0.0,0.0,0.0,0.0,0.0
1,2255,2255.0,0.6417962312698364,0.6105841398239136,1.0912522077560425,1.5597198007493094,0.10007923096418381,0.07412220537662506,-0.061401862651109695,0.027414638549089432
2,2115,2115.0,1.1077755689620972,1.0206515789031982,2.0098235607147217,3.2237935795156005,0.20323766767978668,0.1540619283914566,-0.13142624497413635,0.017251411452889442
3,1920,1920.0,1.5055683851242065,1.4341423511505127,2.556875228881836,4.7756114917254395,0.31370532512664795,0.24480034410953522,-0.1959303915500641,-0.009752386249601841
4,1720,1720.0,2.0547802448272705,2.022080421447754,3.3052010536193848,6.735457007545613,0.45283374190330505,0.35783466696739197,-0.2732069492340088,-0.04868988320231438
5,1648,1648.0,2.2252695560455322,2.1027917861938477,3.6918649673461914,8.377143347203306,0.594878613948822,0.47475388646125793,-0.3478561043739319,-0.08651859313249588
6,1605,1605.0,2.5541470050811768,2.372485876083374,4.3242316246032715,10.361924603022727,0.7331362962722778,0.5894408822059631,-0.4168015420436859,-0.1277683973312378
7,1589,1589.0,2.871948719024658,2.560673952102661,5.164662837982178,11.877299400585729,0.8408930897712708,0.6872656941413879,-0.45876362919807434,-0.15589414536952972
8,1612,1612.0,3.163205623626709,2.808685302734375,5.78336763381958,12.928194013831183,0.9059348106384277,0.7592926025390625,-0.4648251235485077,-0.16772089898586273
9,1740,1740.0,3.4061741828918457,2.9488611221313477,6.640579700469971,13.7954692365246,0.9460143446922302,0.812690258026123,-0.45179325342178345,-0.17424272000789642
10,1734,1734.0,3.592954635620117,3.197526693344116,6.8784284591674805,14.487638899466399,0.9837310314178467,0.8592735528945923,-0.4370121955871582,-0.19594897329807281
11,1690,1690.0,3.815509080886841,3.5018038749694824,7.129340171813965,14.907012514505181,1.0017286539077759,0.8852850794792175,-0.4126843810081482,-0.22231152653694153
