iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,55.326316833496094,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,0.0,0.014658261090517044,0.0,0.0,0.34647729992866516,0.0,800.0,0.06915789842605591,55.32631874084473,0.0,0.0,0.0,700000,700000,2021,10475,10475,1337
2,rigid,55.019962310791016,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,0.015007503751875938,0.014780309982597828,0.00022181555751772628,0.0,0.3428418040275574,0.0,800.0,0.06877467781305313,55.019742250442505,0.0,0.0,0.0,700000,700000,2029,10475,10475,1348
3,rigid,54.7149772644043,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,9.99337089524488e-07,9.99337089524488e-07,0.030015007503751877,0.014617450535297394,0.0004387428875026732,0.0,0.3395281434059143,0.0,800.0,0.06839317083358765,54.71453666687012,0.0,0.0,0.0,700000,700000,2027,10475,10475,1358
4,rigid,54.41208267211914,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,2.2485082808998413e-06,2.2485082808998413e-06,0.04502251125562781,0.01508114580065012,0.0006789910565575341,0.0,0.3362732529640198,0.0,800.0,0.0680142492055893,54.411399364471436,0.0,0.0,0.0,700000,700000,2031,10475,10475,1368
5,rigid,54.1114387512207,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,3.997348358097952e-06,3.997348358097952e-06,0.060030015007503754,0.015270373784005642,0.0009166807674240505,0.0,0.3328336179256439,0.0,800.0,0.06763815134763718,54.11052107810974,0.0,0.0,0.0,700000,700000,2032,10475,10475,1379
6,rigid,53.81290817260742,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,6.2575909396400675e-06,6.2575909396400675e-06,0.0750375187593797,0.01489419024437666,0.0011176230798681836,0.0,0.3289868235588074,0.0,800.0,0.06726472824811935,53.81178259849548,0.0,0.0,0.0,700000,700000,2035,10475,10475,1392
7,rigid,53.51713180541992,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,9.008113920572214e-06,9.008113920572214e-06,0.09004502251125562,0.014994461089372635,0.0013501765863367053,0.0,0.32475340366363525,0.0,800.0,0.06689471751451492,53.51577401161194,0.0,0.0,0.0,700000,700000,2044,10475,10475,1407
8,rigid,53.222049713134766,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,1.224187872139737e-05,1.224187872139737e-05,0.10505252626313157,0.015090537257492542,0.0015852990615675007,0.0,0.3224431872367859,0.0,800.0,0.06652556359767914,53.22045087814331,0.0,0.0,0.0,700000,700000,2055,10475,10475,1414
9,rigid,52.928585052490234,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,1.60081654030364e-05,1.60081654030364e-05,0.12006003001500751,0.015230960212647915,0.0018286295402878939,0.0,0.3210623562335968,0.0,800.0,0.06615842133760452,52.92673707008362,0.0,0.0,0.0,700000,700000,2021,10475,10475,1417
10,rigid,52.63643264770508,100.0,9.25185924440376e-16,9.25185924440376e-14,250.0,0.0,0.0,1.0,2.0278821466490626e-05,2.0278821466490626e-05,0.13506753376688344,0.015285788103938103,0.002064613700882085,0.0,0.31767916679382324,0.0,800.0,0.06579293310642242,52.63434648513794,0.0,0.0,0.0,700000,700000,1993,10475,10475,1429
