iter,stage,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,55.339847564697266,20.0,1.15648240555047e-16,2.31296481110094e-15,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.015014102682471275,0.0,0.0,0.3462817370891571,0.0,800.0,0.06917481124401093,55.33984899520874,0.0,0.0,0.0,700000,700000,1095,10475,10475,1338
2,rigid,54.895164489746094,20.0,1.495611968493904e-06,2.991223936987808e-05,50.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,0.0050025012506253125,0.015144252218306065,7.575914066186125e-05,0.0050025012506253125,0.3416614234447479,0.0017091616980727759,800.0,0.06861668825149536,54.89335060119629,0.0,0.0,0.0,700000,700000,1080,10475,10475,1351
3,rigid,54.454288482666016,20.0,5.631617568724323e-06,0.00011263235137448646,50.0,0.0,0.0,1.0,9.99337089524488e-07,9.99337089524488e-07,0.010005002501250625,0.015124856494367123,0.00015132422705719983,0.010005002501250625,0.3383837640285492,0.003385530405488236,800.0,0.06806329637765884,54.450637102127075,0.0,0.0,0.0,700000,700000,1100,10475,10475,1359
4,rigid,54.014766693115234,20.0,1.1155720130773261e-05,0.00022311440261546522,50.0,0.0,0.0,1.0,2.2485082808998413e-06,2.2485082808998413e-06,0.015007503751875938,0.015226355753839016,0.00022850959110313682,0.015007503751875938,0.33391931653022766,0.005011295395651241,800.0,0.06751162558794022,54.00930047035217,0.0,0.0,0.0,700000,700000,1103,10475,10475,1372
5,rigid,53.57732391357422,20.0,1.7890699382405728e-05,0.00035781398764811456,50.0,0.0,0.0,1.0,4.006736617157003e-06,4.006736617157003e-06,0.02001000500250125,0.01547965407371521,0.0003097479554520302,0.02001000500250125,0.32906702160835266,0.0065846327485413235,800.0,0.0669625848531723,53.57006788253784,0.0,0.0,0.0,700000,700000,1101,10475,10475,1387
6,rigid,53.142093658447266,20.0,2.6497025828575715e-05,0.0005299405165715143,50.0,0.0,0.0,1.0,6.245856184250442e-06,6.245856184250442e-06,0.02501250625312656,0.015884285792708397,0.0003973057977165682,0.02501250625312656,0.32502055168151855,0.008129578581328628,800.0,0.06641628593206406,53.133028745651245,0.0,0.0,0.0,700000,700000,1091,10475,10475,1399
7,rigid,52.709144592285156,20.0,3.7482262996491045e-05,0.0007496452599298209,50.0,0.0,0.0,1.0,8.994033123599365e-06,8.994033123599365e-06,0.030015007503751877,0.015784233808517456,0.0004737638962036255,0.030015007503751877,0.3221866488456726,0.009670434682711533,800.0,0.06587280333042145,52.69824266433716,0.0,0.0,0.0,700000,700000,1094,10475,10475,1406
8,rigid,52.27763366699219,20.0,5.1112416258547455e-05,0.001022248325170949,50.0,0.0,0.0,1.0,1.225830419571139e-05,1.225830419571139e-05,0.03501750875437719,0.015609784983098507,0.0005466157822995976,0.03501750875437719,0.31869807839393616,0.011160012750162847,800.0,0.0653311163187027,52.26489305496216,0.0,0.0,0.0,700000,700000,1096,10475,10475,1416
9,rigid,51.84807205200195,20.0,6.755555659765378e-05,0.0013511111319530755,50.0,0.0,0.0,1.0,1.602694646862801e-05,1.602694646862801e-05,0.0400200100050025,0.015924440696835518,0.0006372962760114264,0.0400200100050025,0.3150474727153778,0.012608203010120172,800.0,0.06479182094335556,51.83345675468445,0.0,0.0,0.0,700000,700000,1089,10475,10475,1427
10,rigid,51.42134094238281,20.0,8.674174750922248e-05,0.0017348349501844496,50.0,0.0,0.0,1.0,2.0278821466490626e-05,2.0278821466490626e-05,0.04502251125562781,0.016091221943497658,0.0007244672210679285,0.04502251125562781,0.3114740252494812,0.014023342807630469,800.0,0.06425604969263077,51.404839754104614,0.0,0.0,0.0,700000,700000,1090,10475,10475,1438
