interaction_name,clip_score,num_renders
interaction_02,0.25885499715805055,10
interaction_03,0.2627200111746788,10
interaction_04,0.26618871986866,10
interaction_05,0.26780839562416076,10
interaction_06,0.3045687317848206,10
interaction_07,0.2521873340010643,10
interaction_08,0.2591337412595749,10
interaction_09,0.3003173768520355,1
interaction_10,0.24242002367973328,10
interaction_11,0.24826610535383226,10
interaction_14,0.26014622747898103,10
interaction_15,0.3047407239675522,10
interaction_16,0.256635819375515,10
interaction_18,0.28385388255119326,10
interaction_20,0.26802587509155273,10
interaction_21,0.2568560138344765,10
interaction_22,0.28266623318195344,10
interaction_23,0.23987570255994797,10
interaction_24,0.26115926951169965,10
interaction_26,0.26767773777246473,10
interaction_27,0.28585087656974795,10
interaction_28,0.30432766675949097,10
interaction_30,0.2842519015073776,10
__mean__,0.270371015952981,221
