interaction_name,clip_score,num_renders
interaction_02,0.22472791671752929,10
interaction_03,0.24772016257047652,10
interaction_04,0.2594675779342651,10
interaction_05,0.25415159314870833,10
interaction_06,0.28106986582279203,10
interaction_07,0.2517963469028473,10
interaction_08,0.2346622809767723,10
interaction_09,0.2910787761211395,1
interaction_10,0.219253771007061,10
interaction_11,0.24539380222558976,10
interaction_14,0.22355667501688004,10
interaction_15,0.2803447604179382,10
interaction_16,0.24244843125343324,10
interaction_18,0.29636496007442475,10
interaction_20,0.26422654241323473,10
interaction_21,0.2384297728538513,10
interaction_22,0.25364385098218917,10
interaction_23,0.2183712527155876,10
interaction_24,0.2607179403305054,10
interaction_26,0.2783533543348312,10
interaction_27,0.30764675736427305,10
interaction_28,0.32228396236896517,10
interaction_30,0.27176525443792343,10
__mean__,0.2594554612170095,221
