frame_idx,num_active,sum_weight,visibility_mean,mask_gate_mean,reproj_mean_px,reproj_p50_px,reproj_p90_px
0,2118,2118.0,1.0,1.0,0.7071018815040588,0.7071067690849304,0.7071499228477478
1,2116,2116.0,1.0,0.9990556836128235,0.5995192527770996,0.5394288301467896,1.049708366394043
2,2106,2106.0,1.0,0.9943342804908752,1.0676002502441406,0.9690951108932495,1.9271869659423828
3,2081,2081.0,1.0,0.9825306534767151,1.5626044273376465,1.4595489501953125,2.8624660968780518
4,2022,2022.0,0.9693106412887573,0.9589235186576843,2.0942537784576416,1.9927884340286255,3.720632314682007
5,1954,1954.0,0.9419263601303101,0.9386213421821594,2.0274884700775146,1.886082649230957,3.60319185256958
6,1942,1942.0,0.9367327690124512,0.9310670495033264,2.182285785675049,2.092186450958252,3.8405332565307617
7,2047,2047.0,0.984891414642334,0.9683663845062256,2.4374804496765137,2.3149185180664062,4.3673200607299805
8,2069,2069.0,0.9905571341514587,0.9768649339675903,2.1283979415893555,2.017669677734375,3.9314217567443848
9,2104,2104.0,1.0,0.9933899641036987,1.7878268957138062,1.8040862083435059,3.326951265335083
10,2112,2112.0,1.0,0.9971671104431152,1.59087073802948,1.6272473335266113,3.0165159702301025
11,2110,2110.0,1.0,0.9962228536605835,1.4372403621673584,1.45353364944458,2.6654675006866455
12,2111,2111.0,1.0,0.9966949820518494,1.3987640142440796,1.3903546333312988,2.518181562423706
13,2112,2112.0,1.0,0.9971671104431152,1.4720091819763184,1.352009654045105,2.6016390323638916
14,2107,2107.0,1.0,0.9948064088821411,1.5925060510635376,1.49187171459198,2.7448151111602783
15,2104,2104.0,1.0,0.9933899641036987,1.754082441329956,1.6304807662963867,2.981902599334717
16,2103,2103.0,1.0,0.9929178357124329,1.9486443996429443,1.768207311630249,3.367811441421509
17,2102,2102.0,1.0,0.992445707321167,2.323399782180786,2.0861494541168213,4.068187713623047
18,2092,2092.0,1.0,0.987724244594574,2.4392595291137695,2.182630777359009,4.350391864776611
19,2096,2096.0,1.0,0.9896128177642822,3.0730133056640625,2.7404942512512207,5.643539905548096
20,2082,2082.0,1.0,0.9830028414726257,3.9906423091888428,3.513607978820801,7.719381809234619
21,2069,2069.0,1.0,0.9768649339675903,4.369203090667725,3.7831947803497314,8.731063842773438
22,2051,2051.0,1.0,0.9683663845062256,4.398578643798828,3.7990596294403076,8.846342086791992
23,2058,2058.0,1.0,0.9716714024543762,4.274710178375244,3.712468147277832,8.552054405212402
24,2047,2047.0,1.0,0.9664778113365173,4.3627095222473145,3.8015332221984863,8.814105033874512
25,2066,2066.0,1.0,0.9754485487937927,4.546562194824219,4.029584884643555,9.208714485168457
26,2045,2045.0,1.0,0.9655334949493408,5.072722434997559,4.611724376678467,10.239995002746582
27,2067,2067.0,1.0,0.9759206771850586,5.697378158569336,5.0503249168396,11.532865524291992
28,2029,2029.0,0.9891406893730164,0.9678942561149597,6.447439670562744,5.8423967361450195,13.013992309570312
29,2032,2032.0,0.9867799878120422,0.9669499397277832,7.739712238311768,7.129189491271973,15.265348434448242
30,2030,2030.0,0.9839470982551575,0.9678942561149597,8.106034278869629,7.620359897613525,15.734099388122559
31,2049,2049.0,0.9962228536605835,0.9702549576759338,7.159061908721924,6.655623912811279,13.870001792907715
32,2064,2064.0,1.0,0.9745042324066162,6.129191875457764,5.708687782287598,11.971636772155762
33,2042,2042.0,1.0,0.9641170501708984,5.573062896728516,5.138038635253906,10.865741729736328
34,2035,2035.0,1.0,0.9608120918273926,5.250852108001709,4.855686187744141,10.07770824432373
35,2044,2044.0,1.0,0.965061366558075,5.2452712059021,4.8506059646606445,10.095932006835938
36,2051,2051.0,1.0,0.9683663845062256,5.632320404052734,5.208609580993652,10.926376342773438
37,2050,2050.0,1.0,0.9678942561149597,5.916209697723389,5.470624923706055,11.554635047912598
38,2048,2048.0,0.9995278716087341,0.9674220681190491,6.456405162811279,5.906399250030518,12.633204460144043
39,2051,2051.0,1.0,0.9683663845062256,7.018867492675781,6.4105377197265625,13.865522384643555
40,2049,2049.0,1.0,0.9674220681190491,7.623255729675293,6.992005825042725,14.86213493347168
41,2042,2042.0,1.0,0.9641170501708984,8.492459297180176,7.763104438781738,16.612834930419922
42,2008,2008.0,0.9863077998161316,0.9603399038314819,9.099601745605469,8.08868408203125,18.321626663208008
43,1940,1940.0,0.9584513306617737,0.9532577991485596,8.951526641845703,7.844784736633301,18.32340431213379
44,1900,1900.0,0.937204897403717,0.9480642080307007,8.891963005065918,7.671929359436035,18.493974685668945
45,1603,1603.0,0.7832860946655273,0.9438149333000183,7.270683765411377,6.013319969177246,15.528239250183105
46,1410,1410.0,0.6902738213539124,0.9338998794555664,6.286670684814453,5.107326507568359,13.723485946655273
47,1241,1241.0,0.6189801692962646,0.9612842202186584,5.430413246154785,4.435170650482178,11.387433052062988
48,1104,1104.0,0.5623229146003723,0.9589235186576843,4.785874843597412,3.8853650093078613,9.541044235229492
49,1100,1100.0,0.5604343414306641,0.9589235186576843,4.805541515350342,3.9300754070281982,9.34435749053955
50,1111,1111.0,0.5599622130393982,0.9636449217796326,4.672699928283691,3.880781650543213,9.155740737915039
51,1486,1486.0,0.7204909920692444,0.9475920796394348,6.426413536071777,5.421924591064453,13.486629486083984
52,1785,1785.0,0.8649669289588928,0.9636449217796326,7.84583044052124,6.583549976348877,16.565099716186523
53,2038,2038.0,0.9943342804908752,0.9678942561149597,8.000957489013672,7.271681785583496,15.772726058959961
54,2060,2060.0,1.0,0.972615659236908,6.908913612365723,6.342935562133789,13.66133975982666
55,2055,2055.0,1.0,0.9702549576759338,5.299813747406006,4.894542217254639,10.325406074523926
56,2066,2066.0,1.0,0.9754485487937927,4.403069972991943,4.12307596206665,8.371910095214844
57,2083,2083.0,1.0,0.9834749698638916,2.696519613265991,2.4171199798583984,5.2501678466796875
58,2031,2031.0,1.0,0.9589235186576843,1.8487299680709839,1.4309388399124146,3.7832436561584473
59,2023,2023.0,1.0,0.9551463723182678,1.6128889322280884,1.2312475442886353,3.4404473304748535
60,2087,2087.0,1.0,0.9853635430335999,1.5873850584030151,1.1932799816131592,3.320976734161377
61,2096,2096.0,1.0,0.9896128177642822,1.893722414970398,1.407507061958313,3.962517499923706
62,2099,2099.0,1.0,0.9910292625427246,2.544981002807617,2.285238742828369,4.920076847076416
63,2092,2092.0,1.0,0.987724244594574,3.2680556774139404,3.0112931728363037,6.285170078277588
64,2092,2092.0,1.0,0.987724244594574,3.7573800086975098,3.4665350914001465,7.288445472717285
65,2084,2084.0,1.0,0.9839470982551575,4.051149368286133,3.7013587951660156,7.910976886749268
66,2062,2062.0,1.0,0.9735599756240845,5.486722469329834,5.118629455566406,10.373035430908203
67,2054,2054.0,1.0,0.969782829284668,6.743819713592529,6.328941345214844,12.64803409576416
68,2044,2044.0,0.995278537273407,0.969782829284668,8.491249084472656,7.848737716674805,16.43379020690918
69,1648,1648.0,0.7979225516319275,0.9641170501708984,7.256821155548096,5.976552963256836,15.844633102416992
70,1598,1598.0,0.7686496376991272,0.9584513306617737,7.117154598236084,5.974509239196777,15.345246315002441
71,1288,1288.0,0.6213408708572388,0.9490084648132324,5.453463077545166,4.763491630554199,10.601319313049316
72,1254,1254.0,0.6118980050086975,0.9768649339675903,5.594616889953613,4.75958251953125,10.807623863220215
73,1218,1218.0,0.5939565300941467,0.9749763607978821,5.38088846206665,4.602315902709961,10.18354320526123
74,1245,1245.0,0.6019830107688904,0.9395655989646912,5.437066078186035,4.740597724914551,10.148323059082031
75,1435,1435.0,0.693578839302063,0.9508970379829407,6.500242710113525,5.342485427856445,14.030608177185059
76,2022,2022.0,0.980169951915741,0.9745042324066162,9.101808547973633,8.195822715759277,18.377656936645508
77,2055,2055.0,1.0,0.9702549576759338,6.935441493988037,6.317449569702148,13.873388290405273
78,2073,2073.0,1.0,0.9787535071372986,5.597580909729004,5.146551132202148,10.721694946289062
79,2029,2029.0,1.0,0.9579792022705078,4.14307165145874,3.7530157566070557,7.395201206207275
80,2022,2022.0,1.0,0.9546741843223572,2.9746387004852295,2.583148956298828,5.475630760192871
