iter,stage,total,e_img,e_smooth,e_vel,active_pairs,sum_weight,mean_reproj_px
20,adam,5907570.5,5907570.5,0.0074725523591041565,0.00613041315227747,156350,156350.0,7.718292713165283
40,adam,3709858.5,3709858.25,0.02655884437263012,0.0219082310795784,156350,156350.0,5.271815299987793
60,adam,3261626.0,3261625.5,0.045576322823762894,0.03825635462999344,156350,156350.0,4.751855850219727
80,adam,3153345.0,3153344.5,0.04658579081296921,0.04961284250020981,156350,156350.0,4.633254051208496
100,adam,3128321.25,3128320.75,0.041614532470703125,0.061692528426647186,156350,156350.0,4.605240345001221
120,adam,3125196.5,3125196.0,0.04506877064704895,0.0757712796330452,156350,156350.0,4.604185104370117
140,adam,3121720.25,3121719.75,0.05426662415266037,0.08824604749679565,156350,156350.0,4.599210262298584
160,adam,3119919.0,3119918.5,0.06198451668024063,0.09667189419269562,156350,156350.0,4.596618175506592
180,adam,3119781.0,3119780.25,0.06633669883012772,0.10153482109308243,156350,156350.0,4.5962677001953125
200,adam,3120833.0,3120832.25,0.06812239438295364,0.1038539856672287,156350,156350.0,4.597487926483154
220,adam,3121070.25,3121069.5,0.06913169473409653,0.10495699197053909,156350,156350.0,4.599521160125732
240,adam,3124403.5,3124402.75,0.06914614140987396,0.10531705617904663,156350,156350.0,4.6051483154296875
260,adam,3120371.75,3120371.0,0.06927794218063354,0.10554759204387665,156350,156350.0,4.5980706214904785
280,adam,3122388.25,3122387.5,0.06921707093715668,0.10554385185241699,156350,156350.0,4.601541042327881
300,adam,3122710.0,3122709.25,0.06935359537601471,0.10562638193368912,156350,156350.0,4.601034641265869
320,adam,3121178.75,3121178.0,0.0683434009552002,0.10524234175682068,156350,156350.0,4.599273204803467
340,adam,3125105.75,3125105.0,0.06890431046485901,0.10545191168785095,156350,156350.0,4.606904029846191
360,adam,3122609.75,3122609.0,0.06928302347660065,0.1055455207824707,156350,156350.0,4.601797103881836
380,adam,3121187.25,3121186.5,0.06924781203269958,0.10548298805952072,156350,156350.0,4.599661350250244
400,adam,3120545.75,3120545.0,0.06920480728149414,0.10551874339580536,156350,156350.0,4.599043846130371
420,adam,3128121.0,3128120.25,0.06909649074077606,0.10546553134918213,156350,156350.0,4.614295482635498
440,adam,3125384.5,3125383.75,0.06974174827337265,0.10570935904979706,156350,156350.0,4.607095241546631
460,adam,3123222.25,3123221.5,0.06967975199222565,0.10567935556173325,156350,156350.0,4.602534770965576
480,adam,3122760.75,3122760.0,0.06934022158384323,0.10560062527656555,156350,156350.0,4.601424694061279
500,adam,3121381.25,3121380.5,0.06931992620229721,0.10552331805229187,156350,156350.0,4.598129749298096
520,adam,3122120.75,3122120.0,0.06899255514144897,0.10541164875030518,156350,156350.0,4.600003242492676
540,adam,3121569.25,3121568.5,0.0683673769235611,0.10529422760009766,156350,156350.0,4.599491596221924
560,adam,3127624.5,3127623.75,0.06877529621124268,0.10542881488800049,156350,156350.0,4.609137058258057
580,adam,3127815.75,3127815.0,0.06985736638307571,0.10552284121513367,156350,156350.0,4.610218524932861
600,adam,3132206.25,3132205.5,0.06988482922315598,0.10602495074272156,156350,156350.0,4.617236137390137
620,adam,3125562.0,3125561.25,0.0690174400806427,0.10587039589881897,156350,156350.0,4.607992649078369
640,adam,3126702.25,3126701.5,0.0687282457947731,0.10560498386621475,156350,156350.0,4.606348037719727
660,adam,3127947.5,3127946.75,0.06969316303730011,0.1057373583316803,156350,156350.0,4.613020896911621
680,adam,3128835.25,3128834.5,0.06960832327604294,0.1058690994977951,156350,156350.0,4.610930442810059
700,adam,3129077.5,3129076.75,0.06975133717060089,0.10569582134485245,156350,156350.0,4.613224029541016
720,adam,3127776.25,3127775.5,0.06915780156850815,0.10558439791202545,156350,156350.0,4.610407829284668
740,adam,3123519.0,3123518.25,0.0692557841539383,0.10554235428571701,156350,156350.0,4.607668399810791
760,adam,3124655.75,3124655.0,0.06963323056697845,0.10573648661375046,156350,156350.0,4.604766368865967
780,adam,3124931.25,3124930.5,0.06987856328487396,0.10570794343948364,156350,156350.0,4.605020046234131
800,adam,3127593.75,3127593.0,0.06958934664726257,0.10561405122280121,156350,156350.0,4.60897159576416
820,adam,3124861.25,3124860.5,0.06959456205368042,0.10584166646003723,156350,156350.0,4.6072540283203125
840,adam,3131405.0,3131404.25,0.06947244703769684,0.1058860495686531,156350,156350.0,4.618908405303955
860,adam,3134865.25,3134864.5,0.06900826096534729,0.10558902472257614,156350,156350.0,4.627138614654541
880,adam,3130965.75,3130965.0,0.06959936022758484,0.10562063753604889,156350,156350.0,4.616422176361084
900,adam,3125237.0,3125236.25,0.07004928588867188,0.10581234097480774,156350,156350.0,4.606864929199219
920,adam,3125074.25,3125073.5,0.0695972591638565,0.1056070476770401,156350,156350.0,4.60432767868042
940,adam,3127076.25,3127075.5,0.06890670210123062,0.10539659112691879,156350,156350.0,4.612078666687012
960,adam,3123150.0,3123149.25,0.06996326148509979,0.10579662770032883,156350,156350.0,4.603003978729248
980,adam,3127150.0,3127149.25,0.06946677714586258,0.10563310980796814,156350,156350.0,4.608872890472412
1000,adam,3126495.25,3126494.5,0.06872701644897461,0.10552617907524109,156350,156350.0,4.610315322875977
1020,adam,3127329.25,3127328.5,0.06950713694095612,0.10581716150045395,156350,156350.0,4.608608722686768
1040,adam,3126588.25,3126587.5,0.06947840750217438,0.10582801699638367,156350,156350.0,4.610648155212402
1060,adam,3124672.75,3124672.0,0.06982231885194778,0.10579701513051987,156350,156350.0,4.605892181396484
1080,adam,3132367.75,3132367.0,0.06993812322616577,0.10595783591270447,156350,156350.0,4.61956262588501
1100,adam,3125072.75,3125072.0,0.06924214214086533,0.10564865171909332,156350,156350.0,4.606741905212402
1120,adam,3122631.75,3122631.0,0.06972695142030716,0.1057739332318306,156350,156350.0,4.601019859313965
1140,adam,3127112.25,3127111.5,0.06935585290193558,0.10567262768745422,156350,156350.0,4.610219955444336
1160,adam,3131471.25,3131470.5,0.06961642950773239,0.10562866926193237,156350,156350.0,4.621499538421631
1180,adam,3125252.75,3125252.0,0.0689966231584549,0.10548767447471619,156350,156350.0,4.6093292236328125
1200,adam,3124860.75,3124860.0,0.06939773261547089,0.10552515089511871,156350,156350.0,4.605941295623779
1220,adam,3125592.75,3125592.0,0.06878314912319183,0.10543645918369293,156350,156350.0,4.605544090270996
1240,adam,3126214.25,3126213.5,0.06946051120758057,0.10576220601797104,156350,156350.0,4.606629848480225
1260,adam,3126825.5,3126824.75,0.06905747950077057,0.10559742897748947,156350,156350.0,4.609795570373535
1280,adam,3127210.75,3127210.0,0.07008601725101471,0.1058759093284607,156350,156350.0,4.612326622009277
1300,adam,3124753.25,3124752.5,0.0693737044930458,0.1056709885597229,156350,156350.0,4.605557918548584
1320,adam,3127690.0,3127689.25,0.06922142207622528,0.10556836426258087,156350,156350.0,4.613888740539551
1340,adam,3127567.75,3127567.0,0.0696050226688385,0.10575591772794724,156350,156350.0,4.61042594909668
1360,adam,3123049.25,3123048.5,0.06959809362888336,0.10564268380403519,156350,156350.0,4.60191535949707
1380,adam,3125974.5,3125973.75,0.0694042220711708,0.10568830370903015,156350,156350.0,4.6066789627075195
1400,adam,3128972.5,3128971.75,0.06934216618537903,0.10577159374952316,156350,156350.0,4.615464210510254
1420,adam,3130699.25,3130698.5,0.06955376267433167,0.10575766861438751,156350,156350.0,4.621798515319824
1440,adam,3128950.25,3128949.5,0.06946314871311188,0.10565990209579468,156350,156350.0,4.615655422210693
1460,adam,3129582.75,3129582.0,0.06982682645320892,0.10578103363513947,156350,156350.0,4.615421295166016
1480,adam,3126915.75,3126915.0,0.06894280016422272,0.10557721555233002,156350,156350.0,4.6101508140563965
1500,adam,3129629.75,3129629.0,0.06963349878787994,0.1057051420211792,156350,156350.0,4.612802505493164
1520,adam,3126604.0,3126603.25,0.07004757225513458,0.10583406686782837,156350,156350.0,4.610410690307617
1540,adam,3125890.5,3125889.75,0.06976921856403351,0.10566650331020355,156350,156350.0,4.611339569091797
1560,adam,3129184.75,3129184.0,0.06998546421527863,0.10597263276576996,156350,156350.0,4.613174915313721
1580,adam,3126429.75,3126429.0,0.06921999156475067,0.1056569293141365,156350,156350.0,4.609794616699219
1600,adam,3131027.5,3131026.75,0.06989321112632751,0.10581596940755844,156350,156350.0,4.619423866271973
1620,adam,3125506.75,3125506.0,0.0691007524728775,0.10558661818504333,156350,156350.0,4.607107639312744
1640,adam,3125133.25,3125132.5,0.0684848502278328,0.1053985208272934,156350,156350.0,4.605274200439453
1660,adam,3127553.75,3127553.0,0.06951431930065155,0.10567060858011246,156350,156350.0,4.610833168029785
1680,adam,3124748.0,3124747.25,0.07043929398059845,0.10599929839372635,156350,156350.0,4.605339050292969
1700,adam,3127804.75,3127804.0,0.06906771659851074,0.10554470866918564,156350,156350.0,4.610311508178711
1720,adam,3124114.75,3124114.0,0.06905552744865417,0.10559096932411194,156350,156350.0,4.605844497680664
1740,adam,3128242.25,3128241.5,0.06899324059486389,0.10540775954723358,156350,156350.0,4.613130569458008
