frame_idx,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,total_raw_local,total_scaled_local
0,9.549784408591222e-06,0.00019099569180980325,0.2013918161392212,40.27836227416992,0.0,0.0,3.140497938147746e-05,0.0006280996021814644,0.0,0.0,6.098764515627408e-07,6.098764424677938e-05,0.0,0.0,1.4594681488233618e-05,0.00058378727408126,4.7396377340191975e-05,0.002843782538548112,0.0,0.0,0.20149537920951843,40.28266906738281
1,5.375934506446356e-06,0.00010751868830993772,0.2005331814289093,40.10663604736328,1.4281903304436128e-06,0.00021422855206765234,4.1343180782860145e-05,0.0008268636302091181,2.777839108603075e-05,0.0005555677926167846,5.979712796033709e-07,5.979712659609504e-05,2.667697174274508e-07,8.003091352293268e-06,1.3377083632803988e-05,0.0005350833525881171,3.864010432153009e-05,0.00231840624473989,0.0,0.0,0.20066198706626892,40.111263275146484
2,5.809175945614697e-06,0.00011618351709330454,0.19953981041908264,39.907962799072266,8.755796443438157e-06,0.0013133694883435965,7.138489308999851e-05,0.0014276978326961398,6.623343506362289e-05,0.0013246687594801188,6.009198045830999e-07,6.009198114043102e-05,1.97571489479742e-06,5.92714459344279e-05,1.313114717049757e-05,0.0005252459086477757,3.694901170092635e-05,0.0022169407457113266,0.0,0.0,0.19974467158317566,39.91500473022461
3,8.361849722859915e-06,0.00016723699809517711,0.19594363868236542,39.18872833251953,7.4000276981678326e-06,0.0011100041447207332,5.9011268604081124e-05,0.001180225401185453,0.00010348476644139737,0.0020696953870356083,6.453073524426145e-07,6.453073729062453e-05,4.4228590923012234e-06,0.0001326857745880261,1.2909755241707899e-05,0.0005163901951164007,3.4459510061424226e-05,0.002067570574581623,0.0,0.0,0.19617433845996857,39.19603729248047
4,1.0381402717030142e-05,0.00020762805070262402,0.19223111867904663,38.446224212646484,4.1626935853855684e-06,0.0006244040559977293,7.00567543390207e-05,0.0014011351158842444,0.0001704850437818095,0.003409700933843851,9.622546031096135e-07,9.622546349419281e-05,5.498061455000425e-07,1.6494184819748625e-05,1.279527714359574e-05,0.0005118111148476601,3.564574944903143e-05,0.002138745039701462,0.0,0.0,0.1925361603498459,38.454627990722656
5,1.4736224329681136e-05,0.0002947244793176651,0.1872841715812683,37.45683288574219,7.239058959385147e-06,0.001085858792066574,6.680989463347942e-05,0.0013361978344619274,0.0002038883976638317,0.004077767953276634,1.3186554497224279e-06,0.00013186554133426398,5.784318091173191e-06,0.0001735295372782275,1.3222004781709984e-05,0.0005288801621645689,3.252333408454433e-05,0.0019514000741764903,0.0,0.0,0.18762969970703125,37.46641540527344
6,1.4138334336166736e-05,0.0002827666758093983,0.18187351524829865,36.37470245361328,5.273978786135558e-06,0.0007910968270152807,3.095066858804785e-05,0.0006190133863128722,0.0002321106439922005,0.004642212763428688,1.2715938737528631e-06,0.00012715939374174923,3.7617459724970104e-07,1.1285237633273937e-05,1.3567514542955905e-05,0.0005427005817182362,3.921760435332544e-05,0.0023530563339591026,0.0,0.0,0.18221043050289154,36.38406753540039
7,1.375791362079326e-05,0.0002751582651399076,0.17483314871788025,34.96662902832031,4.33301738667069e-06,0.0006499526207335293,4.7856909077381715e-05,0.0009571381960995495,0.00028359497082419693,0.005671899300068617,1.295166157433414e-06,0.0001295166148338467,1.238371737599664e-06,3.715115235536359e-05,1.2240189789736178e-05,0.0004896075697615743,3.167483737342991e-05,0.0019004902569577098,0.0,0.0,0.17522914707660675,34.97673797607422
8,1.908705053210724e-05,0.0003817410033661872,0.1676768958568573,33.535377502441406,7.908250154287089e-06,0.0011862375540658832,7.325506157940254e-05,0.0014651012606918812,0.00030735135078430176,0.006147027015686035,1.4470017504208954e-06,0.00014470017049461603,3.5213861337979324e-06,0.00010564158583292738,1.215759948536288e-05,0.0004863039939664304,3.3570671803317964e-05,0.002014240249991417,0.0,0.0,0.16813519597053528,33.547306060791016
9,2.122028308804147e-05,0.0004244056763127446,0.15981651842594147,31.96330451965332,8.587657248426694e-06,0.0012881485745310783,5.252598930383101e-05,0.0010505197569727898,0.0003594641457311809,0.007189283147454262,1.2943421552336076e-06,0.00012943422188982368,6.070275958336424e-06,0.00018210828420706093,1.2668187991948798e-05,0.0005067274905741215,2.399305594735779e-05,0.0014395833713933825,0.0,0.0,0.1603023260831833,31.975515365600586
10,2.473240965628065e-05,0.0004946481785736978,0.14905047416687012,29.810094833374023,5.411145139078144e-06,0.0008116717799566686,6.73747417749837e-05,0.0013474947772920132,0.00036628294037654996,0.0073256585747003555,1.5729186770840897e-06,0.00015729186998214573,1.6634055555186933e-06,4.990216621081345e-05,1.3494676750269718e-05,0.0005397870554588735,2.9421109502436593e-05,0.00176526652649045,0.0,0.0,0.14956043660640717,29.822586059570312
11,2.4767714421614073e-05,0.0004953542957082391,0.13934439420700073,27.868879318237305,9.052032510226127e-06,0.001357804867438972,4.9681759264785796e-05,0.0009936351561918855,0.00035161152482032776,0.007032230496406555,1.6757352341301157e-06,0.00016757352568674833,8.943852662923746e-07,2.6831557988771237e-05,1.3302175830176566e-05,0.0005320870550349355,2.4283497623400763e-05,0.0014570098137483,0.0,0.0,0.1398196518421173,27.880943298339844
