frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_inliers,reproj_inlier_ratio,reproj_mean,reproj_median,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,314,314,314,1.0,0.7070997357368469,0.7071067690849304,0.7071283459663391,1.0,0.0,0.0
1,1,314,314,314,1.0,0.5128967761993408,0.4773991107940674,0.9319396436214447,1.0,0.2600191831588745,7.262851230454178
2,1,314,314,314,1.0,0.7606018781661987,0.6614153981208801,1.3338594794273375,1.0,0.17078159749507904,4.843389644631416
3,1,314,314,314,1.0,0.8840897679328918,0.6952733397483826,1.6385732650756835,1.0,0.1442946046590805,3.808069219742364
4,1,307,307,307,1.0,1.030514121055603,0.7677016854286194,2.114086961746216,1.0,0.13549481332302094,3.530251365361368
5,1,294,294,294,1.0,1.0319925546646118,0.7680633068084717,2.1476004362106322,1.0,0.04419184476137161,1.3220463333644892
6,1,294,294,294,1.0,1.027599573135376,0.7623273134231567,2.1158914804458617,1.0,0.03448154777288437,0.3549819843055889
7,1,291,290,291,1.0,1.0344657897949219,0.7679814100265503,2.0697848796844482,1.0,0.05982198566198349,1.5295671012511851
8,1,291,290,291,1.0,0.9152694940567017,0.6853548288345337,1.7583653926849365,1.0,0.11036825180053711,3.7774018538285903
9,1,291,289,291,1.0,0.8038015365600586,0.6266438364982605,1.5731580257415771,1.0,0.1375122219324112,4.679730205029328
10,1,291,291,291,1.0,0.6850667595863342,0.5466188788414001,1.2819489240646362,1.0,0.1441000998020172,4.611166508443735
11,1,291,291,291,1.0,0.6191639304161072,0.4883863925933838,1.1466447114944458,1.0,0.13437554240226746,4.044477897933374
12,1,291,291,291,1.0,0.5997464656829834,0.4684055745601654,1.1257699728012085,1.0,0.07130979001522064,2.061655155950337
13,1,291,291,291,1.0,0.5524236559867859,0.40354612469673157,1.0972198247909546,1.0,0.10092180222272873,2.890966326969869
14,1,291,291,291,1.0,0.612276554107666,0.45591703057289124,1.1577157974243164,1.0,0.4407213628292084,12.398437755580042
15,1,291,291,291,1.0,0.6388273239135742,0.4906328022480011,1.2354074716567993,1.0,0.4063180088996887,11.766178308015006
16,1,291,291,291,1.0,0.653039276599884,0.5037941932678223,1.1336866617202759,1.0,0.39821359515190125,12.056922912391931
17,1,291,291,291,1.0,0.6904891729354858,0.5359083414077759,1.1951223611831665,1.0,0.1793196052312851,5.827932844958271
18,1,291,290,291,1.0,0.7198203206062317,0.5743699073791504,1.2730380296707153,1.0,0.08057937771081924,2.7285001146258216
19,1,291,289,291,1.0,0.7492190003395081,0.582348644733429,1.3016059398651123,1.0,0.19211307168006897,6.0544023207538515
20,1,291,287,291,1.0,0.8084850907325745,0.6561026573181152,1.2843977212905884,1.0,0.2382439821958542,7.438277402819049
21,1,291,287,291,1.0,0.857219934463501,0.7052668929100037,1.3595383167266846,1.0,0.10197359323501587,3.6290352237256562
22,1,291,287,291,1.0,0.8915597200393677,0.7111427783966064,1.4695132970809937,1.0,0.028375593945384026,0.9843699415359111
23,1,291,287,291,1.0,0.9259570240974426,0.7758299708366394,1.456984281539917,1.0,0.03890207037329674,1.1169756764598722
24,1,291,290,291,1.0,0.9653337001800537,0.837251603603363,1.5514459609985352,1.0,0.04638608172535896,1.389030485053409
25,1,291,288,291,1.0,1.015121340751648,0.9121283888816833,1.631861925125122,1.0,0.081293486058712,2.763712968783124
26,1,291,288,275,0.9450171821305842,3.295106887817383,3.2466368675231934,5.384357929229736,1.0,2.9269800186157227,100.30198757264827
27,1,291,283,261,0.8969072164948454,3.5251212120056152,3.378519296646118,6.0612897872924805,1.0,0.08988731354475021,3.7836172876703893
28,1,291,283,260,0.8934707903780069,3.5998010635375977,3.5537898540496826,6.2503437995910645,1.0,0.07916343957185745,2.8634800618543124
29,1,283,283,253,0.8939929328621908,3.6541149616241455,3.677330732345581,6.049626064300537,1.0,0.13911840319633484,4.698695788144147
30,1,283,283,252,0.8904593639575972,3.686021327972412,3.6160550117492676,6.097259330749512,1.0,0.023958511650562286,1.2691829949462077
31,1,283,283,256,0.9045936395759717,3.5809438228607178,3.631887674331665,5.9026194572448745,1.0,0.0852508619427681,3.582225277227429
32,1,283,282,262,0.9257950530035336,3.450169563293457,3.367473602294922,5.632554149627686,1.0,0.11519390344619751,4.259563399361114
33,1,283,282,267,0.9434628975265018,3.4012770652770996,3.312915086746216,5.490875148773194,1.0,0.07728523761034012,2.7149793899067536
34,1,283,282,269,0.950530035335689,3.302686929702759,3.131887197494507,5.337138366699219,1.0,0.04414616897702217,1.8826319569968717
35,1,283,279,271,0.9575971731448764,3.245877742767334,3.093459129333496,5.2117164611816404,1.0,0.028989262878894806,0.962661580458227
36,1,283,282,267,0.9434628975265018,3.362297534942627,3.166987895965576,5.443474864959716,1.0,0.0607658214867115,2.1217254156473673
37,1,283,266,281,0.9929328621908127,1.2218838930130005,1.0105693340301514,2.127927303314209,1.0,3.0874521732330322,106.40940341157304
38,1,283,282,254,0.8975265017667845,3.6539254188537598,3.487248659133911,6.003679180145264,1.0,3.1653859615325928,110.16626467208991
39,1,283,282,247,0.872791519434629,3.814176559448242,3.8702759742736816,6.1606764793396,1.0,0.07676869630813599,2.450483441563934
40,1,283,282,233,0.823321554770318,4.005054473876953,4.03048849105835,6.598118209838868,1.0,0.0732891857624054,2.9265001529089965
41,1,277,277,213,0.7689530685920578,4.187442779541016,4.118459224700928,7.093491458892823,1.0,0.10703510791063309,4.194512939764292
42,1,256,236,254,0.9921875,1.255073070526123,1.0592269897460938,2.19635808467865,1.0,3.523740530014038,132.47267306875486
