iter,total,mask_weight,mask_raw,mask_scaled,front_weight,front_raw,front_scaled,root_trans_gvhmr_weight,root_trans_gvhmr_raw,root_trans_gvhmr_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,betas_gvhmr_weight,betas_gvhmr_raw,betas_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,55.9208869934082,1.0,1.72186173585942e-05,1.72186173585942e-05,1500.0,4.811841790797189e-05,0.07217762686195783,20.0,0.0,0.0,20.0,2.312964744926491e-17,4.625929489852982e-16,10.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37720826268196106,0.0,500.0,0.10866378247737885,54.33189123868942,200.0,0.007584012113511562,1.5168024227023125,0.0,0.09146330505609512,0.0,0.0,0.0,0.0
2,53.37688064575195,1.0,1.6786611013230868e-05,1.6786611013230868e-05,1500.0,4.713949601864442e-05,0.07070924402796663,20.0,1.000053771349485e-06,2.00010754269897e-05,20.0,1.8024054497800535e-06,3.604810899560107e-05,10.0,9.99981921268045e-07,9.99981921268045e-06,10.0,1.0000024985856726e-06,1.0000024985856726e-05,25.0,9.99999883788405e-07,2.4999997094710125e-05,0.007503751875937969,0.0,0.0,0.010005002501250625,0.3761538863182068,0.0037634205734688024,500.0,0.10368242114782333,51.84121057391167,200.0,0.007305174600332975,1.461034920066595,0.0005002501250625312,0.09105590730905533,4.555072901903718e-05,0.0,0.0,0.0
3,50.91741180419922,1.0,1.6413323464803398e-05,1.6413323464803398e-05,1500.0,5.402185342973098e-05,0.08103278014459647,20.0,3.988387106801383e-06,7.976774213602766e-05,20.0,7.198956154752523e-06,0.00014397912309505045,10.0,3.9138390093285125e-06,3.9138390093285125e-05,10.0,3.924339580407832e-06,3.924339580407832e-05,25.0,4.0030213313002605e-06,0.00010007553328250651,0.015007503751875938,0.0,0.0,0.02001000500250125,0.3749682903289795,0.007503117365262221,500.0,0.09884330630302429,49.421653151512146,200.0,0.007033553905785084,1.4067107811570168,0.0010005002501250625,0.09066122025251389,9.070657353928353e-05,0.0,0.0,0.0
4,48.521793365478516,1.0,1.6068232071120292e-05,1.6068232071120292e-05,1500.0,5.6617507652845234e-05,0.08492626147926785,20.0,8.956109013524838e-06,0.00017912218027049676,20.0,1.589066960150376e-05,0.0003178133920300752,10.0,8.717741366126575e-06,8.717741366126575e-05,10.0,8.753646397963166e-06,8.753646397963166e-05,25.0,8.948643881012686e-06,0.00022371609702531714,0.022511255627813906,0.0,0.0,0.030015007503751877,0.3736884593963623,0.011216261912847292,500.0,0.09414134919643402,47.07067459821701,200.0,0.006769636645913124,1.3539273291826248,0.0015007503751875938,0.09035638719797134,0.000135602381987951,0.0,0.0,0.0
5,46.19548797607422,1.0,1.578125920786988e-05,1.578125920786988e-05,1500.0,5.94136981817428e-05,0.0891205472726142,20.0,1.5903220628388226e-05,0.0003180644125677645,20.0,2.7870168196386658e-05,0.0005574033639277332,10.0,1.541245001135394e-05,0.0001541245001135394,10.0,1.547819010738749e-05,0.0001547819010738749,25.0,1.5796169464010745e-05,0.00039490423660026863,0.030015007503751877,0.0,0.0,0.0400200100050025,0.3720737397670746,0.014890394788077022,500.0,0.08957622200250626,44.78811100125313,200.0,0.006507950369268656,1.3015900738537312,0.002001000500250125,0.09006406366825104,0.00018021823645472941,0.0,0.0,0.0
6,43.936946868896484,1.0,1.5567165974061936e-05,1.5567165974061936e-05,1500.0,6.132847920525819e-05,0.09199271880788729,20.0,2.4831837436067872e-05,0.0004966367487213574,20.0,4.326194175519049e-05,0.0008652388351038098,10.0,2.3990254703676328e-05,0.00023990254703676328,10.0,2.4080052753561176e-05,0.00024080052753561176,25.0,2.4489316274411976e-05,0.0006122329068602994,0.03751875937968985,0.0,0.0,0.05002501250625312,0.3700662851333618,0.01851257054193906,500.0,0.08514759689569473,42.573798447847366,200.0,0.006249735131859779,1.2499470263719559,0.0025012506253126563,0.08978201448917389,0.00022456731988287616,0.0,0.0,0.0
7,41.788665771484375,1.0,1.5455842003575526e-05,1.5455842003575526e-05,1500.0,8.983073348645121e-05,0.1347461002296768,20.0,3.573358844732866e-05,0.0007146717689465731,20.0,6.204062083270401e-05,0.0012408124166540802,10.0,3.44442087225616e-05,0.000344442087225616,10.0,3.446512346272357e-05,0.0003446512346272357,25.0,3.495700002531521e-05,0.0008739250006328803,0.04502251125562781,0.0,0.0,0.060030015007503754,0.36845239996910095,0.022118203099695907,500.0,0.0808553546667099,40.42767733335495,200.0,0.0060016317293047905,1.200326345860958,0.0030015007503751876,0.08950401842594147,0.0002686463784670579,0.0,0.0,0.0
8,39.694305419921875,1.0,1.5595205695717596e-05,1.5595205695717596e-05,1500.0,0.0001037220936268568,0.1555831404402852,20.0,4.84729498566594e-05,0.000969458997133188,20.0,8.001309470273554e-05,0.0016002618940547109,10.0,4.662786523113027e-05,0.0004662786523113027,10.0,4.604752393788658e-05,0.0004604752393788658,25.0,4.6700988605152816e-05,0.0011675247151288204,0.05252626313156578,0.0,0.0,0.07003501750875438,0.36744487285614014,0.0257340081039818,500.0,0.07671225070953369,38.356125354766846,200.0,0.005759356077760458,1.1518712155520916,0.003501750875437719,0.08925135433673859,0.0003125360081826764,0.0,0.0,0.0
9,37.64386749267578,1.0,1.574885391164571e-05,1.574885391164571e-05,1500.0,0.00010128740541404113,0.1519311081210617,20.0,6.321581167867407e-05,0.0012643162335734814,20.0,0.00010208863386651501,0.0020417726773303,10.0,6.063606997486204e-05,0.0006063606997486204,10.0,5.928655809839256e-05,0.0005928655809839256,25.0,6.022054731147364e-05,0.001505513682786841,0.060030015007503754,0.0,0.0,0.080040020010005,0.3675433099269867,0.029418173881099484,500.0,0.07270309329032898,36.35154664516449,200.0,0.005522956606000662,1.1045913212001324,0.00400200100050025,0.08897493779659271,0.00035607779008141154,0.0,0.0,0.0
10,35.6575927734375,1.0,1.5911360605969094e-05,1.5911360605969094e-05,1500.0,9.702137322165072e-05,0.14553205983247608,20.0,7.998488581506535e-05,0.001599697716301307,20.0,0.00012795648945029825,0.002559129789005965,10.0,7.64636424719356e-05,0.000764636424719356,10.0,7.431162521243095e-05,0.0007431162521243095,25.0,7.554658805020154e-05,0.0018886647012550384,0.06753376688344172,0.0,0.0,0.09004502251125562,0.3667501211166382,0.03302402291195341,500.0,0.06882596015930176,34.41298007965088,200.0,0.00529042724519968,1.058085449039936,0.004502251125562781,0.08868556469678879,0.0003992846834772882,0.0,0.0,0.0
