View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3934,0.2794,0.1901,0.1318,0.0955,0.0722,0.0566,0.0457,0.0379,0.0321,0.0276,0.0241,0.0212,0.0189,0.0169,0.0152,0.0137,0.0121,0.0105,0.0097,0.0093,0.0090,0.0086,0.0083
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3875,0.2758,0.1908,0.1350,0.0995,0.0762,0.0604,0.0494,0.0413,0.0352,0.0305,0.0268,0.0237,0.0211,0.0190,0.0171,0.0155,0.0138,0.0119,0.0106,0.0099,0.0093,0.0087,0.0081
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3957,0.2966,0.2180,0.1622,0.1240,0.0975,0.0788,0.0653,0.0552,0.0475,0.0415,0.0366,0.0325,0.0292,0.0263,0.0238,0.0216,0.0192,0.0159,0.0137,0.0125,0.0117,0.0110,0.0103
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6033,0.6711,0.7117,0.7348,0.7465,0.7491,0.7438,0.7303,0.7082,0.6762,0.6323,0.5751,0.5045,0.4244,0.3437,0.2714,0.2092,0.1608,0.1451,0.1494,0.1974,0.2456,0.3057,0.4212
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6116,0.6891,0.7405,0.7762,0.8024,0.8226,0.8390,0.8528,0.8647,0.8753,0.8848,0.8932,0.9008,0.9076,0.9137,0.9193,0.9248,0.9324,0.9336,0.9315,0.9294,0.9245,0.9164,0.9080
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6050,0.6785,0.7267,0.7587,0.7801,0.7942,0.8028,0.8071,0.8077,0.8049,0.7989,0.7897,0.7773,0.7612,0.7408,0.7148,0.6776,0.6149,0.6347,0.7002,0.7625,0.7729,0.7779,0.8099
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5664,0.5804,0.5448,0.4618,0.3474,0.2387,0.1614,0.1130,0.0830,0.0637,0.0506,0.0414,0.0346,0.0294,0.0254,0.0222,0.0195,0.0173,0.0160,0.0148,0.0134,0.0123,0.0115,0.0109
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6076,0.6812,0.7295,0.7625,0.7865,0.8050,0.8199,0.8327,0.8441,0.8546,0.8643,0.8731,0.8809,0.8878,0.8938,0.8988,0.9035,0.9046,0.8979,0.8872,0.8661,0.8626,0.8636,0.8434
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3718,0.2616,0.1835,0.1325,0.0993,0.0770,0.0615,0.0504,0.0422,0.0359,0.0311,0.0272,0.0240,0.0214,0.0192,0.0173,0.0157,0.0143,0.0137,0.0132,0.0128,0.0120,0.0114,0.0109
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6000,0.6739,0.7258,0.7629,0.7903,0.8112,0.8275,0.8406,0.8514,0.8605,0.8683,0.8750,0.8808,0.8856,0.8896,0.8927,0.8952,0.8975,0.9035,0.9079,0.9097,0.9135,0.9181,0.9198
