View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6170,0.7122,0.7813,0.8286,0.8606,0.8838,0.9078,0.9206,0.9333,0.9425,0.9494,0.9547,0.9590,0.9631,0.9664,0.9690,0.9710,0.9727,0.9740,0.9744,0.9755,0.9756,0.9755,0.9754
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3846,0.2691,0.1773,0.1175,0.0812,0.0593,0.0482,0.0393,0.0346,0.0310,0.0280,0.0256,0.0236,0.0222,0.0210,0.0197,0.0184,0.0190,0.0232,0.0284,0.0380,0.0516,0.0765,0.1296
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3863,0.2133,0.1061,0.0599,0.0389,0.0276,0.0228,0.0192,0.0177,0.0164,0.0154,0.0145,0.0137,0.0134,0.0131,0.0126,0.0122,0.0116,0.0118,0.0115,0.0118,0.0120,0.0133,0.0147
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6110,0.6827,0.7160,0.7169,0.6886,0.6268,0.5814,0.5571,0.5644,0.5706,0.5758,0.5800,0.5837,0.5956,0.6064,0.6122,0.6177,0.6486,0.6920,0.7149,0.7462,0.7593,0.7727,0.7837
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3888,0.2024,0.0947,0.0509,0.0315,0.0216,0.0175,0.0143,0.0129,0.0118,0.0110,0.0102,0.0096,0.0092,0.0089,0.0084,0.0081,0.0085,0.0099,0.0112,0.0136,0.0162,0.0196,0.0239
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6002,0.6792,0.7351,0.7723,0.7972,0.8151,0.8450,0.8579,0.8765,0.8912,0.9024,0.9112,0.9183,0.9258,0.9320,0.9366,0.9402,0.9417,0.9418,0.9392,0.9388,0.9332,0.9259,0.9165
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3797,0.2681,0.1827,0.1264,0.0914,0.0689,0.0547,0.0442,0.0374,0.0322,0.0281,0.0249,0.0222,0.0202,0.0184,0.0169,0.0156,0.0146,0.0140,0.0134,0.0129,0.0129,0.0134,0.0140
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6082,0.6762,0.7050,0.7007,0.6687,0.5945,0.5267,0.4899,0.4882,0.4710,0.4556,0.4415,0.4278,0.4225,0.4175,0.4090,0.4040,0.3688,0.3268,0.2791,0.2519,0.2383,0.2224,0.2072
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5171,0.4585,0.3194,0.1842,0.1083,0.0698,0.0553,0.0451,0.0415,0.0384,0.0359,0.0337,0.0317,0.0307,0.0298,0.0285,0.0273,0.0240,0.0205,0.0173,0.0155,0.0146,0.0145,0.0143
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3784,0.2282,0.1244,0.0723,0.0467,0.0327,0.0262,0.0211,0.0185,0.0165,0.0148,0.0135,0.0123,0.0115,0.0108,0.0101,0.0095,0.0097,0.0111,0.0123,0.0144,0.0189,0.0363,0.1154
