interaction_name,clip_score,num_renders
interaction_02,0.2349395751953125,3
interaction_03,0.26740829149882,3
interaction_04,0.2597546974817912,3
interaction_05,0.27100611726442975,3
interaction_06,0.2705819209416707,3
interaction_07,0.25268013775348663,3
interaction_08,0.2502271582682927,3
interaction_09,0.29980634649594623,3
interaction_10,0.22940810521443686,3
interaction_11,0.25308234492937726,3
interaction_14,0.26288965344429016,3
interaction_15,0.28370625774065655,3
interaction_16,0.23030334214369455,3
interaction_18,0.2962426245212555,3
interaction_20,0.28954364856084186,3
interaction_21,0.25122130413850147,3
interaction_22,0.25121986369291943,3
interaction_23,0.22639445463816324,3
interaction_24,0.2325467417637507,3
interaction_26,0.24207620322704315,3
interaction_27,0.28155286113421124,3
interaction_28,0.3070876995722453,3
interaction_30,0.27599134544531506,3
__mean__,0.26172481282897625,69
