node_a,node_b,min_distance_m,max_distance_m,mean_distance_m,ncs,mean_penetration_m,max_penetration_m
"person 1, hips",target object 1,0.0038972950590046296,0.24346536278538547,0.12003054285299672,0.997385,0.026000880617432397,0.07421383849281361
"person 1, left hand",target object 1,0.27757791774661367,0.3739212999782415,0.3261362485272382,0.997385,0.026000880617432397,0.07421383849281361
"person 1, right hand",target object 1,0.0009013181718037104,0.10853832257755414,0.05334759151972806,0.997385,0.026000880617432397,0.07421383849281361
