iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
35,0.55402219,0.00047001,0.00045086,0.00048916,0.02180380,0.02135417,0.02225343,84.01224518,35.00314713,133.02134705,3.75159788,0.02240185,-0.15075795,0.18664260
36,0.39802122,0.00032030,0.00031490,0.00032570,0.01796830,0.01781562,0.01812098,77.72417450,31.43198776,124.01636505,3.76584387,0.02018889,-0.14974564,0.19044054
37,0.29105830,0.00021996,0.00022518,0.00021473,0.01487084,0.01504844,0.01469323,71.10189819,27.69028091,114.51351166,3.77914667,0.01750121,-0.14853001,0.19397305
38,0.21839228,0.00015394,0.00016786,0.00014001,0.01241843,0.01298337,0.01185349,64.45533752,24.00016022,104.91050720,3.79150224,0.01448246,-0.14714842,0.19724311
39,0.16895309,0.00011093,0.00013186,0.00009001,0.01049984,0.01150187,0.00949781,58.02197266,20.52210617,95.52184296,3.80293059,0.01124226,-0.14564073,0.20025867
40,0.13466229,0.00008271,0.00010795,0.00005747,0.00899506,0.01040383,0.00758630,51.95392227,17.33172417,86.57611847,3.81346703,0.00786112,-0.14404228,0.20303148
41,0.11051302,0.00006417,0.00009134,0.00003700,0.00782682,0.00956822,0.00608543,46.34304047,14.50286388,78.18321991,3.82315516,0.00440496,-0.14238219,0.20557527
42,0.09295903,0.00005177,0.00007940,0.00002414,0.00691715,0.00891973,0.00491457,41.18804932,12.01900864,70.35708618,3.83204579,0.00092232,-0.14068420,0.20790520
43,0.07992554,0.00004340,0.00007080,0.00001600,0.00621099,0.00842150,0.00400048,36.52875519,9.89138794,63.16612244,3.84019208,-0.00254404,-0.13896769,0.21003652
44,0.07012083,0.00003776,0.00006469,0.00001084,0.00567100,0.00804928,0.00329272,32.35821533,8.08507442,56.63135910,3.84764671,-0.00596063,-0.13724908,0.21198411
45,0.06262847,0.00003396,0.00006036,0.00000756,0.00526252,0.00777499,0.00275006,28.66816521,6.60070372,50.73562622,3.85446095,-0.00929883,-0.13554107,0.21376240
46,0.05686863,0.00003146,0.00005745,0.00000547,0.00496183,0.00758508,0.00233859,25.40909386,5.37603903,45.44215012,3.86068344,-0.01253621,-0.13385393,0.21538498
47,0.05250829,0.00002996,0.00005580,0.00000411,0.00475154,0.00747514,0.00202795,22.55233765,4.39089203,40.71378326,3.86636090,-0.01565254,-0.13219582,0.21686445
48,0.04918609,0.00002914,0.00005504,0.00000324,0.00461153,0.00742416,0.00179891,20.04701805,3.59417129,36.49986649,3.87153625,-0.01863467,-0.13057262,0.21821260
49,0.04662362,0.00002876,0.00005487,0.00000265,0.00452020,0.00741236,0.00162804,17.86457825,2.96080422,32.76835251,3.87624979,-0.02147312,-0.12898910,0.21944040
50,0.04477365,0.00002880,0.00005536,0.00000225,0.00447298,0.00744540,0.00150056,15.96923637,2.46583009,29.47264290,3.88053942,-0.02416075,-0.12744810,0.22055797
51,0.04347210,0.00002915,0.00005631,0.00000198,0.00445838,0.00750931,0.00140744,14.32650948,2.08141470,26.57160378,3.88443923,-0.02668817,-0.12595177,0.22157449
52,0.04267412,0.00002977,0.00005773,0.00000180,0.00447328,0.00760363,0.00134294,12.90657139,1.79234993,24.02079201,3.88798046,-0.02905373,-0.12450104,0.22249834
53,0.04224433,0.00003058,0.00005947,0.00000168,0.00450686,0.00771755,0.00129616,11.66834164,1.56210697,21.77457619,3.89119196,-0.03125241,-0.12309681,0.22333711
54,0.04213372,0.00003154,0.00006148,0.00000160,0.00455632,0.00784669,0.00126596,10.59447670,1.39146268,19.79749107,3.89409947,-0.03328732,-0.12173928,0.22409782
55,0.04227267,0.00003261,0.00006367,0.00000155,0.00461598,0.00798585,0.00124612,9.66018105,1.25657952,18.06378174,3.89672804,-0.03515421,-0.12042679,0.22478680
56,0.04261132,0.00003376,0.00006601,0.00000152,0.00468245,0.00813106,0.00123384,8.84764004,1.15634358,16.53893661,3.89909863,-0.03685642,-0.11915871,0.22540985
57,0.04309145,0.00003496,0.00006841,0.00000151,0.00475341,0.00827820,0.00122862,8.13105106,1.08203244,15.18006897,3.90123129,-0.03839361,-0.11793245,0.22597222
58,0.04364099,0.00003615,0.00007078,0.00000151,0.00482432,0.00842075,0.00122789,7.49538469,1.02150726,13.96926212,3.90314460,-0.03976858,-0.11674611,0.22647873
59,0.04424147,0.00003730,0.00007309,0.00000151,0.00489356,0.00855719,0.00122993,6.93927336,0.97808105,12.90046597,3.90485549,-0.04098504,-0.11559811,0.22693387
60,0.04486256,0.00003841,0.00007531,0.00000152,0.00495967,0.00868614,0.00123319,6.44869518,0.94682169,11.95056820,3.90637922,-0.04204701,-0.11448649,0.22734173
61,0.04546779,0.00003945,0.00007737,0.00000153,0.00502061,0.00880427,0.00123695,6.02014732,0.92829067,11.11200428,3.90773106,-0.04295768,-0.11340994,0.22770606
62,0.04604158,0.00004040,0.00007926,0.00000154,0.00507636,0.00891175,0.00124098,5.64064980,0.91552490,10.36577511,3.90892363,-0.04372114,-0.11236638,0.22803028
63,0.04656331,0.00004126,0.00008097,0.00000155,0.00512596,0.00900728,0.00124464,5.30533314,0.90575397,9.70491219,3.90996885,-0.04434302,-0.11135510,0.22831751
64,0.04701414,0.00004201,0.00008247,0.00000156,0.00516905,0.00909059,0.00124751,5.00176191,0.89087301,9.11265087,3.91087890,-0.04482960,-0.11037351,0.22857071
65,0.04739736,0.00004266,0.00008376,0.00000156,0.00520553,0.00916174,0.00124932,4.73611164,0.88196319,8.59026051,3.91166353,-0.04518791,-0.10942039,0.22879255
66,0.04770061,0.00004320,0.00008484,0.00000156,0.00523532,0.00922045,0.00125019,4.50098419,0.87848163,8.12348652,3.91233230,-0.04542476,-0.10849498,0.22898546
67,0.04792376,0.00004363,0.00008569,0.00000156,0.00525842,0.00926697,0.00124987,4.29631186,0.87798560,7.71463776,3.91289496,-0.04554729,-0.10759699,0.22915177
68,0.04806155,0.00004395,0.00008634,0.00000156,0.00527493,0.00930193,0.00124793,4.11329937,0.87430745,7.35229158,3.91335940,-0.04556233,-0.10672524,0.22929363
69,0.04811602,0.00004416,0.00008677,0.00000155,0.00528483,0.00932538,0.00124428,3.95492125,0.87522465,7.03461790,3.91373396,-0.04547575,-0.10587873,0.22941303
70,0.04808947,0.00004427,0.00008701,0.00000154,0.00528867,0.00933828,0.00123907,3.81500673,0.87532759,6.75468588,3.91402602,-0.04529403,-0.10505657,0.22951186
71,0.04799105,0.00004430,0.00008707,0.00000152,0.00528718,0.00934155,0.00123281,3.69386053,0.88036275,6.50735807,3.91424274,-0.04502653,-0.10425813,0.22959186
72,0.04782283,0.00004424,0.00008697,0.00000150,0.00528066,0.00933588,0.00122545,3.58739376,0.88487387,6.28991365,3.91439033,-0.04468042,-0.10348345,0.22965467
73,0.04758887,0.00004410,0.00008671,0.00000148,0.00526942,0.00932197,0.00121688,3.49312592,0.88755989,6.09869194,3.91447496,-0.04426260,-0.10273141,0.22970176
74,0.04729442,0.00004388,0.00008631,0.00000146,0.00525385,0.00930042,0.00120729,3.41009402,0.88564128,5.93454695,3.91450238,-0.04377873,-0.10199980,0.22973457
