iter,total,mask_weight,mask_raw,mask_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_near_scene_collision_points,scene_intersect_num_inside_or_margin_points
11,37.64331817626953,1.0,5.591313311015256e-05,5.591313311015256e-05,20.0,0.00017714907880872488,0.0035429815761744976,10.0,9.751067409524694e-05,0.0009751067409524694,1.0,2.451645559631288e-05,2.451645559631288e-05,0.05002501250625312,0.015284284017980099,0.0007645964991485792,500.0,0.0741017609834671,37.05088049173355,200.0,0.0029313163831830025,0.5862632766366005,0.0050025012506253125,0.088582843542099,0.00044313578560329665,5.002501250625313e-06,74.34355163574219,0.0003719037100337278,7518,186,3
12,35.492332458496094,1.0,5.5958018492674455e-05,5.5958018492674455e-05,20.0,0.00021352616022340953,0.004270523204468191,10.0,0.0001174039498437196,0.001174039498437196,1.0,2.9511738830478862e-05,2.9511738830478862e-05,0.05502751375687844,0.04499088227748871,0.0024757363934586082,500.0,0.06985361874103546,34.92680937051773,200.0,0.002783081028610468,0.5566162057220936,0.005502751375687844,0.088283970952034,0.00048580474260749074,5.502751375687844e-06,74.8714599609375,0.00041199902929980615,7518,182,1
13,33.410865783691406,1.0,5.6195138313341886e-05,5.6195138313341886e-05,20.0,0.0002530001802369952,0.005060003604739904,10.0,0.00013896860764361918,0.0013896860764361918,1.0,3.499761805869639e-05,3.499761805869639e-05,0.060030015007503754,0.01147283986210823,0.0006887147491010444,500.0,0.06574779748916626,32.87389874458313,200.0,0.002643813844770193,0.5287627689540386,0.006003001500750375,0.08798259496688843,0.0005281596496261436,6.003001500750375e-06,75.23844909667969,0.00045165652284149887,7518,181,4
14,31.40338706970215,1.0,5.657647125190124e-05,5.657647125190124e-05,20.0,0.0002954554511234164,0.0059091090224683285,10.0,0.00016215717187151313,0.0016215717187151313,1.0,4.0770857594907284e-05,4.0770857594907284e-05,0.06503251625812906,0.016338134184479713,0.001062509976979671,500.0,0.06178322434425354,30.89161217212677,200.0,0.0025101313367486,0.50202626734972,0.0065032516258129065,0.087679423391819,0.0005702013527231851,6.503251625812907e-06,75.16159057617188,0.0004887947361131739,7518,182,3
15,29.466848373413086,1.0,5.7087396271526814e-05,5.7087396271526814e-05,20.0,0.00034075399162247777,0.006815079832449555,10.0,0.0001868609106168151,0.001868609106168151,1.0,4.7049001295818016e-05,4.7049001295818016e-05,0.07003501750875438,0.01264144852757454,0.0008853440689647001,500.0,0.057959310710430145,28.979655355215073,200.0,0.0023818928748369217,0.47637857496738434,0.007003501750875438,0.08737626671791077,0.0006119398369438473,7.003501750875438e-06,75.10763549804688,0.0005260164567146855,7518,183,4
16,27.601238250732422,1.0,5.774552846560255e-05,5.774552846560255e-05,20.0,0.00038869661511853337,0.0077739323023706675,10.0,0.00021287781419232488,0.0021287781419232488,1.0,5.3707724873675033e-05,5.3707724873675033e-05,0.0750375187593797,0.01459133718162775,0.0010948977374908267,500.0,0.05427505820989609,27.137529104948044,200.0,0.002256925916299224,0.4513851832598448,0.007503751875937969,0.08707857131958008,0.0006534159928932973,7.503751875937969e-06,74.75822448730469,0.0005609671672384043,7518,184,4
17,25.806514739990234,1.0,5.856001371284947e-05,5.856001371284947e-05,20.0,0.0004391029360704124,0.008782058721408248,10.0,0.00024010500055737793,0.0024010500055737793,1.0,6.062413376639597e-05,6.062413376639597e-05,0.080040020010005,0.011292481794953346,0.000903850468830683,500.0,0.05072914436459541,25.364572182297707,200.0,0.0021422388963401318,0.42844777926802635,0.0080040020010005,0.08680647611618042,0.0006947992085337101,8.0040020010005e-06,73.99307250976562,0.0005922407004283392,7518,183,6
18,24.082670211791992,1.0,5.9500394854694605e-05,5.9500394854694605e-05,20.0,0.0004917886108160019,0.009835772216320038,10.0,0.00026860085199587047,0.0026860085199587047,1.0,6.788196333218366e-05,6.788196333218366e-05,0.08504252126063032,0.01413145661354065,0.0012017746995007057,500.0,0.04732086509466171,23.660432547330856,200.0,0.002035109791904688,0.4070219583809376,0.008504252126063032,0.08658642321825027,0.0007363527737419983,8.504252126063032e-06,73.88133239746094,0.0006283054781174767,7518,185,5
19,22.427961349487305,1.0,6.051846867194399e-05,6.051846867194399e-05,20.0,0.0005465614958666265,0.01093122991733253,10.0,0.00029827107209712267,0.0029827107209712267,1.0,7.550926238764077e-05,7.550926238764077e-05,0.09004502251125562,0.01634173095226288,0.0014714915314693938,500.0,0.04404933750629425,22.024668753147125,200.0,0.00193165079690516,0.386330159381032,0.009004502251125562,0.08637136965990067,0.0007777311925353736,9.004502251125564e-06,73.57198333740234,0.0006624790895814118,7518,183,5
20,20.841215133666992,1.0,6.162143108667806e-05,6.162143108667806e-05,20.0,0.0006032446399331093,0.012064892798662186,10.0,0.00032901819213293493,0.0032901819213293493,1.0,8.332819561474025e-05,8.332819561474025e-05,0.09504752376188094,0.01821821741759777,0.0017315964528982373,500.0,0.0409134104847908,20.4567052423954,200.0,0.001828857813961804,0.3657715627923608,0.009504752376188095,0.08616653829813004,0.0008189916096370539,9.504752376188094e-06,72.52229309082031,0.0006893064375815837,7518,184,5
21,19.322797775268555,1.0,6.280809611780569e-05,6.280809611780569e-05,20.0,0.0006616669124923646,0.013233338249847293,10.0,0.0003607962862588465,0.003607962862588465,1.0,9.144248906522989e-05,9.144248906522989e-05,0.10005002501250625,0.016322247684001923,0.0016330412890447146,500.0,0.03791210427880287,18.956052139401436,200.0,0.0017327263485640287,0.34654526971280575,0.010005002501250625,0.08597324788570404,0.0008601625601371089,1.0005002501250626e-05,70.97366333007812,0.0007100916791403514,7518,184,6
22,17.872665405273438,1.0,6.404567102435976e-05,6.404567102435976e-05,20.0,0.000721762771718204,0.01443525543436408,10.0,0.0003934478445444256,0.003934478445444256,1.0,9.969925304176286e-05,9.969925304176286e-05,0.10505252626313157,0.01327214203774929,0.0013942720499886699,500.0,0.03504432365298271,17.522161826491356,200.0,0.0016445823712274432,0.32891647424548864,0.010505252626313157,0.0858156681060791,0.0009015152727502058,1.0505252626313157e-05,72.11007690429688,0.0007575345747825085,7518,185,8
23,16.489459991455078,1.0,6.536098953802139e-05,6.536098953802139e-05,20.0,0.0007834163261577487,0.015668326523154974,10.0,0.00042696105083450675,0.0042696105083450675,1.0,0.00010821519390447065,0.00010821519390447065,0.11005502751375688,0.016487760469317436,0.0018145609320909637,500.0,0.03230837360024452,16.15418680012226,200.0,0.0015576734440401196,0.31153468880802393,0.011005502751375688,0.08568931370973587,0.0009430539777959925,1.1005502751375687e-05,78.9671401977539,0.0008690730787146503,7518,185,6
24,15.173012733459473,1.0,6.67395070195198e-05,6.67395070195198e-05,20.0,0.0008465572609566152,0.016931145219132304,10.0,0.00046133078285492957,0.004613307828549296,1.0,0.00011677559086820111,0.00011677559086820111,0.11505752876438219,0.01305733434855938,0.0015023446223955265,500.0,0.029703103005886078,14.851551502943039,200.0,0.0014812923036515713,0.29625846073031425,0.01150575287643822,0.0855715349316597,0.0009845649341811771,1.1505752876438219e-05,85.97124481201172,0.0009891638972867782,7518,184,8
25,13.923638343811035,1.0,6.816587847424671e-05,6.816587847424671e-05,20.0,0.0009111942490562797,0.018223884981125593,10.0,0.0004966054693795741,0.004966054693795741,1.0,0.00012560919276438653,0.00012560919276438653,0.12006003001500751,0.012892206199467182,0.0015478386632676957,500.0,0.027227744460105896,13.613872230052948,200.0,0.0014135664096102118,0.28271328192204237,0.01200600300150075,0.08545924723148346,0.0010260239787671852,1.200600300150075e-05,91.17993927001953,0.0010947066245525106,7518,185,8
26,12.740123748779297,1.0,6.96211209287867e-05,6.96211209287867e-05,20.0,0.0009773822966963053,0.019547645933926105,10.0,0.0005327208200469613,0.005327208200469613,1.0,0.000134329340653494,0.000134329340653494,0.12506253126563283,0.012560933828353882,0.0015709021796340523,500.0,0.02488192915916443,12.440964579582214,200.0,0.0013510955031961203,0.27021910063922405,0.01250625312656328,0.08534855395555496,0.0010673906197543141,1.2506253126563282e-05,97.80436706542969,0.001223166171403573,7518,186,8
27,11.621992111206055,1.0,7.10940221324563e-05,7.10940221324563e-05,20.0,0.0010451865382492542,0.020903730764985085,10.0,0.0005696635926142335,0.005696635926142335,1.0,0.00014322972856462002,0.00014322972856462002,0.13006503251625812,0.012330000288784504,0.0016037018884862285,500.0,0.022664904594421387,11.332452297210693,200.0,0.0012932836543768644,0.2586567308753729,0.013006503251625813,0.08523934334516525,0.001108665796385341,1.3006503251625814e-05,104.18231201171875,0.001355047579942315,7518,188,8
28,10.569131851196289,1.0,7.259852282004431e-05,7.259852282004431e-05,20.0,0.001114693353883922,0.022293867077678442,10.0,0.0006074621924199164,0.006074621924199164,1.0,0.00015195240848697722,0.00015195240848697722,0.13506753376688344,0.013187432661652565,0.0017811940063262592,500.0,0.020575648173689842,10.287824086844921,200.0,0.0012412284268066287,0.24824568536132574,0.013506753376688344,0.08512944728136063,0.0011498224495231299,1.3506753376688344e-05,113.88566589355469,0.0015382256023641703,7518,188,7
29,9.582332611083984,1.0,7.409730460494757e-05,7.409730460494757e-05,20.0,0.0011860702652484179,0.023721405304968357,10.0,0.0006458336138166487,0.006458336138166487,1.0,0.00016081385547295213,0.00016081385547295213,0.14007003501750875,0.015854274854063988,0.002220708833985951,500.0,0.018612876534461975,9.306438267230988,200.0,0.0012018594425171614,0.24037188850343227,0.014007003501750876,0.08501618355512619,0.0011908219807621478,1.4007003501750876e-05,121.04341888427734,0.0016954555921759708,7518,190,5
30,8.657832145690918,1.0,7.558608922408894e-05,7.558608922408894e-05,20.0,0.0012595063308253884,0.02519012661650777,10.0,0.0006847363547421992,0.006847363547421992,1.0,0.00016943733498919755,0.00016943733498919755,0.14507253626813407,0.012192385271191597,0.0017687802544500066,500.0,0.01677519641816616,8.38759820908308,200.0,0.0011652926914393902,0.23305853828787804,0.014507253626813406,0.08490346372127533,0.001231716081999492,1.4507253626813408e-05,130.40406799316406,0.0018918048883450516,7518,190,7
31,7.794061183929443,1.0,7.706798351136968e-05,7.706798351136968e-05,20.0,0.0013350344961509109,0.026700689923018217,10.0,0.0007241708808578551,0.007241708808578551,1.0,0.00017803545051719993,0.00017803545051719993,0.1500750375187594,0.011247503571212292,0.001687969520442065,500.0,0.015059191733598709,7.5295958667993546,200.0,0.0011259426828473806,0.22518853656947613,0.015007503751875938,0.08479292690753937,0.0012725301686974393,1.5007503751875938e-05,141.17886352539062,0.002118742324042881,7518,191,8
32,6.99086332321167,1.0,7.853122951928526e-05,7.853122951928526e-05,20.0,0.0014128218172118068,0.028256436344236135,10.0,0.00076420942787081,0.0076420942787081,1.0,0.00018646163516677916,0.00018646163516677916,0.15507753876938468,0.009930147789418697,0.0015399428787992975,500.0,0.013461687602102757,6.730843801051378,200.0,0.0010940872598439455,0.2188174519687891,0.015507753876938469,0.0846886932849884,0.001313331411623132,1.5507753876938468e-05,140.9054718017578,0.0021851273766155537,7518,191,9
33,6.248964309692383,1.0,7.997228385647759e-05,7.997228385647759e-05,20.0,0.0014930026372894645,0.02986005274578929,10.0,0.0008047586889006197,0.008047586889006197,1.0,0.0001945585827343166,0.0001945585827343166,0.16008004002001,0.008946814574301243,0.0014322064351057517,500.0,0.011983483098447323,5.991741549223661,200.0,0.001069969846867025,0.21399396937340498,0.016008004002001,0.0845920592546463,0.0013541500230858836,1.6008004002001e-05,141.18487548828125,0.0022600880518384193,7518,194,11
34,5.567567825317383,1.0,8.143730519805104e-05,8.143730519805104e-05,20.0,0.0015757028013467789,0.03151405602693558,10.0,0.0008457796066068113,0.008457796066068113,1.0,0.0002024267741944641,0.0002024267741944641,0.16508254127063532,0.008865764364600182,0.0014635829116148374,500.0,0.010623783804476261,5.311891902238131,200.0,0.0010509350104257464,0.2101870020851493,0.016508254127063533,0.08450184762477875,0.0013949779747962476,1.650825412706353e-05,143.854248046875,0.002374782484015445,7518,195,12
35,4.943552017211914,1.0,8.299462933791801e-05,8.299462933791801e-05,20.0,0.001661068992689252,0.03322137985378504,10.0,0.0008871686877682805,0.008871686877682805,1.0,0.00021004259178880602,0.00021004259178880602,0.17008504252126064,0.008458554744720459,0.0014386736434241901,500.0,0.009377265349030495,4.688632674515247,200.0,0.001035517081618309,0.2071034163236618,0.017008504252126064,0.0844154879450798,0.0014357811856591863,1.7008504252126064e-05,150.25930786132812,0.0025556860766809187,7518,195,12
36,4.3753485679626465,1.0,8.465196879114956e-05,8.465196879114956e-05,20.0,0.0017491935286670923,0.034983870573341846,10.0,0.0009289891459047794,0.009289891459047794,1.0,0.0002171761152567342,0.0002171761152567342,0.17508754377188596,0.00864547211676836,0.0015137144776732998,500.0,0.008240606635808945,4.120303317904472,200.0,0.0010243233991786838,0.20486467983573675,0.017508754377188594,0.0843346044421196,0.0014765938746744301,1.7508754377188594e-05,149.35577392578125,0.0026150335604814127,7518,196,11
37,3.8608970642089844,1.0,8.641403110232204e-05,8.641403110232204e-05,20.0,0.0018401852576062083,0.036803705152124166,10.0,0.0009711005259305239,0.009711005259305239,1.0,0.00022393689141608775,0.00022393689141608775,0.18009004502251125,0.006818491034209728,0.0012279423573364192,500.0,0.00721194501966238,3.60597250983119,200.0,0.001013363478705287,0.2026726957410574,0.018009004502251125,0.08425401151180267,0.0015173308726487724,1.8009004502251128e-05,148.89535522460938,0.0026814571226042713,7518,195,12
38,3.399677038192749,1.0,8.825289842206985e-05,8.825289842206985e-05,20.0,0.0019340207800269127,0.038680415600538254,10.0,0.001013708533719182,0.01013708533719182,1.0,0.00023051613243296742,0.00023051613243296742,0.18509254627313657,0.0066567109897732735,0.0012321075869015064,500.0,0.006290372461080551,3.1451862305402756,200.0,0.0009988995734602213,0.19977991469204426,0.018509254627313655,0.08417730778455734,0.0015580592236261238,1.8509254627313654e-05,150.432861328125,0.002784400134637631,7518,195,10
39,2.991438150405884,1.0,9.019163553602993e-05,9.019163553602993e-05,20.0,0.0020306783262640238,0.040613566525280476,10.0,0.001056763925589621,0.01056763925589621,1.0,0.00023639625578653067,0.00023639625578653067,0.19009504752376188,0.008432170376181602,0.0016029138283886989,500.0,0.005473279394209385,2.7366396971046925,200.0,0.0009851229842752218,0.19702459685504436,0.01900950475237619,0.08411011844873428,0.0015988916963741385,1.9009504752376188e-05,161.202392578125,0.003064377647808279,7518,195,11
40,2.6330811977386475,1.0,9.231002331944183e-05,9.231002331944183e-05,20.0,0.0021301822271198034,0.04260364454239607,10.0,0.0011001116363331676,0.011001116363331676,1.0,0.00024183921050280333,0.00024183921050280333,0.1950975487743872,0.008489405736327171,0.0016562622497086528,500.0,0.004757210146635771,2.3786050733178854,200.0,0.0009712155442684889,0.19424310885369778,0.01950975487743872,0.08404985815286636,0.0016397921300459171,1.9509754877438718e-05,153.66458129882812,0.0029979583144843906,7518,196,12
41,2.323380947113037,1.0,9.457900159759447e-05,9.457900159759447e-05,20.0,0.0022324183955788612,0.044648367911577225,10.0,0.0011439368827268481,0.011439368827268481,1.0,0.00024682775256223977,0.00024682775256223977,0.2001000500250125,0.009154506027698517,0.0018318171140967517,500.0,0.0041390638798475266,2.0695319399237633,200.0,0.0009540715254843235,0.1908143050968647,0.02001000500250125,0.08400186151266098,0.0016808776690877634,2.001000500250125e-05,154.56692504882812,0.0030928849434482867,7518,197,11
42,2.0624287128448486,1.0,9.709629375720397e-05,9.709629375720397e-05,20.0,0.002337442245334387,0.046748844906687737,10.0,0.0011880751699209213,0.011880751699209213,1.0,0.000251197227044031,0.000251197227044031,0.2051025512756378,0.008053919300436974,0.0016518793962877233,500.0,0.0036160985473543406,1.8080492736771703,200.0,0.0009441211586818099,0.18882423173636198,0.02051025512756378,0.08397648483514786,0.0017223791286848733,2.051025512756378e-05,156.17587280273438,0.0032032069959540316,7518,197,13
43,1.8466684818267822,1.0,9.995178697863594e-05,9.995178697863594e-05,20.0,0.002445204881951213,0.04890409763902426,10.0,0.0012321810936555266,0.012321810936555266,1.0,0.00025500517222099006,0.00025500517222099006,0.21010505252626313,0.010404392145574093,0.002186015358249684,500.0,0.0031813657842576504,1.5906828921288252,200.0,0.000936055148486048,0.1872110296972096,0.021010505252626314,0.08397373557090759,0.001764330612295207,2.1010505252626315e-05,154.37124633789062,0.0032434178820367216,7518,197,12
44,1.668962836265564,1.0,0.00010320077853975818,0.00010320077853975818,20.0,0.0025553579907864332,0.051107159815728664,10.0,0.0012756830547004938,0.012756830547004938,1.0,0.0002583889290690422,0.0002583889290690422,0.21510755377688845,0.012079834938049316,0.0025984637435523795,500.0,0.0028226994909346104,1.4113497454673052,200.0,0.0009283908293582499,0.18567816587164998,0.021510755377688845,0.08397432416677475,0.0018063511451582362,2.1510755377688845e-05,153.62225341796875,0.0033045307138432497,7518,195,11
45,1.5285825729370117,1.0,0.00010688745533116162,0.00010688745533116162,20.0,0.0026675760746002197,0.053351521492004395,10.0,0.001318923314101994,0.01318923314101994,1.0,0.0002608845243230462,0.0002608845243230462,0.22011005502751377,0.013101701624691486,0.0028838162655649095,500.0,0.002536354586482048,1.268177293241024,200.0,0.0009276160271838307,0.18552320543676615,0.022011005502751375,0.08402027934789658,0.0018493708310692593,2.2011005502751375e-05,147.2156982421875,0.003240365544100175,7518,195,10
46,1.4255796670913696,1.0,0.00011103668657597154,0.00011103668657597154,20.0,0.0027809403836727142,0.055618807673454285,10.0,0.001360414084047079,0.01360414084047079,1.0,0.00026240284205414355,0.00026240284205414355,0.22511255627813906,0.0077224066480994225,0.0017384107011729564,500.0,0.0023232698440551758,1.161634922027588,200.0,0.0009373503271490335,0.1874700654298067,0.022511255627813906,0.08409703522920609,0.0018931298575859297,2.2511255627813905e-05,144.2230987548828,0.0032466430435066163,7518,194,11
47,1.3560500144958496,1.0,0.00011568109039217234,0.00011568109039217234,20.0,0.0028935037553310394,0.05787007510662079,10.0,0.0013986306730657816,0.013986306730657816,1.0,0.000262478890363127,0.000262478890363127,0.23011505752876438,0.008910724893212318,0.0020504919714245456,500.0,0.0021720058284699917,1.0860029142349958,200.0,0.0009530549868941307,0.19061099737882614,0.02301150575287644,0.08418060094118118,0.0019371223828385867,2.3011505752876438e-05,139.66192626953125,0.0032138312198091235,7518,193,8
48,1.3132795095443726,1.0,0.00012081093154847622,0.00012081093154847622,20.0,0.003000975353643298,0.06001950707286596,10.0,0.0014313064748421311,0.014313064748421311,1.0,0.0002608845243230462,0.0002608845243230462,0.2351175587793897,0.011439572088420391,0.002689644262910247,500.0,0.0020731664262712,1.0365832131356,200.0,0.0009698444046080112,0.19396888092160225,0.02351175587793897,0.08427523076534271,0.0019814586523117096,2.3511755877938968e-05,142.14100646972656,0.0033419846443607545,7518,195,6
49,1.2905877828598022,1.0,0.0001263759913854301,0.0001263759913854301,20.0,0.0030965576879680157,0.06193115375936031,10.0,0.0014589959755539894,0.014589959755539894,1.0,0.0002572585653979331,0.0002572585653979331,0.24012006003001501,0.011516846716403961,0.0027654259248994003,500.0,0.0020165112800896168,1.0082556400448084,200.0,0.0009870595531538129,0.19741191063076258,0.0240120060030015,0.08435922116041183,0.00202563412491234,2.40120060030015e-05,134.2891082763672,0.0032245508740698474,7518,196,6
50,1.2786247730255127,1.0,0.00013219854736234993,0.00013219854736234993,20.0,0.0031752134673297405,0.06350426934659481,10.0,0.0014806251274421811,0.014806251274421811,1.0,0.0002523142611607909,0.0002523142611607909,0.24512256128064033,0.009776382707059383,0.002396411969214156,500.0,0.001984329428523779,0.9921647142618895,200.0,0.0010008156532421708,0.20016313064843416,0.02451225612806403,0.08445114642381668,0.0020700881314492333,2.451225612806403e-05,127.91250610351562,0.0031354241115919288,7518,198,7
51,1.2705392837524414,1.0,0.0001380698085995391,0.0001380698085995391,20.0,0.0032355773728340864,0.06471154745668173,10.0,0.001497504417784512,0.01497504417784512,1.0,0.0002463118580635637,0.0002463118580635637,0.25012506253126565,0.011500797234475613,0.0028766376274326198,500.0,0.00196074484847486,0.9803724242374301,200.0,0.0010111971059814095,0.2022394211962819,0.02501250625312656,0.08455866575241089,0.002115024155888216,2.5012506253126565e-05,114.53575134277344,0.00286482619666767,7518,200,6
52,1.259203553199768,1.0,0.00014381841174326837,0.00014381841174326837,20.0,0.00327809969894588,0.0655619939789176,10.0,0.00150942406617105,0.0150942406617105,1.0,0.0002396545751253143,0.0002396545751253143,0.25512756378189094,0.008762426674365997,0.0022355365702484537,500.0,0.0019344404572620988,0.9672202286310494,200.0,0.0010187510633841157,0.20375021267682314,0.025512756378189096,0.08468669652938843,0.0021605910570279187,2.5512756378189095e-05,109.64119720458984,0.002797249153293688,7518,203,7
53,1.2418636083602905,1.0,0.0001493180461693555,0.0001493180461693555,20.0,0.0033038693945854902,0.0660773878917098,10.0,0.0015172145795077085,0.015172145795077085,1.0,0.0002323725348105654,0.0002323725348105654,0.26013006503251623,0.010058054700493813,0.0026164024233400612,500.0,0.0018967955838888884,0.9483977919444442,200.0,0.0010213349014520645,0.2042669802904129,0.026013006503251626,0.08489435166120529,0.002208357321852264,2.6013006503251628e-05,105.43830871582031,0.0027427674103164866,7518,204,7
54,1.2174595594406128,1.0,0.00015451706713065505,0.00015451706713065505,20.0,0.0033138233702629805,0.06627646740525961,10.0,0.0015211859717965126,0.015211859717965126,1.0,0.00022449909010902047,0.00022449909010902047,0.2651325662831416,0.011292186565697193,0.0029939264031113117,500.0,0.0018483966123312712,0.9241983061656356,200.0,0.0010174138005822897,0.20348276011645794,0.026513256628314157,0.08511147648096085,0.0022565824179544398,2.6513256628314155e-05,100.352783203125,0.002660679094430027,7518,204,7
