View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5966,0.6472,0.6650,0.6635,0.6461,0.6165,0.5737,0.5152,0.4461,0.3869,0.3071,0.2441,0.2211,0.2020,0.1710,0.1270,0.0935,0.0746,0.0515,0.0310,0.0238,0.0206,0.0151,0.0113
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6116,0.6852,0.7315,0.7628,0.7850,0.8021,0.8155,0.8259,0.8339,0.8419,0.8445,0.8463,0.8532,0.8605,0.8616,0.8548,0.8394,0.8137,0.7357,0.3876,0.2663,0.2641,0.1207,0.0666
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3872,0.2673,0.1771,0.1210,0.0877,0.0670,0.0534,0.0439,0.0369,0.0315,0.0271,0.0235,0.0206,0.0181,0.0159,0.0141,0.0126,0.0115,0.0106,0.0102,0.0095,0.0089,0.0083,0.0076
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6070,0.6770,0.7190,0.7448,0.7609,0.7707,0.7763,0.7790,0.7798,0.7790,0.7788,0.7806,0.7737,0.7588,0.7601,0.7676,0.7628,0.7711,0.7144,0.3778,0.1926,0.1152,0.0510,0.0308
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3810,0.2755,0.1976,0.1453,0.1109,0.0878,0.0715,0.0596,0.0506,0.0436,0.0380,0.0334,0.0295,0.0262,0.0234,0.0211,0.0191,0.0174,0.0160,0.0148,0.0137,0.0127,0.0113,0.0101
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5909,0.6509,0.6830,0.6908,0.6895,0.6769,0.6547,0.6285,0.5925,0.5120,0.4829,0.4266,0.2364,0.1292,0.0982,0.0886,0.0851,0.0691,0.0637,0.0393,0.0282,0.0205,0.0128,0.0089
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6085,0.6842,0.7342,0.7675,0.7911,0.8090,0.8231,0.8343,0.8434,0.8512,0.8561,0.8609,0.8670,0.8738,0.8767,0.8786,0.8804,0.8850,0.8810,0.8702,0.7802,0.6092,0.4273,0.2400
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6151,0.6867,0.7250,0.7419,0.7456,0.7395,0.7263,0.7080,0.6832,0.6388,0.6081,0.5699,0.4680,0.3415,0.2619,0.2419,0.2431,0.2375,0.3072,0.5104,0.4576,0.2661,0.1973,0.1303
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3866,0.2814,0.2002,0.1443,0.1078,0.0835,0.0669,0.0551,0.0463,0.0394,0.0344,0.0302,0.0263,0.0230,0.0205,0.0188,0.0175,0.0162,0.0161,0.0181,0.0208,0.0237,0.0248,0.0255
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6199,0.7032,0.7580,0.7964,0.8239,0.8448,0.8614,0.8750,0.8864,0.8962,0.9052,0.9130,0.9203,0.9267,0.9321,0.9374,0.9422,0.9455,0.9496,0.9524,0.9518,0.9488,0.9448,0.9363
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5170,0.4371,0.2880,0.1662,0.1025,0.0693,0.0507,0.0394,0.0319,0.0261,0.0225,0.0196,0.0164,0.0137,0.0120,0.0111,0.0106,0.0100,0.0105,0.0133,0.0205,0.0475,0.1373,0.4882
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3620,0.1800,0.0931,0.0571,0.0391,0.0290,0.0227,0.0184,0.0153,0.0131,0.0112,0.0097,0.0088,0.0080,0.0071,0.0063,0.0056,0.0051,0.0045,0.0037,0.0031,0.0026,0.0020,0.0016
012,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3343,0.2078,0.1343,0.0937,0.0696,0.0543,0.0440,0.0365,0.0309,0.0266,0.0230,0.0202,0.0182,0.0165,0.0148,0.0132,0.0118,0.0107,0.0096,0.0085,0.0077,0.0071,0.0062,0.0055
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6303,0.7095,0.7548,0.7821,0.7997,0.8123,0.8217,0.8290,0.8350,0.8416,0.8446,0.8462,0.8526,0.8551,0.8549,0.8486,0.8450,0.8472,0.8533,0.8963,0.9040,0.8942,0.8918,0.8738
014,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6256,0.7062,0.7551,0.7861,0.8071,0.8227,0.8350,0.8454,0.8542,0.8615,0.8674,0.8703,0.8733,0.8746,0.8726,0.8717,0.8740,0.8740,0.9026,0.9463,0.9656,0.9745,0.9799,0.9833
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3208,0.1890,0.1180,0.0807,0.0593,0.0460,0.0371,0.0307,0.0259,0.0224,0.0193,0.0168,0.0152,0.0138,0.0123,0.0110,0.0098,0.0089,0.0080,0.0070,0.0064,0.0061,0.0054,0.0048
