View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3816,0.2725,0.1896,0.1330,0.0962,0.0725,0.0568,0.0459,0.0380,0.0319,0.0272,0.0235,0.0204,0.0178,0.0157,0.0138,0.0122,0.0110,0.0103,0.0101,0.0102,0.0100,0.0095,0.0091
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3623,0.2259,0.1295,0.0775,0.0494,0.0339,0.0251,0.0195,0.0156,0.0129,0.0108,0.0092,0.0079,0.0069,0.0060,0.0053,0.0047,0.0042,0.0037,0.0034,0.0032,0.0029,0.0026,0.0023
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6055,0.6876,0.7447,0.7839,0.8118,0.8319,0.8474,0.8603,0.8714,0.8806,0.8881,0.8946,0.9003,0.9049,0.9085,0.9110,0.9123,0.9077,0.7897,0.3781,0.1882,0.1360,0.1018,0.0806
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6172,0.7030,0.7672,0.8113,0.8403,0.8616,0.8772,0.8889,0.8983,0.9063,0.9131,0.9185,0.9227,0.9262,0.9288,0.9308,0.9320,0.9300,0.9346,0.9327,0.9296,0.9260,0.9172,0.9059
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4662,0.2927,0.1365,0.0679,0.0373,0.0233,0.0163,0.0122,0.0095,0.0076,0.0063,0.0053,0.0045,0.0038,0.0033,0.0028,0.0025,0.0021,0.0017,0.0014,0.0014,0.0012,0.0011,0.0010
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5654,0.5226,0.3581,0.1866,0.0984,0.0604,0.0419,0.0314,0.0247,0.0201,0.0167,0.0141,0.0120,0.0103,0.0089,0.0077,0.0067,0.0055,0.0038,0.0028,0.0024,0.0020,0.0017,0.0014
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6100,0.6888,0.7386,0.7662,0.7775,0.7756,0.7619,0.7342,0.6864,0.6145,0.5197,0.4057,0.2942,0.2062,0.1451,0.1045,0.0783,0.0626,0.0534,0.0670,0.0918,0.0968,0.0946,0.0928
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3549,0.2140,0.1261,0.0791,0.0549,0.0407,0.0313,0.0250,0.0204,0.0169,0.0142,0.0120,0.0103,0.0089,0.0078,0.0067,0.0059,0.0054,0.0062,0.0082,0.0128,0.0188,0.0308,0.0697
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6141,0.6963,0.7502,0.7839,0.8047,0.8147,0.8175,0.8151,0.8069,0.7903,0.7617,0.7160,0.6426,0.5312,0.3886,0.2519,0.1614,0.1295,0.2755,0.6421,0.8125,0.8343,0.8449,0.8534
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6097,0.6370,0.5476,0.3384,0.1603,0.0843,0.0532,0.0371,0.0275,0.0214,0.0173,0.0141,0.0117,0.0099,0.0084,0.0072,0.0062,0.0054,0.0042,0.0037,0.0035,0.0031,0.0028,0.0025
