node_a,node_b,min_distance_m,max_distance_m,mean_distance_m,ncs,mean_penetration_m,max_penetration_m
"person 1, right hand",target object 2,0.00035170498845130046,0.1001098574839274,0.03345983007322657,0.991245,0.014655688783760834,0.03793564731671452
"person 1, left foot",target object 1,0.18976023467187927,0.42530548910721,0.3157944732960764,0.991245,0.014655688783760834,0.03793564731671452
"person 1, right foot",target object 1,0.39195930090728753,0.4706035778635,0.4272346151710945,0.991245,0.014655688783760834,0.03793564731671452
