iter,reprojection_error_px,loss,loss_inpaint_scores,loss_joint2d_torso,loss_joint2d_limb,loss_vposer,loss_betas,loss_scene_intersect,loss_scene_nocontact,loss_self_intersect,loss_angles,loss_floating,loss_joints3d
599,10.246813774108887,0.0015335313510149717,0.0,0.00033465184969827533,0.0011988794431090355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,10.15899658203125,0.0014934437349438667,0.0,0.00033496340620331466,0.0011584802996367216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,10.076241493225098,0.001459355466067791,0.0,0.00033430775511078537,0.0011250476818531752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,9.976696968078613,0.001423872308805585,0.0,0.00033178558805957437,0.0010920867789536715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799,9.85244083404541,0.0013883765786886215,0.0,0.000324667344102636,0.001063709263689816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849,11.410614013671875,0.02238321863114834,0.0,0.00021372534683905542,0.001707491115666926,1.150515079498291,1.3309438228607178,0.0,0.0,184.47946166992188,0.030947063118219376,0.0,0.0
899,12.625041007995605,0.008615395985543728,0.0,0.00022970512509346008,0.0021872089710086584,0.7451784610748291,0.18277134001255035,0.0,0.0,131.38180541992188,0.004708242602646351,0.0,0.0
949,12.884920120239258,0.004525531083345413,0.0,0.00021352348267100751,0.0021256718318909407,0.7662191987037659,0.014534549787640572,0.0,0.0,82.7452392578125,0.0028222317341715097,0.0,0.0
999,12.832921028137207,0.004406396299600601,0.0,0.00021561843459494412,0.0020893560722470284,0.8352871537208557,0.000641412625554949,0.0,0.0,80.92079162597656,0.002515326952561736,0.0,0.0
1049,12.567452430725098,0.0045176041312515736,0.0,0.00021836606902070343,0.0020211669616401196,0.8577471375465393,0.000340522441547364,0.0,0.0,71.77978515625,0.0020499546080827713,0.0,0.0
1099,12.694966316223145,0.003760051215067506,0.0,0.000285831221845001,0.0018881260184571147,0.7701305747032166,0.000481555238366127,0.0,0.0,68.95976257324219,0.0006139812176115811,0.0,0.0
1149,12.662275314331055,0.003670806298032403,0.0,0.0002787165576592088,0.0018956512212753296,0.7546801567077637,0.0003154902660753578,0.0,0.0,66.3919677734375,0.0002649668313097209,0.0,0.0
1199,13.097434043884277,0.003747029695659876,0.0,0.000326070497976616,0.0018549475353211164,0.7307815551757812,0.00024127594952005893,0.0,0.0,60.13221740722656,0.00021370546892285347,0.0,0.0
1249,13.53414249420166,0.005171992350369692,0.0,0.0003541142214089632,0.0018773518968373537,0.7272201776504517,0.00014343623479362577,0.0,0.0,57.1593017578125,0.00017961376579478383,0.0,0.0
1299,14.790775299072266,0.0064124539494514465,0.0,0.00036664915387518704,0.002027806593105197,0.6785502433776855,7.892167923273519e-05,0.0,0.0,48.43217849731445,0.0002393568865954876,0.0,0.0
1349,15.208826065063477,0.007359503768384457,0.0,0.00036309316055849195,0.0020652792882174253,0.6137477159500122,1.608237471373286e-05,0.0,0.0,48.572837829589844,0.00013866173685528338,0.0,0.0
1399,15.23479175567627,0.008236967027187347,0.0,0.000363343016942963,0.002047516405582428,0.5661137700080872,1.1406892554077785e-05,0.0,0.0,47.42513656616211,0.0001212589704664424,0.0,0.0
1449,15.209271430969238,0.009167784824967384,0.0,0.0003550837282091379,0.0020918746013194323,0.5090769529342651,1.1008839464921039e-05,0.0,0.0,44.67308044433594,0.00040283665293827653,0.0,0.0
1499,15.185076713562012,0.009438387118279934,0.0,0.0003571548149921,0.0020901064854115248,0.4589824676513672,1.3148302059562411e-05,0.0,0.0,41.81195068359375,0.00020316026348154992,0.0,0.0
1549,15.61626148223877,0.009699320420622826,0.0,0.00036768318386748433,0.0021880813874304295,0.4337194561958313,8.237897418439388e-06,0.0,0.0,34.354042053222656,0.00025557068875059485,0.0,0.0
1599,16.022741317749023,0.009977360256016254,0.0,0.00036501087015494704,0.002320631640031934,0.4054434597492218,2.577112582002883e-06,0.0,0.0,30.829166412353516,0.00016785322804935277,0.0,0.0
