iter,reprojection_error_px,loss,loss_inpaint_scores,loss_joint2d_torso,loss_joint2d_limb,loss_vposer,loss_betas,loss_scene_intersect,loss_scene_nocontact,loss_self_intersect,loss_angles,loss_floating,loss_joints3d
0,83.16670227050781,0.063556969165802,0.0,0.020355628803372383,0.04320134222507477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,29.84381103515625,0.008272684179246426,0.0,0.0007365689380094409,0.00753611559048295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,17.03534698486328,0.0034510951954871416,0.0,0.0002803273673634976,0.0031707677990198135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,14.109045028686523,0.0026289555244147778,0.0,0.0002460884861648083,0.0023828670382499695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,12.469125747680664,0.002197425113990903,0.0,0.00024664722150191665,0.0019507779506966472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,11.671956062316895,0.0019921467173844576,0.0,0.0002619089500512928,0.0017302378546446562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,11.23701000213623,0.0018803367856889963,0.0,0.00027841588598676026,0.0016019209288060665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10.920126914978027,0.00179202388972044,0.0,0.00029395794263109565,0.0014980658888816833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,10.707993507385254,0.0017254713457077742,0.0,0.00030636019073426723,0.001419111154973507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,10.53898811340332,0.0016657346859574318,0.0,0.00031745724845677614,0.0013482774375006557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,10.414554595947266,0.00161814596503973,0.0,0.00032646238105371594,0.001291683642193675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,10.336724281311035,0.0015752795152366161,0.0,0.00033182487823069096,0.0012434546370059252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
