iter,total,mask_weight,mask_raw,mask_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled
1,14.805835723876953,500.0,1.871126914920751e-05,0.009355634574603755,0.0,0.0,0.0,500.0,0.024895137175917625,12.447568587958813
2,12.858416557312012,500.0,1.8467359041096643e-05,0.009233679520548321,0.007503751875937969,0.0,0.0,500.0,0.024232106283307076,12.116053141653538
3,12.83084487915039,500.0,1.8215760064776987e-05,0.009107880032388493,0.015007503751875938,0.0,0.0,500.0,0.023766042664647102,11.883021332323551
4,12.262052536010742,500.0,1.8221520804218017e-05,0.009110760402109008,0.022511255627813906,0.0,0.0,500.0,0.02334805577993393,11.674027889966965
5,11.852445602416992,500.0,1.802951010176912e-05,0.00901475505088456,0.030015007503751877,0.0,0.0,500.0,0.022598350420594215,11.299175210297108
6,11.462570190429688,500.0,1.774973497958854e-05,0.00887486748979427,0.03751875937968985,0.0,0.0,500.0,0.021648503839969635,10.824251919984818
7,10.978937149047852,500.0,1.7514279534225352e-05,0.008757139767112676,0.04502251125562781,0.0,0.0,500.0,0.02079837955534458,10.39918977767229
8,10.519380569458008,500.0,1.7291667973040603e-05,0.008645833986520302,0.05252626313156578,0.0,0.0,500.0,0.01998150162398815,9.990750811994076
9,10.001623153686523,500.0,1.7185537217301317e-05,0.008592768608650658,0.060030015007503754,0.0,0.0,500.0,0.019137628376483917,9.568814188241959
10,9.673600196838379,500.0,1.7227128410013393e-05,0.008613564205006696,0.06753376688344172,0.0,0.0,500.0,0.018322046846151352,9.161023423075676
11,9.35853385925293,500.0,1.720807995297946e-05,0.00860403997648973,0.0750375187593797,0.0,0.0,500.0,0.01750197447836399,8.750987239181995
12,9.044220924377441,500.0,1.7155107343569398e-05,0.008577553671784699,0.08254127063531766,0.0,0.0,500.0,0.016713822260499,8.3569111302495
13,8.857819557189941,500.0,1.702492227195762e-05,0.00851246113597881,0.09004502251125562,0.0,0.0,500.0,0.016020119190216064,8.010059595108032
14,8.580840110778809,500.0,1.685102324699983e-05,0.008425511623499915,0.0975487743871936,0.0,0.0,500.0,0.015454249456524849,7.7271247282624245
15,8.452685356140137,500.0,1.6638616216368973e-05,0.008319308108184487,0.10505252626313157,0.0,0.0,500.0,0.015014695934951305,7.507347967475653
16,8.356202125549316,500.0,1.6516212781425565e-05,0.008258106390712783,0.11255627813906953,0.0,0.0,500.0,0.014628336764872074,7.314168382436037
17,8.113564491271973,500.0,1.647038516239263e-05,0.008235192581196316,0.12006003001500751,0.0,0.0,500.0,0.014272207394242287,7.136103697121143
18,7.969270706176758,500.0,1.6316207620548084e-05,0.008158103810274042,0.12756378189094547,0.0,0.0,500.0,0.01393357664346695,6.966788321733475
19,7.654087543487549,500.0,1.6109795978991315e-05,0.008054897989495657,0.13506753376688344,0.0,0.0,500.0,0.013671239838004112,6.835619919002056
20,7.374024868011475,500.0,1.5873773008934222e-05,0.007936886504467111,0.1425712856428214,0.0,0.0,500.0,0.013447770848870277,6.723885424435139
21,7.054101943969727,500.0,1.563775549584534e-05,0.00781887774792267,0.1500750375187594,0.0,0.0,500.0,0.013151820749044418,6.575910374522209
22,6.765414237976074,500.0,1.5411584172397852e-05,0.007705792086198926,0.15757878939469736,0.0,0.0,500.0,0.012771288864314556,6.385644432157278
23,6.590230941772461,500.0,1.528840948594734e-05,0.00764420474297367,0.16508254127063532,0.0,0.0,500.0,0.012334857136011124,6.167428568005562
24,6.436282157897949,500.0,1.524070103187114e-05,0.00762035051593557,0.17258629314657328,0.0,0.0,500.0,0.01188915129750967,5.944575648754835
25,6.2314019203186035,500.0,1.522402362752473e-05,0.007612011813762365,0.18009004502251125,0.0,0.0,500.0,0.011482466012239456,5.741233006119728
26,6.063320636749268,500.0,1.5255589460139163e-05,0.007627794730069581,0.1875937968984492,0.0,0.0,500.0,0.011108485981822014,5.554242990911007
27,5.971489906311035,500.0,1.5328963854699396e-05,0.007664481927349698,0.1950975487743872,0.0,0.0,500.0,0.01073803286999464,5.36901643499732
28,5.728011608123779,500.0,1.544460428704042e-05,0.00772230214352021,0.20260130065032517,0.0,0.0,500.0,0.010378739796578884,5.189369898289442
29,5.458680629730225,500.0,1.557789983053226e-05,0.00778894991526613,0.21010505252626313,0.0,0.0,500.0,0.010046763345599174,5.023381672799587
30,5.492437839508057,500.0,1.5665176761103794e-05,0.007832588380551897,0.2176088044022011,0.0,0.0,500.0,0.009776007384061813,4.888003692030907
31,5.67595100402832,500.0,1.5678762792958878e-05,0.007839381396479439,0.22511255627813906,0.0,0.0,500.0,0.009587193839251995,4.7935969196259975
32,5.619391441345215,500.0,1.5630821508239023e-05,0.007815410754119512,0.23261630815407705,0.0,0.0,500.0,0.0094654131680727,4.73270658403635
33,5.323060989379883,500.0,1.553737274662126e-05,0.007768686373310629,0.24012006003001501,0.0,0.0,500.0,0.009392631240189075,4.696315620094538
34,5.014516830444336,500.0,1.542958852951415e-05,0.007714794264757074,0.24762381190595298,0.0,0.0,500.0,0.00933858286589384,4.66929143294692
35,4.832061767578125,500.0,1.535952469566837e-05,0.007679762347834185,0.25512756378189094,0.0,0.0,500.0,0.009250598028302193,4.625299014151096
36,4.7663726806640625,500.0,1.537209755042568e-05,0.007686048775212839,0.26263131565782893,0.0,0.0,500.0,0.009093159809708595,4.546579904854298
37,4.861549377441406,500.0,1.537384196126368e-05,0.0076869209806318395,0.27013506753376687,0.0,0.0,500.0,0.008945178240537643,4.472589120268822
38,4.710134029388428,500.0,1.5352336049545556e-05,0.007676168024772778,0.27763881940970486,0.0,0.0,500.0,0.008848464116454124,4.424232058227062
39,4.583968162536621,500.0,1.5299239748856053e-05,0.007649619874428026,0.2851425712856428,0.0,0.0,500.0,0.008791293948888779,4.395646974444389
40,4.538250923156738,500.0,1.5339588571805507e-05,0.0076697942859027535,0.2926463231615808,0.0,0.0,500.0,0.008656704798340797,4.328352399170399
41,4.433613300323486,500.0,1.5447694750037044e-05,0.007723847375018522,0.3001500750375188,0.0,0.0,500.0,0.008479285053908825,4.2396425269544125
42,4.3073649406433105,500.0,1.560912096465472e-05,0.007804560482327361,0.3076538269134567,0.0,0.0,500.0,0.008262861520051956,4.131430760025978
43,4.189050674438477,500.0,1.572991459397599e-05,0.007864957296987996,0.3151575787893947,0.0,0.0,500.0,0.008039113134145737,4.019556567072868
44,4.072598934173584,500.0,1.5842655557207763e-05,0.007921327778603882,0.32266133066533265,0.0,0.0,500.0,0.0077528320252895355,3.8764160126447678
45,3.955888271331787,500.0,1.5999272363842465e-05,0.007999636181921232,0.33016508254127064,0.0,0.0,500.0,0.0074389623478055,3.71948117390275
46,3.926325559616089,500.0,1.6074143786681816e-05,0.008037071893340908,0.33766883441720863,0.0,0.0,500.0,0.007170329801738262,3.585164900869131
47,3.8773109912872314,500.0,1.608459569979459e-05,0.008042297849897295,0.34517258629314657,0.001085755997337401,0.0003747732056842454,500.0,0.0069724153727293015,3.4862076863646507
48,3.7941861152648926,500.0,1.6094363672891632e-05,0.008047181836445816,0.35267633816908456,0.0014170705107972026,0.0004997672386753516,500.0,0.0068177636712789536,3.4088818356394768
49,4.514166831970215,500.0,1.6174893971765414e-05,0.008087446985882707,0.3601800900450225,0.0020325479563325644,0.0007320833059326895,500.0,0.006665633991360664,3.332816995680332
50,4.3405842781066895,500.0,1.619954127818346e-05,0.00809977063909173,0.3676838419209605,0.0023233862593770027,0.0008542715861141056,500.0,0.006568741984665394,3.284370992332697
51,3.9891457557678223,500.0,1.618138048797846e-05,0.00809069024398923,0.3751875937968984,0.0024125841446220875,0.0009051716400533094,500.0,0.0065163541585206985,3.2581770792603493
52,3.7334651947021484,500.0,1.614669236005284e-05,0.00807334618002642,0.3826913456728364,0.0019873823039233685,0.0007605540082548159,500.0,0.006496431306004524,3.248215653002262
53,3.712942361831665,500.0,1.6159054212039337e-05,0.008079527106019668,0.3901950975487744,0.0021378255914896727,0.0008341690652135792,500.0,0.006452954839915037,3.2264774199575186
54,3.770128011703491,500.0,1.6172965842997655e-05,0.008086482921498828,0.39769884942471234,0.0023613267112523317,0.0009390969161808923,500.0,0.006386015564203262,3.193007782101631
55,3.697155714035034,500.0,1.6099747881526127e-05,0.008049873940763064,0.40520260130065033,0.0027761629316955805,0.001124908441557489,500.0,0.006337945815175772,3.168972907587886
56,3.5385007858276367,500.0,1.5935282135615125e-05,0.007967641067807563,0.41270635317658827,0.0029898497741669416,0.0012339299968422844,500.0,0.006318422965705395,3.1592114828526974
57,3.458188772201538,500.0,1.580220487085171e-05,0.007901102435425855,0.42021010505252626,0.003627808066084981,0.001524441608559972,500.0,0.006275339983403683,3.1376699917018414
58,3.3607277870178223,500.0,1.571923894516658e-05,0.00785961947258329,0.42771385692846425,0.003197256475687027,0.001367510898805607,500.0,0.0062018875032663345,3.1009437516331673
59,3.34317684173584,500.0,1.571400571265258e-05,0.00785700285632629,0.4352176088044022,0.003756984369829297,0.0016351057537526204,500.0,0.006090924143791199,3.0454620718955994
60,3.3222057819366455,500.0,1.5656671166652814e-05,0.007828335583326407,0.4427213606803402,0.00417365925386548,0.001847768103887419,500.0,0.006020480766892433,3.0102403834462166
61,3.2441577911376953,500.0,1.5552846889477223e-05,0.007776423444738612,0.4502251125562781,0.004203310701996088,0.0018924360339151972,500.0,0.005990904755890369,2.9954523779451847
62,3.2267816066741943,500.0,1.548254476801958e-05,0.00774127238400979,0.4577288644322161,0.004393224138766527,0.002010905496233803,500.0,0.0059702154248952866,2.9851077124476433
63,3.157280445098877,500.0,1.5480116417165846e-05,0.007740058208582923,0.4652326163081541,0.004608556162565947,0.0021440506409136223,500.0,0.00590728223323822,2.95364111661911
64,3.1551923751831055,500.0,1.5536108548985794e-05,0.007768054274492897,0.47273636818409204,0.0049754660576581955,0.0023520837541205577,500.0,0.005799277685582638,2.899638842791319
65,3.1268105506896973,500.0,1.5532732504652813e-05,0.0077663662523264065,0.48024012006003003,0.004975517746061087,0.0023894432397291864,500.0,0.005730045028030872,2.865022514015436
66,3.0310287475585938,500.0,1.547646024846472e-05,0.007738230124232359,0.48774387193596797,0.004609683994203806,0.0022483451197342222,500.0,0.005696848034858704,2.848424017429352
67,2.9916505813598633,500.0,1.5477422493859194e-05,0.007738711246929597,0.49524762381190596,0.005061107221990824,0.002506501325548232,500.0,0.005594043061137199,2.7970215305685997
68,2.9233360290527344,500.0,1.5540865206276067e-05,0.007770432603138033,0.5027513756878439,0.0054820445366203785,0.002756105432367924,500.0,0.005453877616673708,2.726938808336854
69,2.8599307537078857,500.0,1.5573059499729425e-05,0.007786529749864712,0.5102551275637819,0.0061625041998922825,0.0031444493666283784,500.0,0.005307602696120739,2.6538013480603695
70,2.799112319946289,500.0,1.566744685987942e-05,0.00783372342993971,0.5177588794397199,0.007011030800640583,0.0036300234510570303,500.0,0.005127457901835442,2.563728950917721
71,2.7406022548675537,500.0,1.5712110325694084e-05,0.007856055162847042,0.5252626313156579,0.007445310242474079,0.003910743248923354,500.0,0.0049903057515621185,2.4951528757810593
72,2.6800107955932617,500.0,1.5829933545319363e-05,0.007914966772659682,0.5327663831915957,0.007802133914083242,0.004156714666582618,500.0,0.004830038174986839,2.4150190874934196
73,2.624269723892212,500.0,1.5934681869111955e-05,0.007967340934555978,0.5402701350675337,0.008817266672849655,0.004763705856266947,500.0,0.004701324738562107,2.3506623692810535
74,2.6364381313323975,500.0,1.610018443898298e-05,0.00805009221949149,0.5477738869434717,0.009423971176147461,0.005162205321601536,500.0,0.004550519399344921,2.2752596996724606
75,2.5363786220550537,500.0,1.6221176338149235e-05,0.008110588169074617,0.5552776388194097,0.01043113972991705,0.005792178639423675,500.0,0.004436066374182701,2.2180331870913506
76,2.541801929473877,500.0,1.6281883290503174e-05,0.008140941645251587,0.5627813906953477,0.011478377506136894,0.0064598172558299185,500.0,0.004359088838100433,2.1795444190502167
77,2.5243189334869385,500.0,1.6371130186598748e-05,0.008185565093299374,0.5702851425712856,0.012331828474998474,0.007032658560029144,500.0,0.004258745815604925,2.1293729078024626
78,2.5081844329833984,500.0,1.6480878912261687e-05,0.008240439456130844,0.5777888944472236,0.01297838892787695,0.00749876899034411,500.0,0.00414071511477232,2.07035755738616
79,2.5054996013641357,500.0,1.649337173148524e-05,0.00824668586574262,0.5852926463231616,0.013521947897970676,0.00791429666864717,500.0,0.004068275913596153,2.0341379567980766
80,2.4058754444122314,500.0,1.6422192857135087e-05,0.008211096428567544,0.5927963981990996,0.01378698367625475,0.008172874265313596,500.0,0.004039677791297436,2.019838895648718
81,2.360527753829956,500.0,1.6271264030365273e-05,0.008135632015182637,0.6003001500750376,0.014036615379154682,0.008426182318652137,500.0,0.004045258276164532,2.022629138082266
82,2.319680690765381,500.0,1.618104761291761e-05,0.008090523806458805,0.6078039019509754,0.01387107465416193,0.008430893299052899,500.0,0.004019947722554207,2.0099738612771034
83,2.3415844440460205,500.0,1.6151647287188098e-05,0.008075823643594049,0.6153076538269134,0.01419412437826395,0.008733753369316987,500.0,0.003966659773141146,1.9833298865705729
84,2.3312413692474365,500.0,1.6071797290351242e-05,0.008035898645175621,0.6228114057028514,0.013830816373229027,0.008613990187428783,500.0,0.003949765581637621,1.9748827908188105
85,2.2864339351654053,500.0,1.5950496162986383e-05,0.007975248081493191,0.6303151575787894,0.013880155049264431,0.008748872117095139,500.0,0.003965095616877079,1.9825478084385395
86,2.271848678588867,500.0,1.5899599020485766e-05,0.007949799510242883,0.6378189094547274,0.014078362844884396,0.00897944603663212,500.0,0.003963952884078026,1.981976442039013
87,2.2257163524627686,500.0,1.592094122315757e-05,0.007960470611578785,0.6453226613306653,0.014276268891990185,0.009212799835251294,500.0,0.003933499567210674,1.9667497836053371
88,2.207158327102661,500.0,1.588851955602877e-05,0.007944259778014384,0.6528264132066033,0.01432106178253889,0.009349167396805028,500.0,0.003923612646758556,1.9618063233792782
89,2.1969499588012695,500.0,1.5892452211119235e-05,0.007946226105559617,0.6603301650825413,0.014097287319600582,0.009308864062967869,500.0,0.0038708841893821955,1.9354420946910977
90,2.1735100746154785,500.0,1.583444645802956e-05,0.00791722322901478,0.6678339169584793,0.014309362508356571,0.00955627761313458,500.0,0.003847781103104353,1.9238905515521765
91,2.1483702659606934,500.0,1.5817484381841496e-05,0.007908742190920748,0.6753376688344173,0.014222683385014534,0.009605113841805714,500.0,0.0037903250195086002,1.8951625097543001
