iter,stage,total,e_img,e_smooth,e_vel,active_pairs,sum_weight,mean_reproj_px
20,adam,4546818.0,4546818.0,0.00069419015198946,0.00039340468356385827,328583,328583.0,3.6625354290008545
40,adam,3329433.0,3329433.0,7.181096589192748e-05,6.0108483012299985e-05,328583,328583.0,2.8139474391937256
60,adam,3195852.25,3195852.25,3.484461922198534e-05,3.5577890230342746e-05,328583,328583.0,2.691493272781372
80,adam,3178314.5,3178314.5,2.5584840841474943e-05,3.0999355658423156e-05,328583,328583.0,2.697661876678467
100,adam,3175686.0,3175686.0,2.4497399863321334e-05,3.113406273769215e-05,328583,328583.0,2.6900603771209717
120,adam,3175300.75,3175300.75,2.442656477796845e-05,3.132389247184619e-05,328583,328583.0,2.6915972232818604
140,adam,3175253.25,3175253.25,2.448935993015766e-05,3.139531327178702e-05,328583,328583.0,2.6910624504089355
160,adam,3175246.75,3175246.75,2.4502329324604943e-05,3.140333865303546e-05,328583,328583.0,2.691044569015503
180,adam,3175246.0,3175246.0,2.447636506985873e-05,3.1375679100165144e-05,328583,328583.0,2.6910436153411865
200,adam,3175246.0,3175246.0,2.4453576770611107e-05,3.1364881579065695e-05,328583,328583.0,2.691030979156494
220,adam,3175245.75,3175245.75,2.4456390747218393e-05,3.136956365779042e-05,328583,328583.0,2.691039800643921
240,adam,3175245.75,3175245.75,2.4461372959194705e-05,3.13720156555064e-05,328583,328583.0,2.6910362243652344
260,adam,3175245.75,3175245.75,2.4460645363433287e-05,3.137145904474892e-05,328583,328583.0,2.69103741645813
280,adam,3175245.75,3175245.75,2.446045255055651e-05,3.137147723464295e-05,328583,328583.0,2.69103741645813
300,adam,3175245.75,3175245.75,2.446048893034458e-05,3.137149178655818e-05,328583,328583.0,2.69103741645813
320,adam,3175245.75,3175245.75,2.4460505301249214e-05,3.137148451060057e-05,328583,328583.0,2.69103741645813
340,adam,3175245.75,3175245.75,2.4460530767100863e-05,3.137149542453699e-05,328583,328583.0,2.69103741645813
360,adam,3175245.75,3175245.75,2.4460532586090267e-05,3.137149178655818e-05,328583,328583.0,2.69103741645813
380,adam,3175245.75,3175245.75,2.4460525310132653e-05,3.137149178655818e-05,328583,328583.0,2.69103741645813
400,adam,3175245.75,3175245.75,2.4460481654386967e-05,3.137147723464295e-05,328583,328583.0,2.69103741645813
420,adam,3175246.0,3175246.0,2.4448116164421663e-05,3.1368974305223674e-05,328583,328583.0,2.6910359859466553
440,adam,3178147.5,3178147.5,3.424726310186088e-05,3.4322361898375675e-05,328583,328583.0,2.6930623054504395
460,adam,3178759.5,3178759.5,3.7678866647183895e-05,3.44800682796631e-05,328583,328583.0,2.693387746810913
480,adam,3176334.5,3176334.5,2.7890931960428134e-05,3.2710988307371736e-05,328583,328583.0,2.6916110515594482
500,adam,3176778.5,3176778.5,2.7804411729448475e-05,3.247795393690467e-05,328583,328583.0,2.6917943954467773
520,adam,3176339.75,3176339.75,2.7779573429143056e-05,3.266685962444171e-05,328583,328583.0,2.6916251182556152
540,adam,3175500.5,3175500.5,2.534308259782847e-05,3.160228152410127e-05,328583,328583.0,2.6911370754241943
560,adam,3176459.5,3176459.5,2.829891673172824e-05,3.261003439547494e-05,328583,328583.0,2.6919727325439453
580,adam,3177714.75,3177714.75,3.036531779798679e-05,3.338271926622838e-05,328583,328583.0,2.692840337753296
600,adam,3190644.25,3190644.25,5.3388932428788394e-05,4.244360752636567e-05,328583,328583.0,2.702255964279175
620,adam,3217294.75,3217294.75,9.93176072370261e-05,6.058159488020465e-05,328583,328583.0,2.7218592166900635
640,adam,3221494.5,3221494.5,0.00011121093120891601,6.294276681728661e-05,328583,328583.0,2.7246780395507812
660,adam,3200231.25,3200231.25,0.00011642659228527918,5.775188037659973e-05,328583,328583.0,2.7100839614868164
680,adam,3193979.5,3193979.5,6.666812987532467e-05,4.4788324885303155e-05,328583,328583.0,2.707033395767212
700,adam,3187215.0,3187215.0,4.6393004595302045e-05,3.971285332227126e-05,328583,328583.0,2.7006425857543945
720,adam,3205375.0,3205375.0,8.989913476398215e-05,5.416707062977366e-05,328583,328583.0,2.7176737785339355
740,adam,3196171.75,3196171.75,5.618367868009955e-05,4.4287713535595685e-05,328583,328583.0,2.711668014526367
760,adam,3209010.75,3209010.75,9.115319699048996e-05,5.5308388255070895e-05,328583,328583.0,2.7186810970306396
780,adam,3226746.0,3226746.0,0.00014306200318969786,7.204180292319506e-05,328583,328583.0,2.731806516647339
800,adam,3254016.75,3254016.75,0.00016693928046151996,8.05390445748344e-05,328583,328583.0,2.7587640285491943
820,adam,3207576.0,3207576.0,9.813992073759437e-05,5.686684016836807e-05,328583,328583.0,2.7141568660736084
