frame_idx,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled,total_raw_local,total_scaled_local
0,20.0,3.25658947986085e-05,0.0006513178814202547,0.0001,403.87762451171875,0.04038776084780693,0.0001,895.6356201171875,0.08956356346607208,1000.0,0.0,0.0,1000.0,0.0,0.0,1.36,0.004287049174308777,0.005830387119203806,1000.0,0.0009935706621035933,0.9935706853866577,144.64,0.0,0.0,1299.5185546875,1.1300036907196045
1,20.0,3.268325963290408e-05,0.0006536651635542512,0.0001,413.7568359375,0.04137568175792694,0.0001,683.134033203125,0.06831340491771698,1000.0,6.611671921064044e-08,6.611672142753378e-05,1000.0,3.219926014708108e-08,3.2199259294429794e-05,1.36,0.00437014689669013,0.005943399854004383,1000.0,0.0009947216603904963,0.9947216510772705,144.64,3.876675236824667e-06,0.0005607223138213158,1096.896240234375,1.1116669178009033
2,20.0,3.274809932918288e-05,0.0006549619720317423,0.0001,405.8697204589844,0.04058697074651718,0.0001,666.0503540039062,0.06660503149032593,1000.0,2.033767145803722e-07,0.00020337670866865665,1000.0,1.4750710874977813e-07,0.00014750710397493094,1.36,0.004373069852590561,0.005947375204414129,1000.0,0.0010007994715124369,1.0007994174957275,144.64,1.0273119187331758e-05,0.0014859039802104235,1071.925537109375,1.116430640220642
3,20.0,3.287428626208566e-05,0.0006574857397936285,0.0001,406.5294189453125,0.04065294191241264,0.0001,650.4693603515625,0.06504693627357483,1000.0,1.59061698923324e-06,0.0015906170010566711,1000.0,1.211306198456441e-06,0.0012113061966374516,1.36,0.004396732896566391,0.00597955659031868,1000.0,0.0009971146937459707,0.9971147179603577,144.64,4.400176294439007e-06,0.0006364415166899562,1057.004150390625,1.1128900051116943
4,20.0,3.298353112768382e-05,0.0006596706225536764,0.0001,420.3467102050781,0.04203467071056366,0.0001,651.4059448242188,0.06514059007167816,1000.0,1.8475961951480713e-06,0.0018475961405783892,1000.0,3.058464699279284e-06,0.0030584647320210934,1.36,0.004185807891190052,0.005692698992788792,1000.0,0.001004054443910718,1.0040544271469116,144.64,7.936507245176472e-06,0.0011479364475235343,1071.7578125,1.1236361265182495
5,20.0,3.3169868402183056e-05,0.0006633973680436611,0.0001,430.0563659667969,0.04300563409924507,0.0001,647.3424072265625,0.06473423540592194,1000.0,4.844568593398435e-06,0.00484456866979599,1000.0,7.140533398342086e-06,0.007140533532947302,1.36,0.004071688745170832,0.005537496879696846,1000.0,0.001004739198833704,1.0047391653060913,144.64,3.403067239560187e-06,0.0004922196385450661,1077.40380859375,1.1311572790145874
6,20.0,3.351368286530487e-05,0.0006702736718580127,0.0001,457.14178466796875,0.04571417719125748,0.0001,681.25244140625,0.06812524050474167,1000.0,7.799918421369512e-06,0.007799918297678232,1000.0,6.52323387839715e-06,0.006523233838379383,1.36,0.004248239099979401,0.005777605343610048,1000.0,0.0009928832296282053,0.9928832054138184,144.64,1.0919850865320768e-05,0.0015794471837580204,1138.3995361328125,1.1290730237960815
7,20.0,3.3843953133327886e-05,0.000676879077218473,0.0001,475.10162353515625,0.047510161995887756,0.0001,673.9737548828125,0.06739737093448639,1000.0,9.88745432550786e-06,0.009887454099953175,1000.0,4.93957168146153e-06,0.004939571488648653,1.36,0.004141919780522585,0.005633010994642973,1000.0,0.0009919630829244852,0.9919630885124207,144.64,5.1727147365454584e-06,0.0007481814827769995,1149.08056640625,1.1287556886672974
8,20.0,3.406225368962623e-05,0.0006812450592406094,0.0001,481.5047302246094,0.04815047234296799,0.0001,684.6749877929688,0.06846749782562256,1000.0,9.878677701635752e-06,0.009878677316009998,1000.0,2.624721673782915e-06,0.002624721731990576,1.36,0.004104263614863157,0.005581798497587442,1000.0,0.0009909927612170577,0.9909927845001221,144.64,2.305863063156721e-06,0.0003335200308356434,1166.184814453125,1.1267107725143433
9,20.0,3.4174394386354834e-05,0.0006834878586232662,0.0001,493.25994873046875,0.04932599514722824,0.0001,678.1320190429688,0.0678132027387619,1000.0,1.1639309377642348e-05,0.011639309115707874,1000.0,1.3845184412275557e-06,0.001384518458507955,1.36,0.004308739677071571,0.005859885830432177,1000.0,0.0009935437701642513,0.9935437440872192,144.64,1.19160431495402e-05,0.0017235365230590105,1171.397216796875,1.1319736242294312
10,20.0,3.4278778912266716e-05,0.0006855755927972496,0.0001,504.7402038574219,0.05047401785850525,0.0001,684.8992919921875,0.0684899240732193,1000.0,1.1024254490621388e-05,0.011024254374206066,1000.0,1.5960888504196191e-06,0.0015960888704285026,1.36,0.004176634829491377,0.00568022346124053,1000.0,0.0009961167816072702,0.9961167573928833,144.64,8.985731255961582e-06,0.0012996961595490575,1189.6446533203125,1.1353665590286255
11,20.0,3.443660170887597e-05,0.0006887320196256042,0.0001,520.8992919921875,0.05208992958068848,0.0001,706.986083984375,0.07069860398769379,1000.0,1.0126250344910659e-05,0.010126250796020031,1000.0,1.4928853033779887e-06,0.001492885290645063,1.36,0.003925192169845104,0.005338261369615793,1000.0,0.0010030344128608704,1.0030343532562256,144.64,1.129422707890626e-05,0.0016335969557985663,1227.890380859375,1.145102620124817
12,20.0,3.464236215222627e-05,0.0006928472430445254,0.0001,521.8124389648438,0.052181243896484375,0.0001,711.2077026367188,0.07112076878547668,1000.0,7.458510026481235e-06,0.007458509877324104,1000.0,3.703745733218966e-06,0.0037037457805126905,1.36,0.003742312779650092,0.005089545622467995,1000.0,0.0010165669955313206,1.0165669918060303,144.64,1.7571834177942947e-05,0.002541590016335249,1233.0250244140625,1.1593551635742188
13,20.0,3.4843036701204255e-05,0.0006968607194721699,0.0001,535.8523559570312,0.053585235029459,0.0001,691.68896484375,0.06916889548301697,1000.0,5.071321538707707e-06,0.005071321502327919,1000.0,3.8095331547083333e-06,0.003809533081948757,1.36,0.003688178025186062,0.005015922244638205,1000.0,0.0010461636120453477,1.046163558959961,144.64,3.2699317671358585e-05,0.004729629494249821,1227.546142578125,1.1882410049438477
14,20.0,3.499368540360592e-05,0.0006998737226240337,0.0001,543.6168823242188,0.05436168611049652,0.0001,720.7789916992188,0.07207790017127991,1000.0,1.775952341631637e-06,0.0017759522888809443,1000.0,2.8818828923249384e-06,0.002881882945075631,1.36,0.003913769964128733,0.005322727374732494,1000.0,0.0010613894555717707,1.061389446258545,144.64,5.53481459064642e-06,0.0008005555719137192,1264.4010009765625,1.199310064315796
15,20.0,3.50078335031867e-05,0.0007001566700637341,0.0001,528.2333984375,0.05282333865761757,0.0001,705.2117919921875,0.07052117586135864,1000.0,1.2935906568145583e-07,0.00012935906124766916,1000.0,4.314720740694611e-07,0.00043147208634763956,1.36,0.004035579971969128,0.005488388705998659,1000.0,0.0010632064659148455,1.063206434249878,144.64,3.3617257031437475e-06,0.00048623999464325607,1233.450439453125,1.19378662109375
16,20.0,3.483343243715353e-05,0.0006966686341911554,0.0001,521.2652587890625,0.05212652310729027,0.0001,702.9215087890625,0.0702921524643898,1000.0,1.6935824760366813e-06,0.0016935825115069747,1000.0,2.4464939087920357e-06,0.0024464938323944807,1.36,0.003563497681170702,0.004846356809139252,1000.0,0.001032549887895584,1.0325498580932617,144.64,1.9479382899589837e-05,0.0028174978215247393,1224.1912841796875,1.1674691438674927
17,20.0,3.4500953915994614e-05,0.0006900191074237227,0.0001,493.69232177734375,0.04936923086643219,0.0001,678.218505859375,0.06782184541225433,1000.0,4.830759280594066e-06,0.004830759484320879,1000.0,6.657408448518254e-06,0.0066574085503816605,1.36,0.003919845912605524,0.00533099053427577,1000.0,0.0010151984170079231,1.0151984691619873,144.64,3.1338702683569863e-05,0.004532829858362675,1171.915771484375,1.1544315814971924
18,20.0,3.4362503356533125e-05,0.0006872500525787473,0.0001,484.22119140625,0.04842211678624153,0.0001,693.1060791015625,0.06931060552597046,1000.0,8.092179996310733e-06,0.008092179894447327,1000.0,1.9258052361692535e-06,0.001925805234350264,1.36,0.004063441883772612,0.005526280961930752,1000.0,0.0009931501699611545,0.9931501746177673,144.64,3.784919317695312e-05,0.005474507343024015,1177.332275390625,1.1325888633728027
19,20.0,3.4278516977792606e-05,0.0006855703541077673,0.0001,484.23773193359375,0.04842377081513405,0.0001,693.8717041015625,0.06938716769218445,1000.0,9.74909562501125e-06,0.009749095886945724,1000.0,1.4692695913254283e-06,0.0014692696277052164,1.36,0.00401640310883522,0.005462308414280415,1000.0,0.0009871184593066573,0.9871184825897217,144.64,3.2882060622796416e-05,0.004756061360239983,1178.114501953125,1.1270517110824585
20,20.0,3.4328353649470955e-05,0.0006865670438855886,0.0001,500.43450927734375,0.05004344880580902,0.0001,692.3607177734375,0.06923606991767883,1000.0,7.660535629838705e-06,0.007660535629838705,1000.0,2.789271547953831e-06,0.002789271529763937,1.36,0.0041338661685585976,0.005622058175504208,1000.0,0.000988141167908907,0.9881411790847778,144.64,1.8485393411538098e-06,0.0002673727285582572,1192.8004150390625,1.1244465112686157
21,20.0,3.4357388358330354e-05,0.0006871477817185223,0.0001,509.46868896484375,0.05094686895608902,0.0001,695.3984985351562,0.06953984498977661,1000.0,6.742282039340353e-06,0.006742281839251518,1000.0,2.046551571766031e-06,0.0020465515553951263,1.36,0.004171696025878191,0.005673506762832403,1000.0,0.0009894338436424732,0.9894338250160217,144.64,1.8467702602720237e-06,0.0002671168476808816,1204.872314453125,1.1253372430801392
22,20.0,3.4498614695621654e-05,0.0006899723084643483,0.0001,514.2679443359375,0.05142679437994957,0.0001,721.623291015625,0.07216233015060425,1000.0,6.599142125196522e-06,0.006599142216145992,1000.0,1.8866282971430337e-06,0.0018866283353418112,1.36,0.004183569457381964,0.005689654499292374,1000.0,0.0009921116288751364,0.9921116232872009,144.64,4.39988070866093e-06,0.0006363987340591848,1235.896484375,1.1312024593353271
23,20.0,3.463132452452555e-05,0.0006926264613866806,0.0001,518.5783081054688,0.051857829093933105,0.0001,708.427490234375,0.07084275037050247,1000.0,4.498640009842347e-06,0.004498640075325966,1000.0,1.1338001968397293e-06,0.0011338002514094114,1.36,0.004243770148605108,0.005771527532488108,1000.0,0.0009886464104056358,0.988646388053894,144.64,2.935517386504216e-06,0.0004245932213962078,1227.0111083984375,1.1238682270050049
24,20.0,3.484195622149855e-05,0.000696839124429971,0.0001,534.6829833984375,0.05346829816699028,0.0001,707.2301025390625,0.07072301208972931,1000.0,4.453217115951702e-06,0.0044532171450555325,1000.0,2.6226900899928296e-06,0.002622690051794052,1.36,0.004274089355021715,0.005812761373817921,1000.0,0.0009886533953249454,0.9886534214019775,144.64,2.592027840364608e-06,0.00037491091643460095,1241.9183349609375,1.1268051862716675
25,20.0,3.503317930153571e-05,0.0007006636005826294,0.0001,543.6515502929688,0.05436515435576439,0.0001,721.1856689453125,0.07211856544017792,1000.0,4.227088538755197e-06,0.004227088764309883,1000.0,3.521749704304966e-06,0.0035217497497797012,1.36,0.004171538632363081,0.005673292558640242,1000.0,0.000992781249806285,0.9927812218666077,144.64,3.085932803514879e-06,0.0004463493241928518,1264.8424072265625,1.1338341236114502
26,20.0,3.516443393891677e-05,0.0007032887078821659,0.0001,555.5631103515625,0.05555630847811699,0.0001,722.80615234375,0.07228061556816101,1000.0,4.8639367378200404e-06,0.004863936919718981,1000.0,2.8240904157428304e-06,0.0028240904211997986,1.36,0.004199719987809658,0.005711619276553392,1000.0,0.0009988908423110843,0.9988908171653748,144.64,1.2435128155630082e-05,0.0017986169550567865,1278.37451171875,1.1426292657852173
27,20.0,3.532462869770825e-05,0.000706492573954165,0.0001,582.611572265625,0.05826115608215332,0.0001,734.7653198242188,0.07347653061151505,1000.0,5.128047632751986e-06,0.005128047429025173,1000.0,4.530058504315093e-06,0.004530058708041906,1.36,0.004362545907497406,0.005933062639087439,1000.0,0.0010070339776575565,1.0070339441299438,144.64,1.178002821689006e-05,0.0017038632649928331,1317.38232421875,1.1567730903625488
28,20.0,3.5366265365155414e-05,0.000707325292751193,0.0001,593.4969482421875,0.05934969335794449,0.0001,742.72216796875,0.07427221536636353,1000.0,6.524795935547445e-06,0.0065247961319983006,1000.0,2.5888687105179997e-06,0.0025888686068356037,1.36,0.004023540299385786,0.005472014658153057,1000.0,0.0010203924030065536,1.0203924179077148,144.64,1.8262842786498368e-05,0.002641537459567189,1336.2242431640625,1.1719489097595215
29,20.0,3.5372169804759324e-05,0.0007074433960951865,0.0001,615.5759887695312,0.061557598412036896,0.0001,751.2527465820312,0.07512526959180832,1000.0,1.0825616300280672e-05,0.01082561630755663,1000.0,1.8478153833711985e-06,0.0018478153506293893,1.36,0.004070826806128025,0.005536324344575405,1000.0,0.001018343959003687,1.0183439254760742,144.64,4.887862814939581e-06,0.0007069804705679417,1366.8338623046875,1.174651026725769
30,20.0,3.5313689295435324e-05,0.0007062737713567913,0.0001,634.1459350585938,0.06341458857059479,0.0001,776.5809936523438,0.07765809446573257,1000.0,1.1543179425643757e-05,0.011543179862201214,1000.0,3.522397946653655e-07,0.00035223978920839727,1.36,0.003990168683230877,0.005426629446446896,1000.0,0.001022981945425272,1.0229820013046265,144.64,2.4286216557811713e-06,0.0003512758412398398,1410.7320556640625,1.182434320449829
31,20.0,3.515011485433206e-05,0.0007030023261904716,0.0001,634.5361328125,0.06345361471176147,0.0001,768.4482421875,0.07684481889009476,1000.0,1.442607299395604e-05,0.014426073059439659,1000.0,1.5287257610907545e-06,0.0015287257265299559,1.36,0.00397153478115797,0.005401287227869034,1000.0,0.0010202202247455716,1.0202202796936035,144.64,1.4907617469361867e-06,0.00021562377514783293,1402.9893798828125,1.1827934980392456
32,20.0,3.49744877894409e-05,0.0006994897266849875,0.0001,620.5529174804688,0.06205528974533081,0.0001,770.197509765625,0.07701975107192993,1000.0,1.6733847587602213e-05,0.016733847558498383,1000.0,2.2781632651458494e-06,0.002278163330629468,1.36,0.003933523781597614,0.0053495923057198524,1000.0,0.001027917955070734,1.0279179811477661,144.64,3.2459993235534057e-06,0.00046950133400969207,1390.75537109375,1.1925235986709595
33,20.0,3.477858263067901e-05,0.0006955716526135802,0.0001,615.4154052734375,0.061541538685560226,0.0001,755.7706298828125,0.07557705789804459,1000.0,2.250732359243557e-05,0.0225073229521513,1000.0,5.304270416672807e-06,0.005304270423948765,1.36,0.003999390639364719,0.005439171101897955,1000.0,0.001024584285914898,1.0245842933654785,144.64,3.2209627534030005e-06,0.0004658800608012825,1371.1910400390625,1.1961151361465454
34,20.0,3.453245881246403e-05,0.0006906491471454501,0.0001,596.3639526367188,0.059636395424604416,0.0001,758.2127685546875,0.07582127302885056,1000.0,2.9902768801548518e-05,0.02990276925265789,1000.0,6.3726197367941495e-06,0.006372619885951281,1.36,0.004250320140272379,0.005780435632914305,1000.0,0.0010133571922779083,1.013357162475586,144.64,1.2501173841883428e-05,0.0018081697635352612,1354.58203125,1.1933695077896118
35,20.0,3.420659777475521e-05,0.0006841319845989347,0.0001,576.9671020507812,0.05769670754671097,0.0001,726.0530395507812,0.07260530441999435,1000.0,3.4586490073706955e-05,0.03458648920059204,1000.0,1.3960896467324346e-05,0.01396089605987072,1.36,0.0042826514691114426,0.005824406165629625,1000.0,0.0010059241903945804,1.0059242248535156,144.64,2.2787142370361835e-05,0.00329593219794333,1303.0255126953125,1.1945780515670776
36,20.0,3.383310104254633e-05,0.0006766620208509266,0.0001,566.234130859375,0.05662341043353081,0.0001,726.1075439453125,0.0726107507944107,1000.0,3.322949123685248e-05,0.03322949260473251,1000.0,1.488692760176491e-05,0.014886927790939808,1.36,0.004386341664940119,0.0059654247015714645,1000.0,0.001004353747703135,1.0043537616729736,144.64,7.859985998948105e-06,0.0011368683772161603,1292.34716796875,1.1894832849502563
37,20.0,3.3476215321570635e-05,0.0006695243064314127,0.0001,547.8368530273438,0.05478368327021599,0.0001,701.3460083007812,0.07013460248708725,1000.0,2.9453598472173326e-05,0.029453597962856293,1000.0,8.139085366565268e-06,0.00813908502459526,1.36,0.004252747632563114,0.005783736705780029,1000.0,0.0010038847103714943,1.0038846731185913,144.64,6.7511023189581465e-06,0.0009764794376678765,1249.1881103515625,1.1738253831863403
