iter,total,mask_weight,mask_raw,mask_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled
1,15.496651649475098,500.0,1.871126914920751e-05,0.009355634574603755,0.0,0.0,0.0,0.0,0.36421507596969604,0.0,500.0,0.024895137175917625,12.447568587958813,200.0,0.005630000494420528,1.1260000988841057
2,13.553424835205078,500.0,1.846792656579055e-05,0.009233963282895274,0.007503751875937969,0.0,0.0,0.010005002501250625,0.36428314447402954,0.0036446537716261084,500.0,0.024232234805822372,12.116117402911186,200.0,0.005477928556501865,1.095585711300373
3,13.526185989379883,500.0,1.8222221115138382e-05,0.00911111055756919,0.015007503751875938,0.0,0.0,0.02001000500250125,0.3639981150627136,0.007283604103305925,500.0,0.023764465004205704,11.882232502102852,200.0,0.005395969375967979,1.0791938751935959
4,12.953776359558105,500.0,1.8228980479761958e-05,0.009114490239880979,0.022511255627813906,0.0,0.0,0.030015007503751877,0.3635450005531311,0.010911805919553711,500.0,0.023343099281191826,11.671549640595913,200.0,0.005328914150595665,1.065782830119133
5,12.539854049682617,500.0,1.8039751012111083e-05,0.009019875506055541,0.030015007503751877,0.0,0.0,0.0400200100050025,0.3631616234779358,0.01453373180501994,500.0,0.0225914865732193,11.29574328660965,200.0,0.005219288635998964,1.0438577271997929
6,12.139094352722168,500.0,1.775832788553089e-05,0.008879163942765445,0.03751875937968985,0.0,0.0,0.05002501250625312,0.36315497756004333,0.01816683229414924,500.0,0.021639442071318626,10.819721035659313,200.0,0.005091076251119375,1.018215250223875
7,11.648338317871094,500.0,1.7513903003418818e-05,0.008756951501709409,0.04502251125562781,0.0,0.0,0.060030015007503754,0.36293351650238037,0.021786904442364006,500.0,0.020783165469765663,10.391582734882832,200.0,0.004996967501938343,0.9993935003876686
8,11.193655967712402,500.0,1.7269067029701546e-05,0.008634533514850773,0.05252626313156578,0.0,0.0,0.07003501750875438,0.3619404733181,0.02534850738595998,500.0,0.01995541714131832,9.97770857065916,200.0,0.0049230121076107025,0.9846024215221405
9,10.666101455688477,500.0,1.715355392661877e-05,0.008576776963309385,0.060030015007503754,0.0,0.0,0.080040020010005,0.3610561192035675,0.028898939005788295,500.0,0.019111381843686104,9.555690921843052,200.0,0.004827673546969891,0.9655347093939781
10,10.31480884552002,500.0,1.7185540855280124e-05,0.008592770427640062,0.06753376688344172,0.0,0.0,0.09004502251125562,0.35956358909606934,0.03237691147438343,500.0,0.018308013677597046,9.154006838798523,200.0,0.0047170426696538925,0.9434085339307785
11,9.990647315979004,500.0,1.7146583559224382e-05,0.008573291779612191,0.0750375187593797,0.0,0.0,0.10005002501250625,0.35868772864341736,0.03588671622245296,500.0,0.01748954877257347,8.744774386286736,200.0,0.004600835964083672,0.9201671928167343
12,9.70674991607666,500.0,1.706111834209878e-05,0.00853055917104939,0.08254127063531766,0.0,0.0,0.11005502751375688,0.356576532125473,0.03924304005382895,500.0,0.016694046556949615,8.347023278474808,200.0,0.004485582932829857,0.8971165865659714
13,9.486357688903809,500.0,1.688337215455249e-05,0.008441686077276245,0.09004502251125562,0.0,0.0,0.12006003001500751,0.35471174120903015,0.04258670229623174,500.0,0.016003604978322983,8.001802489161491,200.0,0.0043868497014045715,0.8773699402809143
14,9.162288665771484,500.0,1.6638028682791628e-05,0.008319014341395814,0.0975487743871936,0.0,0.0,0.13006503251625812,0.3533424139022827,0.04595749255357354,500.0,0.015437524765729904,7.718762382864952,200.0,0.004310654941946268,0.8621309883892536
15,9.085443496704102,500.0,1.6335792679456063e-05,0.008167896339728031,0.10505252626313157,0.0,0.0,0.14007003501750875,0.3523576557636261,0.0493547491814984,500.0,0.014993363060057163,7.496681530028582,200.0,0.004250027239322662,0.8500054478645325
16,9.002950668334961,500.0,1.6121237422339618e-05,0.008060618711169809,0.11255627813906953,0.0,0.0,0.1500750375187594,0.35133635997772217,0.05272681740536101,500.0,0.014585728757083416,7.292864378541708,200.0,0.0041804807260632515,0.8360961452126503
17,8.515460968017578,500.0,1.5883306332398206e-05,0.007941653166199103,0.12006003001500751,0.0,0.0,0.16008004002001,0.3501138687133789,0.05604624211519822,500.0,0.014158820733428001,7.079410366714001,200.0,0.004110537003725767,0.8221074007451534
18,8.259440422058105,500.0,1.554981827212032e-05,0.00777490913606016,0.12756378189094547,0.0,0.0,0.17008504252126064,0.34887534379959106,0.05933847768477287,500.0,0.013759315013885498,6.879657506942749,200.0,0.004045686684548855,0.809137336909771
19,7.892280101776123,500.0,1.5205931049422361e-05,0.0076029655247111805,0.13506753376688344,0.0,0.0,0.18009004502251125,0.34785041213035583,0.06264439638165488,500.0,0.013438576832413673,6.719288416206837,200.0,0.0039938343688845634,0.7987668737769127
20,7.616332054138184,500.0,1.4883307812851854e-05,0.007441653906425927,0.1425712856428214,0.0,0.0,0.19009504752376188,0.34709104895591736,0.06598028944634747,500.0,0.0131656089797616,6.5828044898808,200.0,0.0039480398409068584,0.7896079681813717
