View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6896,0.7865,0.8482,0.8839,0.9073,0.9247,0.9396,0.9504,0.9585,0.9641,0.9677,0.9701,0.9712,0.9719,0.9725,0.9728,0.9709,0.9649,0.9591,0.9508,0.9363,0.8894,0.8625,0.8544
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5695,0.6065,0.6184,0.6006,0.5585,0.4962,0.4098,0.3056,0.2106,0.1468,0.1104,0.0888,0.0745,0.0639,0.0552,0.0477,0.0401,0.0319,0.0248,0.0195,0.0158,0.0129,0.0117,0.0099
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3722,0.2569,0.1484,0.0878,0.0566,0.0386,0.0277,0.0211,0.0167,0.0139,0.0119,0.0104,0.0092,0.0083,0.0076,0.0069,0.0062,0.0051,0.0042,0.0035,0.0030,0.0026,0.0024,0.0021
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3406,0.1908,0.1103,0.0683,0.0461,0.0336,0.0260,0.0209,0.0175,0.0150,0.0129,0.0111,0.0097,0.0086,0.0077,0.0070,0.0064,0.0064,0.0065,0.0065,0.0065,0.0064,0.0071,0.0069
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5851,0.6416,0.6821,0.7154,0.7495,0.7807,0.8059,0.8235,0.8295,0.8166,0.8086,0.8001,0.7869,0.7660,0.7243,0.6237,0.4080,0.1382,0.0711,0.0471,0.0356,0.0279,0.0276,0.0235
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5799,0.5632,0.4647,0.2869,0.1469,0.0829,0.0529,0.0373,0.0285,0.0231,0.0188,0.0158,0.0135,0.0118,0.0105,0.0095,0.0088,0.0097,0.0104,0.0108,0.0110,0.0110,0.0133,0.0130
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.7070,0.8179,0.8706,0.8997,0.9167,0.9267,0.9333,0.9376,0.9396,0.9353,0.9307,0.9263,0.9244,0.9239,0.9215,0.9210,0.9262,0.9026,0.8636,0.7795,0.5335,0.2100,0.1598,0.1388
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.2686,0.1226,0.0651,0.0392,0.0264,0.0192,0.0148,0.0118,0.0095,0.0079,0.0068,0.0059,0.0053,0.0047,0.0042,0.0038,0.0034,0.0030,0.0026,0.0022,0.0019,0.0017,0.0016,0.0014
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6293,0.7154,0.7737,0.8123,0.8338,0.8467,0.8565,0.8661,0.8799,0.8992,0.9084,0.9131,0.9154,0.9167,0.9198,0.9255,0.9327,0.9561,0.9664,0.9720,0.9758,0.9784,0.9838,0.9844
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3438,0.2127,0.1367,0.0931,0.0672,0.0515,0.0415,0.0341,0.0285,0.0235,0.0201,0.0174,0.0152,0.0134,0.0119,0.0107,0.0098,0.0096,0.0094,0.0090,0.0086,0.0080,0.0079,0.0073
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4531,0.3183,0.1974,0.1201,0.0737,0.0490,0.0352,0.0274,0.0228,0.0203,0.0174,0.0149,0.0127,0.0109,0.0096,0.0087,0.0080,0.0085,0.0093,0.0108,0.0133,0.0181,0.0295,0.0347
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5966,0.5235,0.2837,0.1333,0.0687,0.0419,0.0287,0.0217,0.0177,0.0150,0.0127,0.0108,0.0093,0.0081,0.0072,0.0066,0.0062,0.0064,0.0065,0.0067,0.0071,0.0074,0.0098,0.0103
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4063,0.3243,0.2497,0.1892,0.1442,0.1119,0.0892,0.0739,0.0631,0.0555,0.0489,0.0434,0.0389,0.0352,0.0321,0.0294,0.0269,0.0223,0.0188,0.0163,0.0143,0.0125,0.0116,0.0103
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5980,0.6769,0.7328,0.7747,0.8034,0.8209,0.8290,0.8331,0.8343,0.8432,0.8516,0.8607,0.8705,0.8796,0.8886,0.8968,0.9079,0.9190,0.9218,0.9247,0.9295,0.9361,0.9526,0.9545
