iter,total,track_reproj_weight,track_reproj_raw,track_reproj_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
20,56.21820068359375,1.0,1.3715952634811401,1.3715952634811401,0.0001,3.4127705097198486,0.0003412770456634462,0.0001,23546.703125,2.354670286178589,1000.0,1.3683019460586365e-05,0.013683019205927849,1000.0,0.0007787349168211222,0.7787349224090576,1.0,0.0,0.0,0.04,0.0008705789805389941,3.4823158785002306e-05,1000.0,0.0516953207552433,51.69532012939453,13.96,0.0002737851464189589,0.003822040744125843
40,41.94094467163086,1.0,1.3742324113845825,1.3742324113845825,0.0001,3.104454755783081,0.0003104454663116485,0.0001,23523.20703125,2.352320671081543,1000.0,1.6478432371513918e-05,0.016478432342410088,1000.0,0.0007584963459521532,0.7584963440895081,1.0,0.0,0.0,0.08,0.0009152425918728113,7.321940211113542e-05,1000.0,0.037434279918670654,37.43428039550781,17.92,0.0002651369431987405,0.0047512538731098175
60,30.817333221435547,1.0,1.5497643947601318,1.5497643947601318,0.0001,2.854667901992798,0.00028546678368002176,0.0001,23497.201171875,2.349720001220703,1000.0,1.513070037617581e-05,0.015130700543522835,1000.0,0.000740302144549787,0.7403021454811096,1.0,0.0,0.0,0.12,0.0009103147312998772,0.0001092377642635256,1000.0,0.026156553998589516,26.156553268432617,21.880000000000003,0.0002499279216863215,0.005468422546982765
80,22.490480422973633,1.0,1.8072707653045654,1.8072707653045654,0.0001,2.6525232791900635,0.000265252310782671,0.0001,23474.14453125,2.347414493560791,1000.0,1.3149554433766752e-05,0.013149554841220379,1000.0,0.0007245838642120361,0.7245838642120361,1.0,0.0,0.0,0.16,0.0008922892156988382,0.00014276626461651176,1000.0,0.017591752111911774,17.591753005981445,25.84,0.00022836722200736403,0.00590100884437561
100,16.547142028808594,1.0,2.1282238960266113,2.1282238960266113,0.0001,2.4998302459716797,0.0002499830152373761,0.0001,23456.40234375,2.345640182495117,1000.0,1.1155610991409048e-05,0.011155610904097557,1000.0,0.0007139093359000981,0.7139093279838562,1.0,0.0,0.0,0.2,0.000894216587767005,0.00017884331464301795,1000.0,0.011341708712279797,11.34170913696289,29.8,0.00020381694776006043,0.006073744967579842
120,12.62679672241211,1.0,2.4587347507476807,2.4587347507476807,0.0001,2.383655309677124,0.00023836552281863987,0.0001,23447.724609375,2.3447723388671875,1000.0,9.634032721805852e-06,0.009634032845497131,1000.0,0.0007088889833539724,0.7088890075683594,1.0,0.0,0.0,0.24,0.0009410617058165371,0.00022585480473935604,1000.0,0.007098354399204254,7.098354339599609,33.760000000000005,0.00017619019490666687,0.005948180798441172
140,10.385944366455078,1.0,2.7467474937438965,2.7467474937438965,0.0001,2.3265652656555176,0.000232656515436247,0.0001,23440.107421875,2.344010591506958,1000.0,8.43700036057271e-06,0.008437000215053558,1000.0,0.000704126781783998,0.70412677526474,1.0,0.0,0.0,0.28,0.0009376548696309328,0.00026254335534758866,1000.0,0.004576557315886021,4.576557159423828,37.72,0.00014766919775865972,0.00557008245959878
160,9.274924278259277,1.0,2.8862791061401367,2.8862791061401367,0.0001,2.321439743041992,0.00023214396787807345,0.0001,23447.599609375,2.344759941101074,1000.0,7.778617145959288e-06,0.007778617087751627,1000.0,0.0006978491437621415,0.6978491544723511,1.0,0.0,0.0,0.32,0.0009232615702785552,0.0002954436931759119,1000.0,0.0033326493576169014,3.3326494693756104,41.68,0.0001218860998051241,0.005080212838947773
180,8.714598655700684,1.0,2.8862392902374268,2.8862392902374268,0.0001,2.3590927124023438,0.00023590926139149815,0.0001,23432.546875,2.343254566192627,1000.0,7.456704224750865e-06,0.007456704042851925,1000.0,0.0006874548271298409,0.6874548196792603,1.0,0.0,0.0,0.36,0.0009275327902287245,0.00033391182660125196,1000.0,0.002784998156130314,2.7849981784820557,45.64,0.00010134655167348683,0.004625456407666206
200,8.390647888183594,1.0,2.7867934703826904,2.7867934703826904,0.0001,2.3986763954162598,0.00023986762971617281,0.0001,23443.484375,2.344348430633545,1000.0,7.167281637521228e-06,0.007167281582951546,1000.0,0.0006750660249963403,0.6750660538673401,1.0,0.0,0.0,0.4,0.0009415269596502185,0.0003766107838600874,1000.0,0.0025721509009599686,2.572150945663452,49.6,9.083576151169837e-05,0.004505453631281853
220,8.147444725036621,1.0,2.634733200073242,2.634733200073242,0.0001,2.4532113075256348,0.00024532113457098603,0.0001,23448.498046875,2.3448498249053955,1000.0,7.137064130802173e-06,0.007137064356356859,1000.0,0.0006616184255108237,0.6616184115409851,1.0,0.0,0.0,0.44,0.0009645456448197365,0.0004244000883772969,1000.0,0.0024938781280070543,2.493878126144409,53.56,8.511303167324513e-05,0.0045586540363729
240,7.947608947753906,1.0,2.4800865650177,2.4800865650177,0.0001,2.5058553218841553,0.0002505855227354914,0.0001,23455.9609375,2.3455960750579834,1000.0,7.148229087761138e-06,0.0071482290513813496,1000.0,0.000648795859888196,0.6487958431243896,1.0,0.0,0.0,0.48,0.0009624112863093615,0.0004619574174284935,1000.0,0.0024604646023362875,2.4604647159576416,57.52,8.353826706297696e-05,0.0048051211051642895
260,7.766700267791748,1.0,2.3335742950439453,2.3335742950439453,0.0001,2.554563283920288,0.0002554563106968999,0.0001,23458.1796875,2.345817804336548,1000.0,7.101043593138456e-06,0.007101043593138456,1000.0,0.000636716082226485,0.6367160677909851,1.0,0.0,0.0,0.52,0.0009678282076492906,0.0005032706540077925,1000.0,0.0024376725777983665,2.4376726150512695,61.48,8.22972651803866e-05,0.005059635732322931
280,7.6157307624816895,1.0,2.2080764770507812,2.2080764770507812,0.0001,2.619558334350586,0.0002619558363221586,0.0001,23461.69921875,2.346169948577881,1000.0,7.196234946604818e-06,0.007196235004812479,1000.0,0.0006257889908738434,0.6257889866828918,1.0,0.0,0.0,0.56,0.0009591125999577343,0.0005371030420064926,1000.0,0.0024223218206316233,2.4223217964172363,65.44,8.218618313549086e-05,0.005378264002501965
