frame_idx,dumbbell_(left_hand)_reproj_mean_px,dumbbell_(right_hand)_reproj_mean_px,active_pairs,mean_reproj_px
0,0.7070986032485962,0.707102358341217,3907,0.707100510597229
1,0.2066810578107834,0.3089214265346527,3466,0.25780123472213745
2,0.31888777017593384,0.4583752453327179,3465,0.38863152265548706
3,0.38364505767822266,0.5370466113090515,3466,0.4603458344936371
4,0.38069215416908264,0.6513913869857788,3460,0.5160417556762695
5,0.4010908305644989,0.7239708304405212,3460,0.5625308156013489
6,0.4523167610168457,0.8698506951332092,3466,0.6610836982727051
7,0.47652900218963623,0.9032775163650513,3466,0.6899032592773438
8,0.5206649303436279,0.9058315753936768,3465,0.7132482528686523
9,0.7061104774475098,0.9402077794075012,3466,0.8231590986251831
10,0.7453991770744324,0.9672329425811768,3466,0.856316089630127
11,0.784093976020813,0.9654137492179871,3466,0.8747538328170776
12,0.7995243072509766,0.9383281469345093,3466,0.8689262270927429
13,0.7819058895111084,1.0197107791900635,3465,0.9008083343505859
14,0.7886338233947754,1.082491159439087,3466,0.9355624914169312
15,0.7517815828323364,1.1070517301559448,3466,0.9294166564941406
16,0.7470260262489319,1.1203439235687256,3465,0.9336849451065063
17,0.7503297924995422,1.0939116477966309,3466,0.9221206903457642
18,0.795136570930481,1.0796115398406982,3466,0.9373740553855896
19,0.8374547362327576,1.0817824602127075,3466,0.9596185684204102
20,0.8598153591156006,1.0815974473953247,3466,0.9707064032554626
21,0.9033085703849792,1.167999029159546,3466,1.035653829574585
22,0.9993045330047607,1.1480611562728882,3466,1.0736827850341797
23,1.038926601409912,1.2027195692062378,3466,1.1208231449127197
24,1.0702228546142578,1.2183315753936768,3466,1.1442772150039673
25,1.0903279781341553,1.3286412954330444,3466,1.209484577178955
26,1.130552053451538,1.3607021570205688,3466,1.2456271648406982
27,1.1356372833251953,1.3857896327972412,3456,1.2607134580612183
28,1.2007155418395996,1.4452368021011353,3454,1.3229761123657227
29,1.2340762615203857,1.565726637840271,3441,1.3999013900756836
30,1.1981431245803833,1.5790318250656128,3441,1.388587474822998
31,1.2151087522506714,1.5925192832946777,3445,1.4038140773773193
32,1.2032824754714966,1.577325463294983,3442,1.3903039693832397
33,1.1318981647491455,1.541965126991272,3424,1.3369317054748535
34,1.1571294069290161,1.5951790809631348,3433,1.3761541843414307
35,1.169122338294983,1.6108907461166382,3433,1.3900065422058105
36,1.1593337059020996,1.6218762397766113,3428,1.3906049728393555
37,1.2039817571640015,1.641196608543396,3424,1.4225891828536987
38,1.2530440092086792,1.6447981595993042,3414,1.4489210844039917
39,1.232200264930725,1.664243221282959,3433,1.4482216835021973
40,1.3146800994873047,1.6723650693893433,3437,1.4935226440429688
41,1.3701400756835938,1.6948223114013672,3432,1.5324811935424805
42,1.4278258085250854,1.6793702840805054,3426,1.5535980463027954
43,1.468245029449463,1.6583175659179688,3412,1.5632812976837158
44,1.4521970748901367,1.6822221279144287,3398,1.5672096014022827
45,1.4298279285430908,1.6581820249557495,3403,1.5440049171447754
46,1.4015101194381714,1.6628879308700562,3404,1.5321990251541138
47,1.3519213199615479,1.6353237628936768,3405,1.4936225414276123
48,1.3084032535552979,1.538238763809204,3401,1.423321008682251
49,1.3013445138931274,1.523169755935669,3389,1.412257194519043
50,1.2258840799331665,1.395618200302124,3402,1.31075119972229
51,1.1450196504592896,1.3462364673614502,3419,1.2456281185150146
52,1.1930689811706543,1.2713268995285034,3445,1.2321979999542236
53,1.1973196268081665,1.1854870319366455,3432,1.1914033889770508
54,1.1191996335983276,1.1178326606750488,3458,1.118516206741333
55,1.064925193786621,1.036033034324646,3463,1.0504791736602783
56,1.0104399919509888,1.0330621004104614,3466,1.021751046180725
57,0.9368612170219421,1.0122593641281128,3466,0.9745602607727051
58,0.8932426571846008,0.9275364279747009,3466,0.9103895425796509
59,0.924106240272522,1.012992024421692,3465,0.9685491323471069
60,0.969878077507019,0.9508015513420105,3466,0.9603397846221924
61,0.7261680960655212,0.8907398581504822,3466,0.8084539771080017
62,0.7752636671066284,0.7836101651191711,3466,0.7794369459152222
63,0.9017433524131775,0.7064905762672424,3466,0.80411696434021
64,0.7542482018470764,0.6975444555282593,3464,0.7258963584899902
65,0.7162313461303711,0.6475092172622681,3466,0.6818702816963196
66,0.7700755000114441,0.7293573021888733,3466,0.7497164011001587
67,0.7648634314537048,0.6485282778739929,3466,0.7066958546638489
68,0.7794218063354492,0.6561105847358704,3466,0.7177661657333374
69,0.8275362253189087,0.6285691857337952,3466,0.7280527353286743
70,0.8376064896583557,0.6448304653167725,3466,0.7412184476852417
71,0.8293668627738953,0.5376607775688171,3466,0.6835138201713562
72,0.8092540502548218,0.5513848662376404,3466,0.6803194284439087
73,0.7893336415290833,0.5131504535675049,3466,0.6512420177459717
74,0.8097241520881653,0.5679091215133667,3466,0.6888166666030884
75,0.8018002510070801,0.5592908263206482,3461,0.6805455684661865
76,0.7948307991027832,0.5458619594573975,3461,0.6703463792800903
77,0.8357377052307129,0.5718733072280884,3466,0.7038055062294006
78,0.9350908398628235,0.565640926361084,3431,0.7503658533096313
79,0.9779670834541321,0.7028425931930542,3457,0.8404048681259155
80,0.9756575226783752,0.7794034481048584,3444,0.8775304555892944
