node_a,node_b,min_distance_m,max_distance_m,mean_distance_m,ncs,mean_penetration_m,max_penetration_m
human.hips,bed,0.06560685485601425,0.25121498107910156,0.16544151306152344,0.9827171428571428,0.037481680512428284,0.08294716477394104
human.left_leg,bed,0.0039181835018098354,0.1540188193321228,0.07479140907526016,0.9827171428571428,0.037481680512428284,0.08294716477394104
human.right_leg,bed,0.003827894339337945,0.1213255301117897,0.057524990290403366,0.9827171428571428,0.037481680512428284,0.08294716477394104
human.right_hand,bed,0.1222691684961319,0.24486173689365387,0.17529544234275818,0.9827171428571428,0.037481680512428284,0.08294716477394104
