frame_idx,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_intersect_weight,object_intersect_raw,object_intersect_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled,total_raw_local,total_scaled_local
0,20.0,0.0006581197376362979,0.013162394985556602,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0012169238179922104,0.024338476359844208,1000.0,0.001476696110330522,1.4766961336135864,10000.0,0.0,0.0,0.0033517396077513695,1.5141969919204712
1,20.0,0.0006400258862413466,0.012800517491996288,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,7.392089855784434e-07,0.0007392090046778321,1000.0,1.3012704869197478e-07,0.00013012705312576145,0.0,0.0,0.0,20.0,0.0012117656879127026,0.02423531375825405,1000.0,0.0014764347579330206,1.4764347076416016,10000.0,4.088608989150089e-07,0.004088609013706446,0.0033295045141130686,1.5184285640716553
2,20.0,0.000616495031863451,0.01232990063726902,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.3743987185298465e-06,0.0023743987549096346,1000.0,5.911668381486379e-07,0.0005911668413318694,0.0,0.0,0.0,20.0,0.0012304679257795215,0.024609358981251717,1000.0,0.0014763539656996727,1.4763540029525757,10000.0,1.0985449989675544e-06,0.010985449887812138,0.0033273808658123016,1.5272443294525146
3,20.0,0.0005859326338395476,0.01171865314245224,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.8530703275464475e-06,0.0028530703857541084,1000.0,1.1596271178859752e-06,0.0011596271069720387,0.0,0.0,0.0,20.0,0.0012741591781377792,0.025483183562755585,1000.0,0.0014760419726371765,1.4760420322418213,10000.0,1.6927859860516037e-06,0.01692786067724228,0.0033418391831219196,1.534184455871582
4,20.0,0.0005488217575475574,0.010976435616612434,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.258097538287984e-06,0.00225809752009809,1000.0,2.318266524525825e-06,0.0023182665463536978,0.0,0.0,0.0,20.0,0.0012409489136189222,0.02481897920370102,1000.0,0.0014755548909306526,1.4755549430847168,10000.0,3.045539870072389e-06,0.030455399304628372,0.0032729473896324635,1.5463820695877075
5,20.0,0.0005087123136036098,0.01017424650490284,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2.458398057569866e-06,0.0024583979975432158,1000.0,3.0839887585898396e-06,0.003083988791331649,0.0,0.0,0.0,20.0,0.0012267327401787043,0.02453465387225151,1000.0,0.001474491087719798,1.4744911193847656,10000.0,4.794699634658173e-06,0.047946996986866,0.003220273181796074,1.5626894235610962
6,20.0,0.0004672927316278219,0.009345854632556438,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.2715648836092441e-06,0.001271564862690866,1000.0,5.012887868360849e-06,0.005012887995690107,0.0,0.0,0.0,20.0,0.0013180836103856564,0.026361672207713127,1000.0,0.0014744638465344906,1.4744638204574585,10000.0,7.155687853810377e-06,0.07155688107013702,0.003273280104622245,1.5880126953125
7,20.0,0.00042725479579530656,0.008545096032321453,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,8.774269417699543e-07,0.0008774269372224808,1000.0,6.334704266919289e-06,0.0063347043469548225,0.0,0.0,0.0,20.0,0.0013006470398977399,0.02601294033229351,1000.0,0.0014751511625945568,1.4751511812210083,10000.0,8.790051651885733e-06,0.08790051937103271,0.0032190552446991205,1.6048219203948975
8,20.0,0.00039727892726659775,0.007945578545331955,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9.096661415242124e-07,0.0009096661233343184,1000.0,7.672061656194273e-06,0.007672061678022146,0.0,0.0,0.0,20.0,0.0013277701800689101,0.02655540406703949,1000.0,0.0014755576848983765,1.4755576848983765,10000.0,1.008930576062994e-05,0.1008930578827858,0.0032192778307944536,1.6195334196090698
9,20.0,0.0003777755773626268,0.0075555117800831795,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,7.069724006214528e-07,0.0007069723797030747,1000.0,8.913786587072536e-06,0.00891378615051508,0.0,0.0,0.0,20.0,0.0012969106901437044,0.025938212871551514,1000.0,0.0014764750376343727,1.4764750003814697,10000.0,1.0237889000563882e-05,0.10237888991832733,0.0031710199546068907,1.6219682693481445
