iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px
20,adam,13.154995918273926,13.154985427856445,1.0265567880196613e-06,5.923381536376837e-07,13.154985427856445,1.0265567880196613e-05,5.9233815363768374e-08,13.154995752658142,4322504.5,0.0004804285999853164,0.00028432230465114117,328583.0,468.0,480.0,328583,328583.0,3.521663188934326
40,adam,10.13875961303711,10.138757705688477,1.5237546335811203e-07,1.1807417621412242e-07,10.138757705688477,1.5237546335811203e-06,1.1807417621412242e-08,10.138759241250527,3331423.5,7.131171878427267e-05,5.667560617439449e-05,328583.0,468.0,480.0,328583,328583.0,2.8650333881378174
60,adam,9.725930213928223,9.725929260253906,7.717531502748898e-08,7.574683991151687e-08,9.725929260253906,7.717531502748898e-07,7.574683991151687e-09,9.72593003958174,3195775.0,3.61180464096833e-05,3.63584840670228e-05,328583.0,468.0,480.0,328583,328583.0,2.711305856704712
80,adam,9.672368049621582,9.672367095947266,5.5742443549888776e-08,6.604450675240514e-08,9.672367095947266,5.574244354988878e-07,6.6044506752405144e-09,9.672367659976151,3178175.25,2.6087463993462734e-05,3.1701361876912415e-05,328583.0,468.0,480.0,328583,328583.0,2.699946403503418
100,adam,9.664533615112305,9.664532661437988,5.17869018779038e-08,6.481606362740422e-08,9.664532661437988,5.17869018779038e-07,6.481606362740422e-09,9.664533185788613,3175601.0,2.4236269382527098e-05,3.1111710995901376e-05,328583.0,468.0,480.0,328583,328583.0,2.6885900497436523
120,adam,9.663596153259277,9.663595199584961,5.213092180156309e-08,6.522386541973901e-08,9.663595199584961,5.213092180156309e-07,6.522386541973902e-09,9.663595727416565,3175293.25,2.439727177261375e-05,3.130745608359575e-05,328583.0,468.0,480.0,328583,328583.0,2.691246747970581
140,adam,9.663474082946777,9.663473129272461,5.230978672443598e-08,6.540143715483282e-08,9.663473129272461,5.230978672443598e-07,6.540143715483282e-09,9.663473658910473,3175253.0,2.4480979845975526e-05,3.1392690289067104e-05,328583.0,468.0,480.0,328583,328583.0,2.6911165714263916
160,adam,9.663454055786133,9.663453102111816,5.2330264566080587e-08,6.540609120975205e-08,9.663453102111816,5.233026456608059e-07,6.540609120975205e-09,9.663453631955072,3175246.5,2.449056410114281e-05,3.139492400805466e-05,328583.0,468.0,480.0,328583,328583.0,2.691035270690918
180,adam,9.6634521484375,9.663451194763184,5.2197194122527435e-08,6.53283223073231e-08,9.663451194763184,5.219719412252743e-07,6.532832230732311e-09,9.663451723267958,3175245.75,2.442828736093361e-05,3.135759470751509e-05,328583.0,468.0,480.0,328583,328583.0,2.691023826599121
200,adam,9.6634521484375,9.663451194763184,5.2184070398197946e-08,6.532381036095103e-08,9.663451194763184,5.218407039819795e-07,6.532381036095103e-09,9.66345172313627,3175245.75,2.4422144633717835e-05,3.135543011012487e-05,328583.0,468.0,480.0,328583,328583.0,2.6910407543182373
220,adam,9.663453102111816,9.6634521484375,5.220171672704055e-08,6.533642959993813e-08,9.6634521484375,5.220171672704055e-07,6.533642959993813e-09,9.66345267698831,3175246.0,2.4430402845609933e-05,3.136148734483868e-05,328583.0,468.0,480.0,328583,328583.0,2.6910400390625
240,adam,9.6634521484375,9.663451194763184,5.22118135393157e-08,6.53402381090018e-08,9.663451194763184,5.22118135393157e-07,6.534023810900181e-09,9.663451723415342,3175245.75,2.4435128580080345e-05,3.136331361019984e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
260,adam,9.6634521484375,9.663451194763184,5.220876531097929e-08,6.533831253818789e-08,9.663451194763184,5.220876531097929e-07,6.533831253818789e-09,9.663451723384668,3175245.75,2.4433702492387965e-05,3.136238956358284e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
280,adam,9.6634521484375,9.663451194763184,5.2207948186833164e-08,6.533830543276054e-08,9.663451194763184,5.220794818683316e-07,6.533830543276054e-09,9.663451723376497,3175245.75,2.443332050461322e-05,3.136238592560403e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
300,adam,9.6634521484375,9.663451194763184,5.220796595040156e-08,6.533825569476903e-08,9.663451194763184,5.220796595040156e-07,6.533825569476904e-09,9.663451723376669,3175245.75,2.4433327780570835e-05,3.136236409773119e-05,328583.0,468.0,480.0,328583,328583.0,2.69103741645813
301,final,9.663856506347656,9.66385555267334,5.249280121688571e-08,6.58592824720472e-08,9.66385555267334,5.249280121688571e-07,6.58592824720472e-09,9.66385608418728,3175378.75,2.456663060002029e-05,3.161245695082471e-05,328583.0,468.0,480.0,328583,328583.0,2.6920745372772217
