frame_idx,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_intersect_weight,object_intersect_raw,object_intersect_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled,total_raw_local,total_scaled_local
0,20.0,5.056182999396697e-05,0.0010112365707755089,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0006562340422533453,0.011746589094400406,1000.0,0.00020476921054068953,0.20476920902729034,10000.0,0.0,0.0,0.0009115650900639594,0.21752703189849854
1,20.0,4.143584374105558e-05,0.000828716903924942,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,7.289380391739542e-06,0.0072893803007900715,1000.0,1.6907587223613518e-06,0.0016907587414607406,0.0,0.0,0.0,17.9,0.0006635803147219121,0.011878087185323238,1000.0,0.00020634008978959173,0.20634008944034576,10000.0,3.6548186699292273e-07,0.0036548187490552664,0.0009207018883898854,0.23168185353279114
2,20.0,5.06848118675407e-05,0.0010136961936950684,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,4.277195330359973e-06,0.004277195315808058,1000.0,1.9434746718616225e-06,0.0019434746354818344,0.0,0.0,0.0,17.9,0.0006728126900270581,0.012043346650898457,1000.0,0.00020654195395763963,0.20654195547103882,10000.0,3.4674144444579724e-07,0.003467414528131485,0.0009366068989038467,0.2292870730161667
3,20.0,6.617757026106119e-05,0.0013235514052212238,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,7.646852282050531e-06,0.007646852172911167,1000.0,1.1345948678354034e-06,0.001134594902396202,0.0,0.0,0.0,17.9,0.0006411747308447957,0.011477027088403702,1000.0,0.00020696513820439577,0.2069651335477829,10000.0,3.3217892791981285e-07,0.0033217892050743103,0.0009234310709871352,0.2318689525127411
4,20.0,7.647541497135535e-05,0.0015295082703232765,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.3134523214830551e-05,0.013134523294866085,1000.0,2.2147664822114166e-06,0.0022147665731608868,0.0,0.0,0.0,17.9,0.0006446603802032769,0.011539420112967491,1000.0,0.00020800417405553162,0.2080041766166687,10000.0,8.671443083585473e-07,0.008671442978084087,0.0009453563834540546,0.24509383738040924
5,20.0,7.744778122287244e-05,0.0015489556826651096,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.7114140064222738e-05,0.01711414009332657,1000.0,4.296448423701804e-06,0.004296448547393084,0.0,0.0,0.0,17.9,0.0006663405802100897,0.011927495710551739,1000.0,0.00020764324290212244,0.20764324069023132,10000.0,5.682143182639265e-07,0.0056821433827281,0.0009734104387462139,0.24821242690086365
6,20.0,7.115898915799335e-05,0.0014231797540560365,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.651557977311313e-05,0.0165155790746212,1000.0,2.343034793739207e-06,0.0023430348373949528,0.0,0.0,0.0,17.9,0.0006627923576161265,0.011863983236253262,1000.0,0.00020827520347665995,0.2082751989364624,10000.0,6.47286185539997e-07,0.006472861859947443,0.0009617324685677886,0.24689382314682007
7,20.0,6.18466074229218e-05,0.0012369321193546057,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.5189972145890351e-05,0.015189971774816513,1000.0,2.652522198332008e-06,0.002652522176504135,0.0,0.0,0.0,17.9,0.0006771264015696943,0.012120562605559826,1000.0,0.00020725547801703215,0.20725548267364502,10000.0,7.840105809009401e-07,0.007840106263756752,0.0009648549603298306,0.24629558622837067
8,20.0,5.2919342124368995e-05,0.0010583868715912104,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.1725102012860589e-05,0.011725101619958878,1000.0,3.926741101167863e-06,0.00392674095928669,0.0,0.0,0.0,17.9,0.0006954038399271667,0.012447728775441647,1000.0,0.00020813671289943159,0.20813670754432678,10000.0,1.0230155567114707e-06,0.010230155661702156,0.0009731347090564668,0.24752482771873474
9,20.0,4.750851076096296e-05,0.0009501702152192593,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,3.90365994462627e-06,0.0039036599919199944,1000.0,6.37002699477307e-07,0.0006370026967488229,0.0,0.0,0.0,17.9,0.000771065300796181,0.013802068307995796,1000.0,0.00020888926519546658,0.20888926088809967,10000.0,1.4021237575434498e-06,0.014021237380802631,0.0010334058897569776,0.24220339953899384
10,20.0,4.498000998864882e-05,0.0008996002143248916,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,4.775393790623639e-06,0.004775393754243851,1000.0,1.4291073284766753e-06,0.0014291072729974985,0.0,0.0,0.0,17.9,0.0005921581760048866,0.010599630884826183,1000.0,0.00021185734658502042,0.21185734868049622,10000.0,1.6737449186621234e-06,0.016737449914216995,0.0008568737539462745,0.24629852175712585
11,20.0,4.195762812742032e-05,0.0008391525479964912,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.896860329812625e-06,0.005896860267966986,1000.0,2.505085831217002e-06,0.0025050858967006207,0.0,0.0,0.0,17.9,0.0006678261561319232,0.011954087764024734,1000.0,0.00021341993124224246,0.21341992914676666,10000.0,1.5394070942420512e-06,0.015394071117043495,0.0009331451146863401,0.2500091791152954
