iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,human_pose_weight,human_pose_raw,human_pose_scaled,human_pose_smooth_weight,human_pose_smooth_raw,human_pose_smooth_scaled,object_intersect_weight,object_intersect_raw,object_intersect_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,16.070728302001953,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.006049445830285549,6.049445629119873,1000.0,0.0006085518398322165,0.6085518598556519,10.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.005534138530492783,5.5341386795043945,10000.0,0.0003878591232933104,3.878591299057007
25,12.901922225952148,20.0,2.95524137072789e-06,5.91048265050631e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.004765866789966822,4.765866756439209,1000.0,0.00029422043007798493,0.2942204177379608,10.0,1.335553406534018e-05,0.0001335553388344124,100.0,2.5144233859464293e-06,0.00025144233950413764,0.0,0.0,0.0,0.05,0.0056533305905759335,0.00028266652952879667,1000.0,0.00476033752784133,4.7603373527526855,10000.0,0.00030807708390057087,3.08077073097229
50,10.699854850769043,20.0,1.011159474728629e-05,0.0002022318949457258,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.003821397665888071,3.8213977813720703,1000.0,0.0001734250836307183,0.1734250783920288,10.0,4.994899791199714e-05,0.0004994899500161409,100.0,4.358063051768113e-06,0.0004358063160907477,0.0,0.0,0.0,0.1,0.005708390846848488,0.000570839096326381,1000.0,0.004017733037471771,4.017733097076416,10000.0,0.0002685590588953346,2.6855905055999756
75,8.957518577575684,20.0,2.06904824153753e-05,0.0004138096410315484,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0030657979659736156,3.065798044204712,1000.0,0.00011661048483802006,0.11661048233509064,10.0,0.00010708921035984531,0.0010708920890465379,100.0,6.053405741113238e-06,0.0006053405813872814,0.0,0.0,0.0,0.15,0.005720504559576511,0.0008580757421441376,1000.0,0.003388205310329795,3.3882052898406982,10000.0,0.00023839565983507782,2.3839566707611084
100,7.552514553070068,20.0,3.396581450942904e-05,0.0006793162901885808,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0024522393941879272,2.452239513397217,1000.0,9.112067345995456e-05,0.09112067520618439,10.0,0.0001835095026763156,0.0018350949976593256,100.0,7.707048098382074e-06,0.0007707048207521439,0.0,0.0,0.0,0.2,0.005701346322894096,0.0011402693344280124,1000.0,0.002886905800551176,2.8869059085845947,10000.0,0.00021178231691010296,2.1178231239318848
125,6.399984359741211,20.0,4.951740265823901e-05,0.0009903480531647801,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0019554118625819683,1.9554119110107422,1000.0,7.727954653091729e-05,0.07727954536676407,10.0,0.0002777883782982826,0.0027778837829828262,100.0,9.398017937201075e-06,0.0009398018009960651,0.0,0.0,0.0,0.25,0.005659038200974464,0.001414759550243616,1000.0,0.002481908770278096,2.4819087982177734,10000.0,0.00018792611081153154,1.8792611360549927
150,5.435714244842529,20.0,6.734326598234475e-05,0.001346865319646895,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.001554795540869236,1.554795503616333,1000.0,6.430544453905895e-05,0.06430544704198837,10.0,0.0003894033143296838,0.003894033143296838,100.0,1.1000118320225738e-05,0.0011000118684023619,0.0,0.0,0.0,0.3,0.005658295471221209,0.0016974887112155557,1000.0,0.0021469704806804657,2.146970510482788,10000.0,0.0001661604328546673,1.6616042852401733
175,4.61690616607666,20.0,8.759618503972888e-05,0.0017519237007945776,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0012315615313127637,1.231561541557312,1000.0,5.17929729539901e-05,0.051792971789836884,10.0,0.0005191188538447022,0.005191188305616379,100.0,1.2505846825661138e-05,0.0012505847262218595,0.0,0.0,0.0,0.35,0.005676599219441414,0.0019868097733706236,1000.0,0.0018612523563206196,1.8612523078918457,10000.0,0.00014621185255236924,1.4621185064315796
200,3.9142813682556152,20.0,0.00011070523032685742,0.002214104635640979,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0009710777085274458,0.9710776805877686,1000.0,3.9983751776162535e-05,0.039983753114938736,10.0,0.000669604167342186,0.00669604167342186,100.0,1.4146312423690688e-05,0.0014146312605589628,0.0,0.0,0.0,0.4,0.005653061904013157,0.002261224901303649,1000.0,0.001613169559277594,1.613169550895691,10000.0,0.00012774643255397677,1.2774642705917358
225,3.3117029666900635,20.0,0.00013697933172807097,0.0027395866345614195,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0007638919050805271,0.763891875743866,1000.0,3.050894883926958e-05,0.030508948490023613,10.0,0.0008435211493633687,0.008435211144387722,100.0,1.5666551917092875e-05,0.0015666552353650331,0.0,0.0,0.0,0.45,0.005651505663990974,0.002543177455663681,1000.0,0.0013952120207250118,1.3952120542526245,10000.0,0.00011068055755458772,1.1068055629730225
250,2.798219680786133,20.0,0.00016649201279506087,0.0033298402559012175,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0006044625770300627,0.6044625639915466,1000.0,2.3529752070317045e-05,0.02352975122630596,10.0,0.0010421539191156626,0.010421538725495338,100.0,1.7133555957116187e-05,0.0017133555375039577,0.0,0.0,0.0,0.5,0.005625876598060131,0.0028129382990300655,1000.0,0.0012017603730782866,1.2017604112625122,10000.0,9.501894237473607e-05,0.9501894116401672
275,2.3652687072753906,20.0,0.00019824906485155225,0.003964981064200401,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00048532377695664763,0.48532378673553467,1000.0,1.8848788386094384e-05,0.018848787993192673,10.0,0.0012634574668481946,0.012634574435651302,100.0,1.8337803339818493e-05,0.001833780319429934,0.0,0.0,0.0,0.55,0.005612790584564209,0.0030870349146425724,1000.0,0.0010286117903888226,1.0286117792129517,10000.0,8.109637565212324e-05,0.8109637498855591
300,2.0091805458068848,20.0,0.00023010969744063914,0.004602193832397461,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00039709400152787566,0.3970940113067627,1000.0,1.591281034052372e-05,0.01591281034052372,10.0,0.0014975954545661807,0.01497595477849245,100.0,1.915049688250292e-05,0.0019150497391819954,0.0,0.0,0.0,0.6,0.005581377074122429,0.0033488264307379723,1000.0,0.0008795042522251606,0.8795042634010315,10000.0,6.918272993061692e-05,0.6918272972106934
325,1.716797947883606,20.0,0.00026189754134975374,0.005237950943410397,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0003283735422883183,0.3283735513687134,1000.0,1.3944870261184406e-05,0.013944869861006737,10.0,0.001738279010169208,0.01738278940320015,100.0,1.960720692295581e-05,0.00196072063408792,0.0,0.0,0.0,0.65,0.005569516681134701,0.0036201856564730406,1000.0,0.0007552686729468405,0.7552686929702759,10000.0,5.91009265917819e-05,0.591009259223938
350,1.4782553911209106,20.0,0.00029295944841578603,0.005859188735485077,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00027337786741554737,0.2733778655529022,1000.0,1.2588270692504011e-05,0.01258827093988657,10.0,0.0019735076930373907,0.019735077396035194,100.0,1.9788023564615287e-05,0.0019788022618740797,0.0,0.0,0.0,0.7,0.005545658990740776,0.003881961340084672,1000.0,0.0006524149212054908,0.6524149179458618,10000.0,5.084192889626138e-05,0.5084192752838135
375,1.280456781387329,20.0,0.0003226680855732411,0.006453361827880144,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0002288551622768864,0.228855162858963,1000.0,1.1624317266978323e-05,0.011624317616224289,10.0,0.002204266842454672,0.022042669355869293,100.0,1.9884491848642938e-05,0.0019884491339325905,0.0,0.0,0.0,0.75,0.005540584214031696,0.004155438393354416,1000.0,0.0005662684561684728,0.5662684440612793,10000.0,4.390688627609052e-05,0.43906885385513306
400,1.1144983768463135,20.0,0.00035216144169680774,0.007043228950351477,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00019272055942565203,0.19272056221961975,1000.0,1.0907716387009714e-05,0.010907716117799282,10.0,0.002428347710520029,0.024283476173877716,100.0,2.017652332142461e-05,0.0020176523830741644,0.0,0.0,0.0,0.8,0.005553805269300938,0.004443044308573008,1000.0,0.0004948802525177598,0.4948802590370178,10000.0,3.7820242141606286e-05,0.3782024085521698
425,0.9779781103134155,20.0,0.00038051168667152524,0.007610233500599861,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00016373168909922242,0.16373169422149658,1000.0,1.0388480404799338e-05,0.010388480499386787,10.0,0.0026406454853713512,0.026406455785036087,100.0,2.0030831365147606e-05,0.002003083238378167,0.0,0.0,0.0,0.85,0.005559449549764395,0.0047255321405828,1000.0,0.00043810397619381547,0.43810397386550903,10000.0,3.250085865147412e-05,0.3250086009502411
450,0.8640923500061035,20.0,0.00040733450441621244,0.00814669020473957,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0001406904630130157,0.14069046080112457,1000.0,9.973915439331904e-06,0.009973915293812752,10.0,0.0028394535183906555,0.028394535183906555,100.0,2.017234692175407e-05,0.0020172346848994493,0.0,0.0,0.0,0.9,0.005600527860224247,0.00504047516733408,1000.0,0.00038987662992440164,0.3898766338825226,10000.0,2.799523645080626e-05,0.27995237708091736
475,0.7705919742584229,20.0,0.00043208798160776496,0.008641759864985943,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00012276759662199765,0.12276759743690491,1000.0,9.798416613193695e-06,0.009798416867852211,10.0,0.0030250621493905783,0.03025062195956707,100.0,2.0140088963671587e-05,0.002014008816331625,0.0,0.0,0.0,0.95,0.005621624179184437,0.005340543109923601,1000.0,0.00035200611455366015,0.35200610756874084,10000.0,2.3977288947207853e-05,0.23977288603782654
500,0.696820855140686,20.0,0.000455612811492756,0.009112256579101086,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.00010930154530797154,0.10930154472589493,1000.0,9.720663001644425e-06,0.009720662608742714,10.0,0.003195039927959442,0.03195039927959442,100.0,1.991226054087747e-05,0.00199122610501945,0.0,0.0,0.0,1.0,0.005615293979644775,0.005615293979644775,1000.0,0.00032145832665264606,0.3214583396911621,10000.0,2.076711280096788e-05,0.207671120762825
525,0.6406324505805969,20.0,0.00047729062498547137,0.009545812383294106,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,9.940667951013893e-05,0.09940668195486069,1000.0,9.693139872979373e-06,0.009693140164017677,10.0,0.003345334902405739,0.03345334902405739,100.0,1.9824983610305935e-05,0.001982498448342085,0.0,0.0,0.0,1.05,0.005618003197014332,0.005898903124034405,1000.0,0.00029819313203915954,0.2981931269168854,10000.0,1.824589526222553e-05,0.18245895206928253
