setting,interaction_name,contact_type,body_part,status,gt_mask_path,predicted_mask_path,width,height,image_diagonal_px,gt_pixels,predicted_pixels,intersection_pixels,union_pixels,gt_centroid_x,gt_centroid_y,predicted_centroid_x,predicted_centroid_y,containment,centroid_distance_px,centroid_distance_normalized,iou
round1,interaction_06,floor,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_06/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_06/rounds/round_01/contact_masks/right_foot.png,1113,742,1337.65952319714,151186,151186,151186,151186,373.6624621327372,627.5894857989497,373.6624621327372,627.5894857989497,1.0,0.0,0.0,1.0
round1,interaction_07,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_07/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_07/rounds/round_01/contact_masks/right_hand.png,756,504,908.5989214169254,462,152,85,529,314.8484848484849,175.63419913419912,321.60526315789474,155.48026315789474,0.5592105263157895,21.25641523068948,0.02339471765775477,0.16068052930056712
round1,interaction_07,floor,left foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_07/contact_masks_gt/left_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_07/rounds/round_01/contact_masks/left_foot.png,756,504,908.5989214169254,46643,46643,46643,46643,342.74821516626287,437.9113693373068,342.74821516626287,437.9113693373068,1.0,0.0,0.0,1.0
round1,interaction_07,floor,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_07/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_07/rounds/round_01/contact_masks/right_foot.png,756,504,908.5989214169254,46643,46643,46643,46643,342.74821516626287,437.9113693373068,342.74821516626287,437.9113693373068,1.0,0.0,0.0,1.0
round1,interaction_08,object,left hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_08/contact_masks_gt/left_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_08/rounds/round_01/contact_masks/left_hand.png,1104,736,1326.842869370748,543,105,41,607,629.2394106813996,268.9300184162063,622.6571428571428,278.53333333333336,0.3904761904761905,11.642590223303452,0.008774656360647228,0.06754530477759473
round1,interaction_08,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_08/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_08/rounds/round_01/contact_masks/right_hand.png,1104,736,1326.842869370748,851,152,0,1003,652.4042303172738,322.6462984723854,672.6907894736842,283.50657894736844,0.0,44.08471534334244,0.03322527208082258,0.0
round1,interaction_08,floor,left foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_08/contact_masks_gt/left_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_08/rounds/round_01/contact_masks/left_foot.png,1104,736,1326.842869370748,132174,132174,132174,132174,645.4181911722427,653.4835217213673,645.4181911722427,653.4835217213673,1.0,0.0,0.0,1.0
round1,interaction_08,floor,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_08/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_08/rounds/round_01/contact_masks/right_foot.png,1104,736,1326.842869370748,132174,132174,132174,132174,645.4181911722427,653.4835217213673,645.4181911722427,653.4835217213673,1.0,0.0,0.0,1.0
round1,interaction_09,object,left foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_09/contact_masks_gt/left_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_09/rounds/round_01/contact_masks/left_foot.png,708,472,850.9101010095014,1035,198,198,1035,346.72657004830916,373.22028985507245,339.520202020202,376.1111111111111,1.0,7.764572601945938,0.009125021071831461,0.19130434782608696
round1,interaction_09,object,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_09/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_09/rounds/round_01/contact_masks/right_foot.png,708,472,850.9101010095014,1535,171,168,1538,382.98762214983714,378.1511400651466,374.953216374269,365.7076023391813,0.9824561403508771,14.811931248287799,0.01740716349555052,0.10923276983094929
round1,interaction_09,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_09/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_09/rounds/round_01/contact_masks/right_hand.png,708,472,850.9101010095014,374,116,0,490,385.77272727272725,192.05882352941177,436.12931034482756,213.04310344827587,0.0,54.55387669460881,0.06411238582064928,0.0
round1,interaction_10,object,left hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_10/contact_masks_gt/left_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_10/rounds/round_01/contact_masks/left_hand.png,1050,700,1261.9429464123962,192,124,0,316,442.5104166666667,319.0364583333333,437.1209677419355,337.4274193548387,0.0,19.164383814952604,0.01518641066098545,0.0
round1,interaction_10,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_10/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_10/rounds/round_01/contact_masks/right_hand.png,1050,700,1261.9429464123962,178,119,0,297,443.7191011235955,299.9438202247191,438.52100840336135,324.2857142857143,0.0,24.89072064856427,0.019724125182779946,0.0
round1,interaction_10,floor,left foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_10/contact_masks_gt/left_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_10/rounds/round_01/contact_masks/left_foot.png,1050,700,1261.9429464123962,72871,72871,72871,72871,630.1106064140741,630.8910952230655,630.1106064140741,630.8910952230655,1.0,0.0,0.0,1.0
round1,interaction_10,floor,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_10/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_10/rounds/round_01/contact_masks/right_foot.png,1050,700,1261.9429464123962,72871,72871,72871,72871,630.1106064140741,630.8910952230655,630.1106064140741,630.8910952230655,1.0,0.0,0.0,1.0
round1,interaction_11,object,left hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_11/contact_masks_gt/left_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_11/rounds/round_01/contact_masks/left_hand.png,1104,736,1326.842869370748,605,345,226,724,520.5619834710744,381.87438016528927,515.4927536231884,391.52463768115945,0.6550724637681159,10.900667932439173,0.008215492718899554,0.31215469613259667
round1,interaction_11,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_11/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_11/rounds/round_01/contact_masks/right_hand.png,1104,736,1326.842869370748,557,352,229,680,626.294434470377,393.1436265709156,631.0681818181819,402.22159090909093,0.6505681818181818,10.256612514171358,0.007730088280186132,0.33676470588235297
round1,interaction_11,floor,left foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_11/contact_masks_gt/left_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_11/rounds/round_01/contact_masks/left_foot.png,1104,736,1326.842869370748,237859,237859,237859,237859,569.3955032182932,602.9837718984777,569.3955032182932,602.9837718984777,1.0,0.0,0.0,1.0
round1,interaction_11,floor,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_11/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_11/rounds/round_01/contact_masks/right_foot.png,1104,736,1326.842869370748,237859,237859,237859,237859,569.3955032182932,602.9837718984777,569.3955032182932,602.9837718984777,1.0,0.0,0.0,1.0
