setting,interaction_name,num_required_edges,num_evaluated_edges,num_skipped_gt_edges,num_misses,num_bilateral_swapped_edges,num_centroid_evaluated_edges,mean_containment,mean_centroid_distance_px,mean_centroid_distance_normalized,mean_iou
round1,interaction_02,5,5,0,1,2,4,0.44351109329056404,6.2781356000737745,0.00483678201290211,0.42592515544460624
round1,interaction_03,4,4,0,0,2,4,0.7211403876433282,4.706611459849428,0.00512530990300164,0.6756278298783006
round1,interaction_04,3,3,0,0,0,3,0.9578544061302683,0.6389734661927841,0.0004964127550137986,0.8165680473372782
round1,interaction_05,3,3,0,0,0,3,0.9305555555555555,1.6942374336656376,0.0017033474505282235,0.7119047619047619
round1,interaction_06,3,3,0,0,0,3,0.9802405498281788,3.3452897706842304,0.0025008529544862457,0.778083028083028
round1,interaction_07,3,3,0,0,0,3,0.8530701754385964,7.0854717435631605,0.00779823921925159,0.720226843100189
round1,interaction_08,4,4,0,0,0,4,0.5976190476190476,13.931826391661472,0.010499982110367451,0.5168863261943987
round1,interaction_09,3,3,0,0,0,3,0.6608187134502924,25.71012684828085,0.03021485679601042,0.1001790392190121
round1,interaction_10,4,4,0,0,0,4,0.5,11.013776115879217,0.00872763396094135,0.5
round1,interaction_11,4,4,0,0,0,4,0.8264101613965744,5.289320111652633,0.003986395249771422,0.6622298505037374
round1,interaction_14,3,3,0,0,0,3,1.0,0.0,0.0,1.0
round1,interaction_15,5,5,0,0,0,5,0.7618722990749001,7.177281590351962,0.006319427788145965,0.5690406681417162
round1,interaction_16,3,3,0,0,0,3,0.29685114101320287,58.18573418819714,0.03266764997135827,0.14610933152980984
round1,interaction_18,4,4,0,0,0,4,0.0,104.23028294492728,0.07318551696476243,0.0
round1,interaction_20,4,4,0,0,2,4,0.8830936014167005,14.381993252175755,0.015109269846764795,0.5268010203392883
round1,interaction_21,4,4,0,0,0,4,0.7881639058473326,29.500429315452774,0.02317832001417869,0.5630358232042098
round1,interaction_22,4,4,0,0,0,4,0.4162234042553191,26.9496405818561,0.02609968511608194,0.404320987654321
round1,interaction_23,4,4,0,0,0,4,0.5,95.92401752666143,0.11766275776200648,0.5
round1,interaction_24,3,3,0,0,0,3,0.2109422492401216,65.38784690569021,0.0519821538069728,0.06636068081851214
round1,interaction_26,2,2,0,0,2,2,0.2397203947368421,18.392094727581313,0.02305641082939131,0.12451427681214253
round1,interaction_27,3,3,0,0,0,3,0.4374193548387097,24.601766266373193,0.025242128464343566,0.3956723338485317
round1,interaction_28,3,3,0,1,0,2,0.49531088665527423,27.142839129950847,0.025736863985135708,0.12434327822838676
round1,interaction_30,4,4,0,1,0,3,0.20627062706270627,82.69339746429084,0.07275186256534914,0.09735202492211838
final,interaction_02,5,5,0,0,2,5,0.696309388004306,4.209737314678435,0.0032432529368177734,0.6175565167089856
final,interaction_03,4,4,0,0,2,4,0.7211403876433282,4.706611459849428,0.00512530990300164,0.6756278298783006
final,interaction_04,3,3,0,0,0,3,0.9578544061302683,0.6389734661927841,0.0004964127550137986,0.8165680473372782
final,interaction_05,3,3,0,0,0,3,0.9548022598870056,0.2864491576981297,0.0002879894120952111,0.7855477855477856
final,interaction_06,3,3,0,0,0,3,0.9802405498281788,3.3452897706842304,0.0025008529544862457,0.778083028083028
final,interaction_07,3,3,0,0,0,3,0.983957219251337,4.623180868382651,0.005088252648564645,0.7926397735314933
final,interaction_08,4,4,0,0,0,4,0.5716463414634146,15.946067973598115,0.012018053035293094,0.5178030303030303
final,interaction_09,3,3,0,0,0,3,0.9966159052453468,8.870259100163038,0.0104244374225192,0.17208816195400523
final,interaction_10,4,4,0,0,0,4,0.8192583934421187,1.408121739128993,0.001115836292862662,0.7974419638188853
final,interaction_11,4,4,0,0,0,4,0.8264101613965744,5.289320111652633,0.003986395249771422,0.6622298505037374
final,interaction_14,3,3,0,0,0,3,1.0,0.0,0.0,1.0
final,interaction_15,5,5,0,0,0,5,0.7618722990749001,7.177281590351962,0.006319427788145965,0.5690406681417162
final,interaction_16,3,3,0,0,0,3,0.29685114101320287,58.18573418819714,0.03266764997135827,0.14610933152980984
final,interaction_18,4,4,0,0,0,4,0.0,104.23028294492728,0.07318551696476243,0.0
final,interaction_20,4,4,0,0,2,4,0.8830936014167005,14.381993252175755,0.015109269846764795,0.5268010203392883
final,interaction_21,4,4,0,0,0,4,0.7881639058473326,29.500429315452774,0.02317832001417869,0.5630358232042098
final,interaction_22,4,4,0,0,0,4,0.8022168704802766,3.4913478280066848,0.0033812354070146622,0.6641263897305849
final,interaction_23,4,4,0,0,0,4,0.5,95.98053743679921,0.11773208647307118,0.5
final,interaction_24,3,3,0,0,0,3,0.7948711216018381,21.35971815555521,0.016980589008185207,0.16891441450651787
final,interaction_26,2,2,0,0,0,2,0.6029393847091076,16.565415993066676,0.02076647833501791,0.30540973361456136
final,interaction_27,3,3,0,0,0,3,0.7184368867933303,7.583500945033613,0.007780892761576063,0.4276532987373706
final,interaction_28,3,3,0,0,0,3,0.7250243164578966,10.851047572037757,0.010288972871287048,0.3637749827643732
final,interaction_30,4,4,0,0,2,4,0.5435806140215425,29.75778287032211,0.02618025375684981,0.20227335544499722
