frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_mean,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,191,191,0.7071182727813721,0.7071499228477478,1.0,0.0,0.0
1,1,191,191,0.19414208829402924,0.3175780475139618,1.0,0.025218093767762184,0.11869406681127799
2,1,191,191,0.31091195344924927,0.4661794900894165,1.0,0.020596325397491455,0.5004596292671164
3,1,191,191,0.2856728434562683,0.4298401176929474,1.0,0.030498333275318146,0.2357339648759448
4,1,191,191,0.273977667093277,0.44251102209091187,1.0,0.05628359317779541,1.310450007992495
5,1,191,191,0.3668151795864105,0.6250672936439514,1.0,0.04088283330202103,0.3238513094526778
6,1,191,191,0.4163464307785034,0.7849611639976501,1.0,0.03097257949411869,0.340348762865499
7,1,191,191,0.39220699667930603,0.6862554550170898,1.0,0.02600661665201187,0.6537193754352586
8,1,191,191,0.5100738406181335,0.9200759530067444,1.0,0.03504372015595436,0.4467492894959524
9,1,191,191,0.513291597366333,0.9818120002746582,1.0,0.018996618688106537,0.4579955236952982
10,1,191,191,0.5368702411651611,0.9777755737304688,1.0,0.049905549734830856,0.40926112153302896
11,1,191,191,0.6516116261482239,1.1940563917160034,1.0,0.023393988609313965,0.3322024604772824
12,1,191,191,0.5917981266975403,0.9824097752571106,1.0,0.025446917861700058,0.5760728898568483
13,1,191,191,0.6307147145271301,1.1379539966583252,1.0,0.017703460529446602,0.610377069957126
14,1,191,191,0.7097324728965759,1.2273920774459839,1.0,0.022665154188871384,0.7290049827271476
15,1,191,191,0.7176945209503174,1.250751256942749,1.0,0.017380699515342712,0.8686310632110152
16,1,191,191,0.7470259070396423,1.2786524295806885,1.0,0.016532663255929947,0.8504184079213305
17,1,191,191,0.8183114528656006,1.4728950262069702,1.0,0.03201717510819435,0.6404136563127778
18,1,191,191,0.8739894032478333,1.5268404483795166,1.0,0.040052782744169235,1.0302162010847107
19,1,191,191,0.8730781078338623,1.6067839860916138,1.0,0.01853233203291893,0.7712634579141168
20,1,191,191,10.990753173828125,17.66680908203125,1.0,2.2404274940490723,32.93642213410287
21,1,191,191,11.092571258544922,17.653400421142578,1.0,0.03627302497625351,0.9202609181556385
22,1,191,191,11.161343574523926,17.493188858032227,1.0,0.05819254741072655,1.5086983940875998
23,1,191,191,11.145822525024414,17.425825119018555,1.0,0.01231562253087759,0.30774137315829087
24,1,191,191,11.07443618774414,17.28267478942871,1.0,0.034060291945934296,0.6501175496302226
