iter,stage,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,object_scale_reg_raw,object_scale_reg_scaled,time_contact_s,time_dynamics_s,time_penetration_s,time_mask2d_s,time_backward_s,time_total_iter_s
0,adam,24.971250534057617,0.0,0.0,0.12350496649742126,24.700992584228516,0.0002925797598436475,0.04388696327805519,0.0,0.0,0.003702210495248437,0.04442652687430382,0.0,0.0,0.0,0.0,3.212603405700065e-05,0.0012850413331761956,4.680950951296836e-05,0.0028085706289857626,0.0014821109361946583,0.1778533160686493,0.0,0.0,0.024365022778511047,0.00105179101228714,0.05053827166557312,0.06656916067004204,0.6378629393875599,1.2951939068734646
25,adam,4.918927192687988,0.0005212029791437089,0.010424059815704823,0.02325000986456871,4.6500020027160645,0.00021458642731886357,0.032187964767217636,6.796439993195236e-05,0.0013592879986390471,0.003755240933969617,0.04506289213895798,0.0005257065640762448,0.052570655941963196,1.4246730643208139e-05,0.00042740191565826535,3.078685767832212e-05,0.0012314743362367153,0.0001823835918912664,0.010943015106022358,0.0009481623419560492,0.1137794777750969,3.12732117890846e-05,0.0009381963755004108,0.001975148916244507,0.000776343047618866,0.03863079473376274,0.012077882885932922,0.4572589062154293,0.821757972240448
50,adam,0.9326426982879639,0.0013219169341027737,0.026438338682055473,0.0026154431980103254,0.5230886340141296,0.00011250678653595969,0.016876017674803734,0.00023811368737369776,0.004762273747473955,0.00335386348888278,0.04024636000394821,0.0014672784600406885,0.14672784507274628,2.2863507183501497e-05,0.0006859052227810025,3.727903822436929e-05,0.0014911615289747715,0.0005567289190366864,0.03340373560786247,0.001124745118431747,0.13496941328048706,0.00013176268839742988,0.00395288085564971,0.0020412318408489227,0.0008152872323989868,0.03845866397023201,0.012087121605873108,0.4542866088449955,0.8165192268788815
75,adam,0.6760709285736084,0.0015003727748990059,0.030007455497980118,0.001403484377078712,0.2806968688964844,6.670608854619786e-05,0.01000591367483139,0.00029083556728437543,0.005816711112856865,0.0031171864829957485,0.03740623593330383,0.0015242918161675334,0.15242917835712433,1.93678915820783e-05,0.000581036729272455,3.91482280974742e-05,0.0015659291530027986,0.0004815063439309597,0.028890380635857582,0.0010344847105443478,0.12413816154003143,0.00015110214008018374,0.0045330640859901905,0.002060960978269577,0.0008068159222602844,0.038730211555957794,0.012119360268115997,0.4577813409268856,0.8231437243521214
100,adam,0.6125936508178711,0.0016613689949736,0.033227380365133286,0.0012344041606411338,0.24688082933425903,3.950950485887006e-05,0.005926425568759441,0.00040003572939895093,0.00800071470439434,0.0029932293109595776,0.03591874986886978,0.0013392764376476407,0.13392764329910278,1.6037694877013564e-05,0.0004811308463104069,3.814563388004899e-05,0.0015258253552019596,0.0004203267162665725,0.02521960251033306,0.0009742091642692685,0.1169051006436348,0.0001526754058431834,0.004580262117087841,0.0020768344402313232,0.0008120127022266388,0.038836997002363205,0.01203908771276474,0.45836226642131805,0.8226870223879814
125,adam,0.5804508328437805,0.0018053154926747084,0.03610631078481674,0.001162172295153141,0.2324344515800476,2.7527345082489774e-05,0.004129101987928152,0.0004360800376161933,0.008721601217985153,0.0029339466709643602,0.0352073609828949,0.0012183468788862228,0.12183468788862228,1.2235872418386862e-05,0.00036707616527564824,3.7806872569490224e-05,0.001512274844571948,0.0003842402365989983,0.023054413497447968,0.0009355666697956622,0.11226800084114075,0.00016051804414018989,0.004815541207790375,0.001982063055038452,0.0008246414363384247,0.03829866647720337,0.012145359069108963,0.4603845737874508,0.821570161730051
150,adam,0.559144914150238,0.001934905769303441,0.038698114454746246,0.0011089697945863008,0.22179396450519562,1.537581192678772e-05,0.002306371694430709,0.0005367685807868838,0.010735372081398964,0.002888220129534602,0.03465864062309265,0.001125805894844234,0.11258058995008469,1.1092425665992778e-05,0.0003327727608848363,3.768540409510024e-05,0.001507416134700179,0.00036629606620408595,0.02197776362299919,0.0009133858256973326,0.1096062958240509,0.0001649205369176343,0.0049476162530481815,0.0015504807233810425,0.0007838644087314606,0.028877049684524536,0.011208128184080124,0.47307855635881424,0.7547958381474018
175,adam,0.5488767623901367,0.002033757045865059,0.04067514091730118,0.0011019025696441531,0.2203805148601532,1.5562563930870965e-05,0.0023343844804912806,0.0005345503450371325,0.010691006667912006,0.0028524950612336397,0.03422994166612625,0.00103220553137362,0.10322055220603943,1.083005281543592e-05,0.00032490157173015177,3.732312688953243e-05,0.0014929251046851277,0.00036469122278504074,0.021881474182009697,0.0009062469471246004,0.1087496355175972,0.00016320958093274385,0.004896287340670824,0.002076484262943268,0.0008336938917636871,0.03889637812972069,0.012106269598007202,0.45909715816378593,0.8218335956335068
200,adam,0.5420407056808472,0.002121241530403495,0.04242483153939247,0.0011023610131815076,0.22047220170497894,1.8703740352066234e-05,0.0028055610600858927,0.0005103169823996723,0.010206339880824089,0.002820787252858281,0.03384944796562195,0.0009577820892445743,0.0957782119512558,9.637579751142766e-06,0.0002891274052672088,3.705163180711679e-05,0.0014820653013885021,0.00036388065200299025,0.021832838654518127,0.0008997746044769883,0.10797294974327087,0.00016423905617557466,0.0049271718598902225,0.0020351484417915344,0.0007821135222911835,0.039408013224601746,0.012229714542627335,0.4727582149207592,0.8479705192148685
225,adam,0.5387698411941528,0.0022030428517609835,0.044060856103897095,0.0010987877612933517,0.2197575569152832,1.8343313058721833e-05,0.0027514968533068895,0.0006675894255749881,0.013351788744330406,0.0027940678410232067,0.03352881222963333,0.0008921940461732447,0.08921940624713898,1.0301982001692522e-05,0.00030905945459380746,3.675221887533553e-05,0.0014700887259095907,0.00036537006963044405,0.02192220464348793,0.0008955708472058177,0.10746850073337555,0.0001643368013901636,0.004930104129016399,0.001999039202928543,0.0008137449622154236,0.03907362371683121,0.011963922530412674,0.46369557455182076,0.8251386061310768
250,adam,0.5340679287910461,0.0022721453569829464,0.04544290900230408,0.0011041510151699185,0.22083020210266113,1.8259866919834167e-05,0.002738980110734701,0.0006548329838551581,0.013096659444272518,0.0027714434545487165,0.033257320523262024,0.0008307651150971651,0.08307651430368423,9.28280314838048e-06,0.00027848410536535084,3.6441313568502665e-05,0.0014576525427401066,0.00036584248300641775,0.021950548514723778,0.0008922161650843918,0.10706593841314316,0.00016242435958702117,0.0048727309331297874,0.0022001564502716064,0.0008258484303951263,0.03925672173500061,0.012058380991220474,0.45411113277077675,0.8219281919300556
275,adam,0.5313146710395813,0.002343070926144719,0.04686141759157181,0.0011050075991079211,0.2210015207529068,2.0437339117052034e-05,0.003065600758418441,0.0007130128797143698,0.014260257594287395,0.0027511215303093195,0.03301345929503441,0.0007769378134980798,0.07769378274679184,9.180699635180645e-06,0.00027542098541744053,3.6130950320512056e-05,0.0014452380128204823,0.00036762235686182976,0.022057341411709785,0.0008900825050659478,0.10680989921092987,0.00016102315566968173,0.004830694757401943,0.002013932913541794,0.0007844455540180206,0.03836701810359955,0.012110378593206406,0.4598010368645191,0.8248337805271149
300,adam,0.5283942818641663,0.002407826716080308,0.048156533390283585,0.001102556474506855,0.2205112874507904,2.076359851344023e-05,0.0031145396642386913,0.0007927205297164619,0.01585441082715988,0.0027332042809575796,0.03279845044016838,0.0007285447209142148,0.07285447418689728,8.107987923722249e-06,0.00024323964316863567,3.581662895157933e-05,0.0014326651580631733,0.00036825137794949114,0.022095082327723503,0.000887964153662324,0.10655570030212402,0.0001592638436704874,0.004777915310114622,0.0019852817058563232,0.0008141212165355682,0.038091596215963364,0.012095663696527481,0.45576851442456245,0.8162017539143562
325,adam,0.5260171294212341,0.0024703345261514187,0.04940669238567352,0.0011031476315110922,0.2206295281648636,2.1320445739547722e-05,0.003198066959157586,0.0008231257670558989,0.01646251603960991,0.002720966935157776,0.03265160322189331,0.0006852368242107332,0.06852368265390396,8.423121471423656e-06,0.0002526936586946249,3.554251088644378e-05,0.0014217004645615816,0.00037038567825220525,0.02222314104437828,0.0008873980841599405,0.10648777335882187,0.00015865986642893404,0.004759795963764191,0.0020634569227695465,0.0008254535496234894,0.03844093531370163,0.012078113853931427,0.4535345286130905,0.8220911659300327
350,adam,0.5253951549530029,0.0025289442855864763,0.05057888478040695,0.001107300748117268,0.22146014869213104,2.2799864382250234e-05,0.0034199797082692385,0.0008894015336409211,0.017788030207157135,0.0027097437996417284,0.032516926527023315,0.0006466835038736463,0.06466834992170334,8.590319339418784e-06,0.00025770958745852113,3.531661786837503e-05,0.0014126647729426622,0.0003711233730427921,0.022267403081059456,0.00088597706053406,0.10631724447011948,0.00015692939632572234,0.004707881715148687,0.0019968822598457336,0.0008128657937049866,0.03813472390174866,0.011999685317277908,0.4522608034312725,0.8111159801483154
375,adam,0.5239349603652954,0.0025844662450253963,0.051689326763153076,0.0011062532430514693,0.22125065326690674,2.3614766178070568e-05,0.0035422148648649454,0.0009605339728295803,0.019210679456591606,0.0026988950558006763,0.032386742532253265,0.0006107717053964734,0.06107717007398605,8.359960702364333e-06,0.0002507988247089088,3.506381472107023e-05,0.0014025525888428092,0.0003720034146681428,0.022320205345749855,0.000884980196133256,0.10619762539863586,0.00015356471703853458,0.004606941714882851,0.002108469605445862,0.0007980950176715851,0.03918381780385971,0.012058336287736893,0.45752430707216263,0.9127764366567135
