iter,stage,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,object_scale_reg_raw,object_scale_reg_scaled,time_contact_s,time_dynamics_s,time_penetration_s,time_mask2d_s,time_backward_s,time_total_iter_s
0,adam,13.27361011505127,0.0,0.0,0.06626936793327332,13.253873825073242,5.131701618665829e-05,0.007697552442550659,0.0,0.0,0.0009434812236577272,0.011321774683892727,0.0,0.0,0.0,0.0,1.552644243929535e-05,0.0006210576975718141,1.608188426871493e-06,9.649130515754223e-05,0.0,0.0,0.0,0.0,0.039612963795661926,0.0020488016307353973,0.13071728870272636,0.06526124849915504,1.1546663008630276,2.0386289544403553
25,adam,1.958096981048584,0.00037236924981698394,0.007447385229170322,0.009172829799354076,1.8345659971237183,0.000305775785818696,0.04586636647582054,9.73933310888242e-06,0.000194786669453606,0.0011042451951652765,0.013250942341983318,0.0004768214130308479,0.04768214002251625,8.409033762291074e-05,0.002522710245102644,1.8953776816488244e-05,0.0007581510581076145,8.122558938339353e-05,0.004873535595834255,0.0,0.0,3.116622974630445e-05,0.0009349868632853031,0.006966833025217056,0.0013244375586509705,0.11413249000906944,0.011261001229286194,0.9849110580980778,1.589477263391018
50,adam,0.5652784705162048,0.0010619651293382049,0.021239303052425385,0.0015823893481865525,0.31647786498069763,0.0003391944046597928,0.050879161804914474,2.7328209398547187e-05,0.0005465641734190285,0.0011275472352281213,0.013530567288398743,0.0014855146873742342,0.14855146408081055,7.098670903360471e-05,0.002129601314663887,2.3958637029863894e-05,0.0009583454811945558,0.0001232737413374707,0.007396424654871225,0.0,0.0,0.00011897289368789643,0.0035691868979483843,0.006795618683099747,0.0013272911310195923,0.11306541785597801,0.011255353689193726,0.9877159334719181,1.5856918431818485
75,adam,0.467322438955307,0.0012315496569499373,0.024630993604660034,0.0013237637467682362,0.26475274562835693,0.0003046024648938328,0.04569036886096001,3.7603713280986995e-05,0.0007520742947235703,0.0009607695392332971,0.011529234237968922,0.0010891581187024713,0.10891581326723099,4.692244328907691e-05,0.0014076733496040106,1.7211066733580083e-05,0.0006884426693432033,7.070457650115713e-05,0.004242274444550276,0.0,0.0,0.00015709515719208866,0.004712854512035847,0.0071548037230968475,0.0013763830065727234,0.11400870606303215,0.011239729821681976,0.9817122258245945,1.5866854600608349
100,adam,0.43853476643562317,0.0013092044973745942,0.026184089481830597,0.001309403800405562,0.2618807554244995,0.0003085603821091354,0.04628405719995499,4.816248474526219e-05,0.000963249709457159,0.0009258243953809142,0.011109892278909683,0.0008083056891337037,0.08083056658506393,3.976905645686202e-05,0.0011930717155337334,1.5708499631728046e-05,0.000628339999821037,5.985146344755776e-05,0.003591087879613042,0.0,0.0,0.00019565493857953697,0.005869647953659296,0.006968509405851364,0.0013184435665607452,0.1129608266055584,0.0112418532371521,1.0017500706017017,1.5943193174898624
125,adam,0.4243417978286743,0.0013974056346341968,0.027948113158345222,0.0012959273299202323,0.25918546319007874,0.0003074175911024213,0.04611263796687126,5.827744098496623e-05,0.0011655488051474094,0.0009164816583506763,0.010997779667377472,0.0006649310817010701,0.06649310886859894,3.766373993130401e-05,0.0011299122124910355,1.54952267621411e-05,0.0006198090850375593,6.013069651089609e-05,0.0036078416742384434,0.0,0.0,0.00023605406749993563,0.0070816222578287125,0.006848808377981186,0.001322779804468155,0.11398689076304436,0.011288296431303024,0.9975049495697021,1.6011233665049076
150,adam,0.4150860011577606,0.0014727904926985502,0.02945581078529358,0.0012876432156190276,0.2575286328792572,0.0003081926261074841,0.04622889310121536,6.719982047798112e-05,0.001343996380455792,0.0009180046617984772,0.011016055941581726,0.0005574807873927057,0.05574807897210121,3.64275329047814e-05,0.0010928260162472725,1.544645056128502e-05,0.0006178580224514008,6.182534707477316e-05,0.003709520911797881,0.0,0.0,0.0002781449002213776,0.008344346657395363,0.007707446813583374,0.0014251507818698883,0.21711146086454391,0.011306993663311005,0.9998599551618099,1.718290962278843
175,adam,0.4084523916244507,0.0015303085092455149,0.030606169253587723,0.001283352728933096,0.2566705346107483,0.0003093507548328489,0.04640261456370354,7.858744356781244e-05,0.0015717488713562489,0.0009194489102810621,0.011033386923372746,0.00047154113417491317,0.04715411365032196,3.516012293403037e-05,0.0010548037244006991,1.542934842291288e-05,0.0006171739660203457,6.249189027585089e-05,0.0037495135329663754,0.0,0.0,0.00031974405283108354,0.009592321701347828,0.00712517648935318,0.0013376399874687195,0.11489148065447807,0.011207398027181625,0.9834974370896816,1.5905992686748505
200,adam,0.4041866958141327,0.0015770726604387164,0.031541451811790466,0.0012839260743930936,0.25678521394729614,0.00030744256218895316,0.046116385608911514,9.532088006380945e-05,0.0019064175430685282,0.0009247763082385063,0.011097315698862076,0.000403903191909194,0.040390320122241974,3.559949982445687e-05,0.0010679849656298757,1.539697404950857e-05,0.0006158789619803429,6.406662578228861e-05,0.0038439976051449776,0.0,0.0,0.0003607245162129402,0.010821735486388206,0.0070162564516067505,0.0013269111514091492,0.11366165056824684,0.011174242943525314,0.9894228652119637,1.5868005938827991
225,adam,0.40006837248802185,0.0016113410238176584,0.032226819545030594,0.001277473522350192,0.25549471378326416,0.0003096839936915785,0.0464526005089283,9.580255573382601e-05,0.0019160511437803507,0.0009343187557533383,0.011211825534701347,0.000352652306901291,0.035265229642391205,3.479888255242258e-05,0.001043966505676508,1.5410401829285547e-05,0.0006164161022752523,6.41037622699514e-05,0.003846225794404745,0.0,0.0,0.00039981710142455995,0.011994512751698494,0.006950896233320236,0.0013734027743339539,0.11723964661359787,0.011223003268241882,0.975025225430727,1.5754653997719288
