iter,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,48.55312728881836,0.0,1.1148489891874675e-15,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008458100259304047,0.0,500.0,0.09710625559091568,48.55312779545784,0.0,0.0,0.0,700000,700000,2796
2,47.23330307006836,0.0,1.3569332395491074e-06,0.0,10.0,9.999771464208607e-07,9.999771464208607e-06,1.0,2.474939151397848e-07,2.474939151397848e-07,0.0050025012506253125,0.008609501644968987,4.306904274621804e-05,500.0,0.0944664403796196,47.2332201898098,5.002501250625313e-07,61.402870178222656,3.0716793485854254e-05,700000,700000,2802
3,45.9340934753418,0.0,5.434483227872988e-06,0.0,10.0,3.9217011362779886e-06,3.9217011362779886e-05,1.0,9.806583420868265e-07,9.806583420868265e-07,0.010005002501250625,0.008976037614047527,8.98052787798652e-05,500.0,0.09186780452728271,45.93390226364136,1.0005002501250626e-06,61.203704833984375,6.123432199498187e-05,700000,700000,2843
4,44.652366638183594,0.0,1.2243435776326805e-05,0.0,10.0,8.669444468978327e-06,8.669444468978327e-05,1.0,2.1510613805730827e-06,2.1510613805730827e-06,0.015007503751875938,0.009158262051641941,0.00013744265210067946,500.0,0.08930409699678421,44.652048498392105,1.5007503751875938e-06,60.82192611694336,9.127852843963485e-05,700000,700000,2946
5,43.39037322998047,0.0,2.1795834982185625e-05,0.0,10.0,1.5220797649817541e-05,0.0001522079764981754,1.0,3.6576993807102554e-06,3.6576993807102554e-06,0.02001000500250125,0.009357616305351257,0.00018724594908156591,500.0,0.08677981793880463,43.38990896940231,2.001000500250125e-06,61.60165786743164,0.00012326494820896777,700000,700000,2975
6,42.14852523803711,0.0,3.410521458135918e-05,0.0,10.0,2.358767051191535e-05,0.00023587670511915348,1.0,5.342754775483627e-06,5.342754775483627e-06,0.02501250625312656,0.009489751420915127,0.00023736246675625628,500.0,0.08429579436779022,42.14789718389511,2.5012506253126564e-06,61.30889892578125,0.0001533489217753408,700000,700000,2973
7,40.92777633666992,0.0,4.9185116949956864e-05,0.0,10.0,3.3770225854823366e-05,0.00033770225854823366,1.0,6.9323186835390516e-06,6.9323186835390516e-06,0.030015007503751877,0.00961997453123331,0.0002887436077408698,500.0,0.08185391873121262,40.92695936560631,3.0015007503751877e-06,61.01643371582031,0.00018314087158325258,700000,700000,2978
8,39.730228424072266,0.0,6.704742554575205e-05,0.0,10.0,4.5705884986091405e-05,0.00045705884986091405,1.0,8.15593830338912e-06,8.15593830338912e-06,0.03501750875437719,0.009601321071386337,0.0003362143446708572,500.0,0.07945843040943146,39.72921520471573,3.501750875437719e-06,60.46074295043945,0.00021171845955631624,700000,700000,2958
9,38.55609893798828,0.0,8.770286513026804e-05,0.0,10.0,5.936976958764717e-05,0.0005936976958764717,1.0,8.770240128797013e-06,8.770240128797013e-06,0.0400200100050025,0.009658933617174625,0.0003865506199969835,500.0,0.07710972428321838,38.55486214160919,4.00200100050025e-06,61.61725616455078,0.0002465923208186124,700000,700000,2883
10,37.40776443481445,0.0,0.0001111534220399335,0.0,10.0,7.470660784747452e-05,0.0007470660784747452,1.0,8.714731848158408e-06,8.714731848158408e-06,0.04502251125562781,0.009799068793654442,0.00044117868505697834,500.0,0.07481257617473602,37.40628808736801,4.502251125562782e-06,61.71617889404297,0.00027786173589113895,700000,700000,2819
11,36.28412628173828,0.0,0.0001374071289319545,0.0,10.0,9.163889626506716e-05,0.0009163889626506716,1.0,8.062384949880652e-06,8.062384949880652e-06,0.05002501250625312,0.00991934072226286,0.0004962151436849854,500.0,0.07256479561328888,36.28239780664444,5.002501250625313e-06,61.4289665222168,0.00030729848185201,700000,700000,2754
12,35.18647766113281,0.0,0.00016646229778416455,0.0,10.0,0.00011002166866092011,0.0011002166866092011,1.0,6.969439255044563e-06,6.969439255044563e-06,0.05502751375687844,0.009858878329396248,0.0005425095628982428,500.0,0.07036898285150528,35.18449142575264,5.502751375687844e-06,61.63555145263672,0.0003391651155472756,700000,700000,2711
13,34.11408233642578,0.0,0.00019830733072012663,0.0,10.0,0.00012969897943548858,0.0012969897943548858,1.0,5.60628450330114e-06,5.60628450330114e-06,0.060030015007503754,0.010015564039349556,0.0006012344595907687,500.0,0.06822363287210464,34.11181643605232,6.003001500750375e-06,60.161861419677734,0.00036115174439026155,700000,700000,2675
14,33.06508255004883,0.0,0.00023293565027415752,0.0,10.0,0.00015052278467919677,0.0015052278467919677,1.0,4.139339125686092e-06,4.139339125686092e-06,0.06503251625812906,0.009939487092196941,0.0006463898559207615,500.0,0.0661250427365303,33.06252136826515,6.503251625812907e-06,62.038658142089844,0.00040345300442579693,700000,700000,2647
15,32.039058685302734,0.0,0.00027033951482735574,0.0,10.0,0.00017235946143046021,0.0017235946143046021,1.0,2.736976284722914e-06,2.736976284722914e-06,0.07003501750875438,0.009962372481822968,0.0006977149311932044,500.0,0.06407240033149719,32.036200165748596,7.003501750875438e-06,62.249603271484375,0.0004359652055031422,700000,700000,2520
