node_a,node_b,min_distance_m,max_distance_m,mean_distance_m,ncs,mean_penetration_m,max_penetration_m
human.hips,bed,0.0027931404765695333,0.17967328429222107,0.07229804992675781,0.9996485714285714,0.013593093492090702,0.03960638493299484
human.left_foot,floor,0.037227991968393326,0.17904888093471527,0.10342657566070557,0.9996485714285714,0.013593093492090702,0.03960638493299484
human.right_foot,floor,0.002453926717862487,0.040572639554739,0.01729690656065941,0.9996485714285714,0.013593093492090702,0.03960638493299484
human.right_hand,bed,0.000511371239554137,0.05501862242817879,0.02508259192109108,0.9996485714285714,0.013593093492090702,0.03960638493299484
