iter,total,track_reproj_raw,track_reproj_scaled,smooth_trans_raw,smooth_trans_scaled,smooth_rot_raw,smooth_rot_scaled,scale_prior_raw,scale_prior_scaled,active_pairs
20,17.064476013183594,15.624753952026367,15.624753952026367,0.00463812705129385,1.391438115388155,0.0006035587284713984,0.04828469827771187,0.0,0.0,526216
40,12.4021635055542,11.693486213684082,11.693486213684082,0.0022816176060587168,0.684485281817615,0.00030239776242524385,0.02419182099401951,0.0,0.0,526216
60,11.831428527832031,11.383763313293457,11.383763313293457,0.001442651730030775,0.4327955190092325,0.0001858687901403755,0.01486950321123004,0.0,0.0,526216
80,11.951360702514648,11.619016647338867,11.619016647338867,0.0010709743946790695,0.32129231840372086,0.00013814607518725097,0.011051686014980078,0.0,0.0,526216
100,11.865015029907227,11.590978622436523,11.590978622436523,0.0008831886807456613,0.2649566042236984,0.00011349952546879649,0.00907996203750372,0.0,0.0,526216
120,11.671842575073242,11.428328514099121,11.428328514099121,0.0007847354281693697,0.2354206284508109,0.00010117833153344691,0.008094266522675753,0.0,0.0,526216
140,11.570985794067383,11.350566864013672,11.350566864013672,0.0007098247879184783,0.21294743637554348,9.339138341601938e-05,0.00747131067328155,0.0,0.0,526216
160,11.583611488342285,11.380441665649414,11.380441665649414,0.0006546508520841599,0.19639525562524796,8.469042222714052e-05,0.006775233778171241,0.0,0.0,526216
180,11.69255542755127,11.501015663146973,11.501015663146973,0.0006167390965856612,0.18502172897569835,8.14823288237676e-05,0.006518586305901408,0.0,0.0,526216
200,11.300895690917969,11.120315551757812,11.120315551757812,0.0005816317279823124,0.17448951839469373,7.61268165661022e-05,0.0060901453252881765,0.0,0.0,526216
220,11.596355438232422,11.423139572143555,11.423139572143555,0.0005573651869781315,0.16720955609343946,7.507501868531108e-05,0.006006001494824886,0.0,0.0,526216
240,11.5673189163208,11.398639678955078,11.398639678955078,0.0005423068068921566,0.16269204206764698,7.484247907996178e-05,0.005987398326396942,0.0,0.0,526216
260,11.546159744262695,11.383100509643555,11.383100509643555,0.0005243336781859398,0.15730010345578194,7.199018000392243e-05,0.005759214400313795,0.0,0.0,526216
280,11.47300910949707,11.313455581665039,11.313455581665039,0.0005129799828864634,0.15389399486593902,7.074456516420469e-05,0.005659565213136375,0.0,0.0,526216
300,11.233383178710938,11.077958106994629,11.077958106994629,0.00049999711336568,0.149999134009704,6.783370190532878e-05,0.005426696152426302,0.0,0.0,526216
320,11.307670593261719,11.154953956604004,11.154953956604004,0.0004912394797429442,0.14737184392288327,6.680087244603783e-05,0.005344069795683026,0.0,0.0,526216
340,11.642962455749512,11.48989200592041,11.48989200592041,0.0004906071117147803,0.1471821335144341,7.359630399150774e-05,0.005887704319320619,0.0,0.0,526216
360,11.287089347839355,11.138158798217773,11.138158798217773,0.00047850364353507757,0.14355109306052327,6.725071580149233e-05,0.005380057264119387,0.0,0.0,526216
380,11.35816478729248,11.211180686950684,11.211180686950684,0.000472334329970181,0.1417002989910543,6.604779628105462e-05,0.005283823702484369,0.0,0.0,526216
400,11.232419967651367,11.08791732788086,11.08791732788086,0.00046437152195721865,0.1393114565871656,6.488820508820936e-05,0.005191056407056749,0.0,0.0,526216
420,11.170656204223633,11.027548789978027,11.027548789978027,0.00045985402539372444,0.13795620761811733,6.438206764869392e-05,0.0051505654118955135,0.0,0.0,526216
440,11.342278480529785,11.200178146362305,11.200178146362305,0.00045628781663253903,0.1368863449897617,6.517265865113586e-05,0.005213812692090869,0.0,0.0,526216
460,11.19045352935791,11.05007266998291,11.05007266998291,0.00045081882853992283,0.13524564856197685,6.419367855414748e-05,0.0051354942843317986,0.0,0.0,526216
480,11.253933906555176,11.113431930541992,11.113431930541992,0.00045091297943145037,0.1352738938294351,6.535431020893157e-05,0.005228344816714525,0.0,0.0,526216
500,11.354573249816895,11.216222763061523,11.216222763061523,0.00044414796866476536,0.1332443905994296,6.382502033375204e-05,0.005106001626700163,0.0,0.0,526216
520,11.291216850280762,11.15307903289795,11.15307903289795,0.0004433952271938324,0.13301856815814972,6.399445555871353e-05,0.005119556444697082,0.0,0.0,526216
540,11.415898323059082,11.280508995056152,11.280508995056152,0.0004348285438027233,0.130448563140817,6.175981252454221e-05,0.004940785001963377,0.0,0.0,526216
560,11.239084243774414,11.104263305664062,11.104263305664062,0.00043283565901219845,0.12985069770365953,6.21377257630229e-05,0.004971018061041832,0.0,0.0,526216
580,11.353524208068848,11.219917297363281,11.219917297363281,0.0004288097261451185,0.12864291784353554,6.205053068697453e-05,0.004964042454957962,0.0,0.0,526216
600,11.392956733703613,11.259225845336914,11.259225845336914,0.00042934867087751627,0.12880460126325488,6.15809258306399e-05,0.004926474066451192,0.0,0.0,526216
620,11.263050079345703,11.131086349487305,11.131086349487305,0.00042390101589262486,0.12717030476778746,5.991190846543759e-05,0.004792952677235007,0.0,0.0,526216
640,11.184187889099121,11.053117752075195,11.053117752075195,0.0004208801838103682,0.12626405514311045,6.008045602357015e-05,0.004806436481885612,0.0,0.0,526216
660,11.370965957641602,11.239846229553223,11.239846229553223,0.00042067404137924314,0.12620221241377294,6.146988016553223e-05,0.0049175904132425785,0.0,0.0,526216
680,11.502772331237793,11.372050285339355,11.372050285339355,0.00041890726424753666,0.125672179274261,6.312140612863004e-05,0.005049712490290403,0.0,0.0,526216
700,11.21065616607666,11.081982612609863,11.081982612609863,0.0004130403103772551,0.12391209311317652,5.952071660431102e-05,0.0047616573283448815,0.0,0.0,526216
720,11.707358360290527,11.577409744262695,11.577409744262695,0.0004155758651904762,0.12467275955714285,6.594402657356113e-05,0.0052755221258848906,0.0,0.0,526216
740,11.675966262817383,11.547406196594238,11.547406196594238,0.0004118607612326741,0.12355822836980224,6.252239836612716e-05,0.005001791869290173,0.0,0.0,526216
760,11.27854061126709,11.151651382446289,11.151651382446289,0.0004073501331731677,0.12220503995195031,5.855859853909351e-05,0.004684687883127481,0.0,0.0,526216
780,11.19222640991211,11.065542221069336,11.065542221069336,0.0004064622335135937,0.1219386700540781,5.931265695835464e-05,0.004745012556668371,0.0,0.0,526216
800,11.243000984191895,11.117269515991211,11.117269515991211,0.0004033098230138421,0.12099294690415263,5.9239195252303034e-05,0.004739135620184243,0.0,0.0,526216
820,11.395933151245117,11.269797325134277,11.269797325134277,0.000404275517212227,0.1212826551636681,6.066945934435353e-05,0.004853556747548282,0.0,0.0,526216
840,11.58540153503418,11.45847225189209,11.45847225189209,0.00040594759047962725,0.12178427714388818,6.431589281419292e-05,0.005145271425135434,0.0,0.0,526216
860,11.38007926940918,11.255008697509766,11.255008697509766,0.00040101807098835707,0.12030542129650712,5.9572710597421974e-05,0.004765816847793758,0.0,0.0,526216
880,11.345479965209961,11.220849990844727,11.220849990844727,0.00039976523839868605,0.11992957151960582,5.875720671610907e-05,0.004700576537288725,0.0,0.0,526216
900,11.482687950134277,11.358994483947754,11.358994483947754,0.00039683381328359246,0.11905014398507774,5.8046083722729236e-05,0.004643686697818339,0.0,0.0,526216
920,11.069062232971191,10.947175979614258,10.947175979614258,0.00039132393430918455,0.11739718029275537,5.610904918285087e-05,0.004488723934628069,0.0,0.0,526216
940,11.335065841674805,11.212515830993652,11.212515830993652,0.000392712012398988,0.1178136037196964,5.919704562984407e-05,0.0047357636503875256,0.0,0.0,526216
960,11.108960151672363,10.987889289855957,10.987889289855957,0.00038855866296216846,0.11656759888865054,5.6290220527444035e-05,0.004503217642195523,0.0,0.0,526216
980,11.39663314819336,11.274773597717285,11.274773597717285,0.0003905998601112515,0.11717995803337544,5.849726585438475e-05,0.00467978126835078,0.0,0.0,526216
1000,11.193078994750977,11.073225975036621,11.073225975036621,0.00038474207394756377,0.11542262218426913,5.5386008170899004e-05,0.00443088065367192,0.0,0.0,526216
1020,8.069018363952637,7.950376987457275,7.950376987457275,0.0003797468380071223,0.11392405140213668,5.895650974707678e-05,0.004716520779766142,0.0,0.0,474594
1040,7.9316606521606445,7.814713478088379,7.814713478088379,0.00037547064130194485,0.11264119239058346,5.3821691835764796e-05,0.004305735346861184,0.0,0.0,474594
1060,7.810705184936523,7.695127964019775,7.695127964019775,0.00037114787846803665,0.111344363540411,5.290884291753173e-05,0.004232707433402538,0.0,0.0,474594
1080,7.690298557281494,7.576291561126709,7.576291561126709,0.00036616239231079817,0.10984871769323945,5.1981478463858366e-05,0.004158518277108669,0.0,0.0,474594
1100,7.581865310668945,7.469356536865234,7.469356536865234,0.0003613831358961761,0.10841494076885283,5.117120235809125e-05,0.0040936961886473,0.0,0.0,474594
1120,7.5055766105651855,7.394514083862305,7.394514083862305,0.00035691686207428575,0.10707505862228572,4.984039333066903e-05,0.0039872314664535224,0.0,0.0,474594
1140,7.410869121551514,7.300847053527832,7.300847053527832,0.00035354035208001733,0.1060621056240052,4.950456786900759e-05,0.003960365429520607,0.0,0.0,474594
1160,7.3836493492126465,7.273600101470947,7.273600101470947,0.00035305111669003963,0.10591533500701189,5.1669994718395174e-05,0.004133599577471614,0.0,0.0,474594
1180,7.3392109870910645,7.229938983917236,7.229938983917236,0.0003506724024191499,0.10520172072574496,5.0880786147899926e-05,0.004070462891831994,0.0,0.0,474594
1200,7.436647415161133,7.329161167144775,7.329161167144775,0.0003450065851211548,0.10350197553634644,4.980347148375586e-05,0.0039842777187004685,0.0,0.0,474594
1220,7.410773277282715,7.3044843673706055,7.3044843673706055,0.0003416064428165555,0.10248193284496665,4.758882641908713e-05,0.00380710611352697,0.0,0.0,474594
1240,7.288304805755615,7.182327747344971,7.182327747344971,0.00034031918039545417,0.10209575411863625,4.852011625189334e-05,0.0038816093001514673,0.0,0.0,474594
1260,7.890383243560791,7.784071445465088,7.784071445465088,0.0003412303631193936,0.10236910893581808,4.927979171043262e-05,0.0039423833368346095,0.0,0.0,474594
1280,7.457488059997559,7.350472450256348,7.350472450256348,0.0003436733386479318,0.10310200159437954,4.8915295337792486e-05,0.003913223627023399,0.0,0.0,474594
1300,7.410725116729736,7.305010795593262,7.305010795593262,0.00033954507671296597,0.10186352301388979,4.813739360542968e-05,0.0038509914884343743,0.0,0.0,474594
1320,7.267928123474121,7.163537979125977,7.163537979125977,0.00033528002677485347,0.10058400803245604,4.75736269436311e-05,0.003805890155490488,0.0,0.0,474594
1340,7.231235027313232,7.127755641937256,7.127755641937256,0.0003324343706481159,0.09973031119443476,4.6863642637617886e-05,0.003749091411009431,0.0,0.0,474594
1360,7.230486869812012,7.12809419631958,7.12809419631958,0.0003289671731181443,0.09869015193544328,4.628299211617559e-05,0.0037026393692940474,0.0,0.0,474594
1380,7.220725059509277,7.1188530921936035,7.1188530921936035,0.0003273859911132604,0.09821579733397812,4.570222517941147e-05,0.0036561780143529177,0.0,0.0,474594
1400,7.140443801879883,7.039268970489502,7.039268970489502,0.00032514671329408884,0.09754401398822665,4.538255598163232e-05,0.0036306044785305858,0.0,0.0,474594
1420,7.120045185089111,7.019278049468994,7.019278049468994,0.00032373826252296567,0.0971214787568897,4.556485509965569e-05,0.003645188407972455,0.0,0.0,474594
1440,7.238129615783691,7.136656761169434,7.136656761169434,0.00032592026400379837,0.09777607920113951,4.62101525045e-05,0.00369681220036,0.0,0.0,474594
1460,7.108204364776611,7.008119583129883,7.008119583129883,0.0003216172044631094,0.09648516133893281,4.4994521886110306e-05,0.0035995617508888245,0.0,0.0,474594
1480,7.095510482788086,6.9960198402404785,6.9960198402404785,0.0003196080797351897,0.0958824239205569,4.5105163735570386e-05,0.003608413098845631,0.0,0.0,474594
1500,7.210086822509766,7.110996723175049,7.110996723175049,0.00031847035279497504,0.09554110583849251,4.4365981011651456e-05,0.0035492784809321165,0.0,0.0,474594
1520,7.143187046051025,7.044419288635254,7.044419288635254,0.0003172311116941273,0.0951693335082382,4.498029738897458e-05,0.003598423791117966,0.0,0.0,474594
1540,7.134774208068848,7.036401271820068,7.036401271820068,0.0003162207722198218,0.09486623166594654,4.3832747905980796e-05,0.0035066198324784636,0.0,0.0,474594
1560,7.156884670257568,7.058915138244629,7.058915138244629,0.00031481284531764686,0.09444385359529406,4.407199230627157e-05,0.0035257593845017254,0.0,0.0,474594
1580,7.1922078132629395,7.0940070152282715,7.0940070152282715,0.00031506712548434734,0.0945201376453042,4.601114778779447e-05,0.0036808918230235577,0.0,0.0,474594
1600,7.115834712982178,7.018161773681641,7.018161773681641,0.0003136972081847489,0.09410916245542467,4.454765803529881e-05,0.0035638126428239048,0.0,0.0,474594
1620,7.098394393920898,7.001250743865967,7.001250743865967,0.0003119403263553977,0.09358209790661931,4.452132270671427e-05,0.003561705816537142,0.0,0.0,474594
1640,7.1290435791015625,7.032378196716309,7.032378196716309,0.00031046613003127277,0.09313983900938183,4.4070358853787184e-05,0.0035256287083029747,0.0,0.0,474594
1660,7.107208728790283,7.011197090148926,7.011197090148926,0.0003083985357079655,0.09251956071238965,4.364583583083004e-05,0.003491666866466403,0.0,0.0,474594
1680,7.574122905731201,7.4764299392700195,7.4764299392700195,0.0003124309587292373,0.0937292876187712,4.954549513058737e-05,0.0039636396104469895,0.0,0.0,474594
1700,7.171363830566406,7.0751447677612305,7.0751447677612305,0.00030881198472343385,0.09264359541703016,4.4688702473649755e-05,0.0035750961978919804,0.0,0.0,474594
1720,7.064727783203125,6.96898078918457,6.96898078918457,0.00030762137612327933,0.0922864128369838,4.3254909542156383e-05,0.0034603927633725107,0.0,0.0,474594
1740,7.049737930297852,6.954224586486816,6.954224586486816,0.0003068078076466918,0.09204234229400754,4.338785583968274e-05,0.0034710284671746194,0.0,0.0,474594
1760,6.981929302215576,6.8871355056762695,6.8871355056762695,0.0003045472258236259,0.09136416774708778,4.2870029574260116e-05,0.0034296023659408092,0.0,0.0,474594
1780,6.979555130004883,6.885153293609619,6.885153293609619,0.0003029688959941268,0.09089066879823804,4.3884811020689085e-05,0.003510784881655127,0.0,0.0,474594
1800,7.049927234649658,6.955328464508057,6.955328464508057,0.00030365900602191687,0.09109770180657506,4.3760348489740863e-05,0.003500827879179269,0.0,0.0,474594
1820,7.199700832366943,7.105656147003174,7.105656147003174,0.0003020979347638786,0.09062938042916358,4.268730845069513e-05,0.00341498467605561,0.0,0.0,474594
1840,7.030765056610107,6.937013626098633,6.937013626098633,0.00030102941673249006,0.09030882501974702,4.303505556890741e-05,0.003442804445512593,0.0,0.0,474594
1860,7.012803077697754,6.919517993927002,6.919517993927002,0.00029964710120111704,0.08989413036033511,4.238341352902353e-05,0.0033906730823218822,0.0,0.0,474594
1880,7.111286163330078,7.017971515655518,7.017971515655518,0.00029966136207804084,0.08989840862341225,4.270051431376487e-05,0.0034160411451011896,0.0,0.0,474594
1900,6.998939514160156,6.906492233276367,6.906492233276367,0.0002970611094497144,0.08911833283491433,4.161091419518925e-05,0.00332887313561514,0.0,0.0,474594
1920,6.969328880310059,6.877193927764893,6.877193927764893,0.0002959400590043515,0.08878201770130545,4.191213520243764e-05,0.003352970816195011,0.0,0.0,474594
1940,7.034883975982666,6.942768573760986,6.942768573760986,0.0002957495453301817,0.08872486359905452,4.237793473294005e-05,0.003390234778635204,0.0,0.0,474594
1960,6.954456806182861,6.862884521484375,6.862884521484375,0.00029423978412523866,0.0882719352375716,4.1252678784076124e-05,0.00330021430272609,0.0,0.0,474594
1980,7.028120517730713,6.936412334442139,6.936412334442139,0.0002943619037978351,0.08830857113935053,4.249382618581876e-05,0.003399506094865501,0.0,0.0,474594
2000,7.003117084503174,6.912154197692871,6.912154197692871,0.00029213441302999854,0.08764032390899956,4.153277768637054e-05,0.003322622214909643,0.0,0.0,474594
2020,5.320511817932129,5.2284746170043945,5.2284746170043945,0.00029474322218447924,0.08842296665534377,4.5183121983427554e-05,0.0036146497586742043,0.0,0.0,427195
