frame_idx,iron_reproj_mean_px,ironing_board_reproj_mean_px,active_pairs,mean_reproj_px
0,0.7070995569229126,0.7071022391319275,6037,0.7071008682250977
1,0.6228607296943665,0.3358355462551117,5193,0.4793481230735779
2,1.0093766450881958,0.5732414126396179,5193,0.7913089990615845
3,1.2777408361434937,0.7428160905838013,5192,1.0102784633636475
4,1.2791152000427246,0.952491819858551,5108,1.1158034801483154
5,1.2123123407363892,1.296820878982544,4989,1.2545666694641113
6,1.1302870512008667,1.5635125637054443,5088,1.3468997478485107
7,1.0194321870803833,1.8373851776123047,5167,1.4284086227416992
8,0.6471967101097107,1.8233976364135742,5169,1.2352972030639648
9,0.5791419148445129,1.8954237699508667,5165,1.2372828722000122
10,0.6950166821479797,1.8929965496063232,5172,1.294006586074829
11,0.8361960649490356,1.8332799673080444,5171,1.33473801612854
12,1.0556695461273193,1.7798629999160767,5183,1.4177663326263428
13,1.3573907613754272,1.6851743459701538,5171,1.5212825536727905
14,1.669804573059082,1.5295692682266235,5133,1.599686861038208
15,1.7790477275848389,1.4662286043167114,5118,1.62263822555542
16,1.8034905195236206,1.3431329727172852,5123,1.5733118057250977
17,1.7140491008758545,1.2224736213684082,5038,1.4682613611221313
18,1.3865541219711304,1.0988763570785522,4925,1.2427152395248413
19,1.1266624927520752,0.9933984279632568,5099,1.060030460357666
20,0.973380446434021,0.995481550693512,5113,0.9844310283660889
21,1.0457162857055664,1.0215754508972168,5157,1.0336458683013916
22,0.927923321723938,0.9764708876609802,5161,0.9521970748901367
23,0.8530744910240173,0.9713497161865234,5154,0.9122121334075928
24,0.8196346759796143,0.9888058304786682,5150,0.9042202234268188
25,0.8278339505195618,1.028554916381836,5140,0.9281944036483765
26,0.8521914482116699,1.0561585426330566,5124,0.9541749954223633
27,0.9883807897567749,1.1399253606796265,5102,1.0641530752182007
28,1.24971342086792,1.2920703887939453,5075,1.2708919048309326
29,1.2145968675613403,1.3370006084442139,5056,1.2757987976074219
30,1.2122050523757935,1.4305635690689087,5050,1.321384310722351
31,1.273404836654663,1.5397679805755615,5038,1.4065864086151123
32,1.2369645833969116,1.653193712234497,5028,1.4450790882110596
33,1.1602783203125,1.7565072774887085,5037,1.458392858505249
34,1.0762943029403687,1.8383015394210815,4685,1.457297921180725
35,0.9870140552520752,1.9296777248382568,4546,1.458345890045166
36,0.7493632435798645,2.020775079727173,4246,1.3850691318511963
37,0.9846213459968567,2.0650837421417236,4311,1.5248525142669678
38,1.171681523323059,2.1639251708984375,4457,1.6678032875061035
39,1.0982557535171509,2.2503252029418945,4520,1.674290418624878
40,0.8638051152229309,2.271066188812256,4589,1.567435622215271
41,0.7545252442359924,2.3187756538391113,4677,1.5366504192352295
42,0.6875317692756653,2.361008405685425,4697,1.5242700576782227
43,0.694133996963501,2.3599371910095215,4614,1.5270355939865112
44,0.7189257740974426,2.3383054733276367,4577,1.5286155939102173
45,0.799541711807251,2.354647159576416,4496,1.5770944356918335
46,0.8379781246185303,2.3821229934692383,4501,1.6100505590438843
47,0.7894663214683533,2.3974545001983643,4539,1.5934604406356812
48,0.760027289390564,2.4666099548339844,4539,1.613318681716919
49,0.8704509139060974,2.5335094928741455,4569,1.7019802331924438
50,1.0039403438568115,2.5736756324768066,4565,1.788807988166809
51,1.029190182685852,2.5658485889434814,4541,1.7975194454193115
52,1.1059801578521729,2.5298686027526855,4378,1.8179243803024292
53,1.105630874633789,2.4460806846618652,4317,1.7758557796478271
54,1.0776605606079102,2.435500383377075,4436,1.7565804719924927
55,1.056067705154419,2.5153110027313232,4587,1.785689353942871
56,1.0262770652770996,2.5367448329925537,4665,1.7815109491348267
57,1.0977075099945068,2.477158784866333,4497,1.78743314743042
58,1.2558236122131348,2.4501073360443115,4422,1.8529654741287231
59,1.2861249446868896,2.461463689804077,4322,1.8737943172454834
60,1.2509537935256958,2.4512836933135986,4385,1.851118803024292
61,1.1241097450256348,2.432609796524048,4380,1.7783597707748413
62,1.1587071418762207,2.451465129852295,4587,1.8050861358642578
63,1.216213583946228,2.5138304233551025,4455,1.8650219440460205
64,0.9597218036651611,2.561849355697632,4166,1.7607855796813965
65,1.0085928440093994,2.530648708343506,3919,1.7696207761764526
66,0.9932231307029724,2.516343355178833,3854,1.754783272743225
67,0.9530777931213379,2.491407632827759,4035,1.7222427129745483
68,1.3003383874893188,2.4893722534179688,4263,1.894855260848999
69,1.2883726358413696,2.59165358543396,4494,1.9400131702423096
70,1.2432142496109009,2.656609058380127,4506,1.9499115943908691
71,1.2653056383132935,2.7313430309295654,4397,1.9983243942260742
72,1.3192853927612305,2.8755948543548584,4538,2.097440242767334
73,1.1874258518218994,2.8261563777923584,4601,2.006791114807129
74,1.1698497533798218,3.003746271133423,4646,2.0867979526519775
75,1.2411556243896484,3.1247570514678955,4656,2.1829562187194824
76,1.3409004211425781,3.2703659534454346,4717,2.305633068084717
77,1.3697984218597412,3.2645766735076904,4638,2.317187547683716
78,1.35155189037323,3.5307037830352783,4645,2.4411277770996094
79,1.5433236360549927,3.56112003326416,4468,2.5522217750549316
80,1.6218228340148926,3.686521530151367,4345,2.65417218208313
