iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,35.29741287231445,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,60.0,0.0030298016499727964,0.1817880989983678,30.0,0.0687980130314827,2.063940390944481,800.0,0.04131460562348366,33.051684498786926,0.0,0.0,0.0,700000,700000,131,10475,10279,720
2,rigid,35.18480682373047,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,60.0,0.0028588916175067425,0.17153349705040455,30.0,0.06872101873159409,2.0616305619478226,800.0,0.04118955135345459,32.95164108276367,0.0,0.0,0.0,700000,700000,139,10475,10256,723
3,rigid,35.076744079589844,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,9.99337089524488e-07,9.99337089524488e-07,60.0,0.002943490631878376,0.17660943791270256,30.0,0.06804781407117844,2.041434422135353,800.0,0.04107337445020676,32.858699560165405,0.0,0.0,0.0,700000,700000,140,10475,10233,722
4,rigid,34.979766845703125,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,2.2555516352440463e-06,2.2555516352440463e-06,60.0,0.0031386087648570538,0.18831652589142323,30.0,0.06754984706640244,2.026495411992073,800.0,0.04095619171857834,32.76495337486267,0.0,0.0,0.0,700000,700000,127,10475,10247,720
5,rigid,34.887245178222656,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,3.997348358097952e-06,3.997348358097952e-06,60.0,0.003171187825500965,0.1902712695300579,30.0,0.06747107207775116,2.024132162332535,800.0,0.04084104299545288,32.672834396362305,0.0,0.0,0.0,700000,700000,131,10475,10255,715
6,rigid,34.7877311706543,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,6.23413325229194e-06,6.23413325229194e-06,60.0,0.003242271952331066,0.19453631713986397,30.0,0.06698910892009735,2.0096732676029205,800.0,0.04072939604520798,32.58351683616638,0.0,0.0,0.0,700000,700000,135,10475,10248,716
7,rigid,34.67353439331055,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,8.979963240562938e-06,8.979963240562938e-06,60.0,0.003043494652956724,0.18260967917740345,30.0,0.06651277095079422,1.9953831285238266,800.0,0.040619418025016785,32.49553442001343,0.0,0.0,0.0,700000,700000,133,10475,10263,716
8,rigid,34.575523376464844,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,1.224187872139737e-05,1.224187872139737e-05,60.0,0.0029695311095565557,0.17817186657339334,30.0,0.06622543931007385,1.9867631793022156,800.0,0.04051321744918823,32.410573959350586,0.0,0.0,0.0,700000,700000,127,10475,10271,712
9,rigid,34.45962142944336,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,1.60081654030364e-05,1.60081654030364e-05,60.0,0.0028202859684824944,0.16921715810894966,30.0,0.06541034579277039,1.9623103737831116,800.0,0.04041009768843651,32.32807815074921,0.0,0.0,0.0,700000,700000,132,10475,10267,714
10,rigid,34.36897659301758,100.0,4.440892098500626e-16,4.440892098500626e-14,250.0,0.0,0.0,1.0,2.0278821466490626e-05,2.0278821466490626e-05,60.0,0.002884193090721965,0.1730515854433179,30.0,0.0649535208940506,1.948605626821518,800.0,0.0403091236948967,32.24729895591736,0.0,0.0,0.0,700000,700000,126,10475,10268,711
