View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6256,0.7056,0.7427,0.7429,0.7083,0.6285,0.5738,0.5768,0.5795,0.5814,0.5989,0.6107,0.6178,0.6241,0.6301,0.6357,0.6446,0.6516,0.6464,0.6547,0.6644,0.6733,0.6835,0.6934
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6282,0.7265,0.7938,0.8383,0.8680,0.8878,0.9111,0.9261,0.9359,0.9428,0.9501,0.9553,0.9592,0.9625,0.9652,0.9676,0.9699,0.9716,0.9724,0.9734,0.9734,0.9735,0.9736,0.9736
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5952,0.6582,0.6806,0.6614,0.5964,0.4927,0.4258,0.4033,0.3863,0.3713,0.3700,0.3642,0.3566,0.3493,0.3420,0.3337,0.3290,0.3269,0.3267,0.3393,0.3388,0.3378,0.3375,0.3373
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6286,0.7273,0.7957,0.8426,0.8744,0.8965,0.9198,0.9347,0.9443,0.9511,0.9571,0.9610,0.9636,0.9656,0.9673,0.9688,0.9703,0.9717,0.9729,0.9739,0.9729,0.9718,0.9704,0.9689
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3723,0.2420,0.1483,0.0941,0.0641,0.0464,0.0377,0.0323,0.0283,0.0252,0.0232,0.0214,0.0198,0.0184,0.0171,0.0161,0.0152,0.0141,0.0129,0.0121,0.0110,0.0101,0.0093,0.0086
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3705,0.2432,0.1517,0.0975,0.0669,0.0487,0.0391,0.0329,0.0283,0.0248,0.0224,0.0203,0.0185,0.0169,0.0156,0.0144,0.0135,0.0125,0.0116,0.0109,0.0099,0.0090,0.0083,0.0077
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3312,0.1887,0.1072,0.0656,0.0439,0.0316,0.0249,0.0205,0.0173,0.0150,0.0134,0.0119,0.0107,0.0096,0.0087,0.0079,0.0073,0.0069,0.0066,0.0062,0.0057,0.0052,0.0049,0.0045
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3710,0.2411,0.1476,0.0935,0.0637,0.0458,0.0369,0.0313,0.0271,0.0238,0.0217,0.0199,0.0183,0.0169,0.0157,0.0146,0.0137,0.0127,0.0115,0.0108,0.0102,0.0097,0.0093,0.0089
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6037,0.5563,0.3399,0.1575,0.0824,0.0512,0.0415,0.0376,0.0349,0.0327,0.0316,0.0294,0.0270,0.0247,0.0227,0.0210,0.0197,0.0185,0.0177,0.0172,0.0153,0.0136,0.0122,0.0111
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3466,0.1823,0.0932,0.0536,0.0348,0.0246,0.0202,0.0176,0.0156,0.0141,0.0134,0.0127,0.0120,0.0114,0.0109,0.0105,0.0101,0.0097,0.0091,0.0085,0.0075,0.0068,0.0061,0.0056
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3626,0.2307,0.1404,0.0887,0.0603,0.0437,0.0349,0.0292,0.0251,0.0220,0.0200,0.0183,0.0168,0.0156,0.0145,0.0135,0.0128,0.0122,0.0116,0.0108,0.0097,0.0088,0.0081,0.0074
