iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,3.0482845306396484,20.0,0.0,0.0,0.0001,11.141931533813477,0.0011141931172460318,0.0001,17.66349220275879,0.0017663491889834404,1000.0,0.0001707824703771621,0.17078247666358948,1000.0,4.6738641685806215e-05,0.0467386431992054,1.0,0.0,0.0,0.0,0.0015395082300528884,0.0,1000.0,0.0028249307069927454,2.8249306678771973,10.0,0.0002952190989162773,0.002952191047370434
25,1.1261378526687622,20.0,0.00012981900363229215,0.002596380189061165,0.0001,31.823701858520508,0.003182370215654373,0.0001,35.973167419433594,0.00359731656499207,1000.0,0.00013639485405292362,0.13639485836029053,1000.0,3.768274837057106e-05,0.03768274933099747,1.0,0.0,0.0,0.05,0.0019667232409119606,9.833616059040651e-05,1000.0,0.0009402811992913485,0.9402812123298645,14.95,0.00015415770758409053,0.002304657595232129
50,0.5902867913246155,20.0,0.0003079398884437978,0.0061587980017066,0.0001,24.007957458496094,0.0024007956963032484,0.0001,26.93235206604004,0.0026932351756840944,1000.0,0.00012075421545887366,0.12075421214103699,1000.0,3.0980841984273866e-05,0.03098084218800068,1.0,0.0,0.0,0.1,0.0022528786212205887,0.00022528786212205887,1000.0,0.0004254674131516367,0.4254674017429352,19.9,8.071357297012582e-05,0.001606200123205781
75,0.4329918622970581,20.0,0.00045420945389196277,0.009084189310669899,0.0001,21.440162658691406,0.0021440163254737854,0.0001,24.208480834960938,0.0024208480026572943,1000.0,0.00010805350757436827,0.10805350542068481,1000.0,2.6349838663008995e-05,0.026349838823080063,1.0,0.0,0.0,0.15,0.0022433430422097445,0.00033650145633146167,1000.0,0.0002835738705471158,0.28357386589050293,24.85,4.141294994042255e-05,0.0010291117941960692
100,0.36984914541244507,20.0,0.0005784160457551479,0.011568320915102959,0.0001,21.05764389038086,0.0021057643461972475,0.0001,23.790184020996094,0.002379018347710371,1000.0,9.671903535490856e-05,0.09671903401613235,1000.0,2.3704656996414997e-05,0.023704657331109047,1.0,0.0,0.0,0.2,0.0022433698177337646,0.00044867396354675293,1000.0,0.0002322111395187676,0.2322111427783966,29.8,2.3909835363156162e-05,0.0007125130505301058
125,0.3397185206413269,20.0,0.0006922556203790009,0.013845112174749374,0.0001,20.73896026611328,0.0020738958846777678,0.0001,23.469816207885742,0.0023469815496355295,1000.0,8.850185258779675e-05,0.08850185573101044,1000.0,2.172253698518034e-05,0.02172253653407097,1.0,0.0,0.0,0.25,0.0022490941919386387,0.0005622735479846597,1000.0,0.00021014320373069495,0.21014320850372314,34.75,1.5040499420138076e-05,0.0005226573557592928
150,0.32521042227745056,20.0,0.0007885288214311004,0.015770576894283295,0.0001,20.671140670776367,0.002067113993689418,0.0001,23.488903045654297,0.002348890295252204,1000.0,8.252601401181892e-05,0.08252601325511932,1000.0,2.035846591752488e-05,0.020358465611934662,1.0,0.0,0.0,0.3,0.0022511908318847418,0.0006753572961315513,1000.0,0.00020098542154300958,0.20098541676998138,39.7,1.205492935696384e-05,0.000478580710478127
175,0.3172338902950287,20.0,0.0008699762402102351,0.01739952526986599,0.0001,20.4599552154541,0.002045995555818081,0.0001,23.349285125732422,0.002334928372874856,1000.0,7.815492426743731e-05,0.07815492153167725,1000.0,1.932042869157158e-05,0.019320428371429443,1.0,0.0,0.0,0.35,0.0022334258537739515,0.0007816990255378187,1000.0,0.000196737251826562,0.19673724472522736,44.65,1.0283416486345232e-05,0.00045915457303635776
200,0.3123988211154938,20.0,0.0009397616377100348,0.018795233219861984,0.0001,20.39864730834961,0.002039864659309387,0.0001,23.29644012451172,0.0023296440485864878,1000.0,7.475935854017735e-05,0.0747593566775322,1000.0,1.8503968021832407e-05,0.01850396767258644,1.0,0.0,0.0,0.4,0.0022276006639003754,0.000891040253918618,1000.0,0.000194614811334759,0.19461481273174286,49.6,9.373055036121514e-06,0.0004649035108741373
225,0.3092755675315857,20.0,0.0009993246058002114,0.01998649165034294,0.0001,20.351682662963867,0.002035168232396245,0.0001,23.29160499572754,0.0023291604593396187,1000.0,7.206361624412239e-05,0.0720636174082756,1000.0,1.7870674128062092e-05,0.017870673909783363,1.0,0.0,0.0,0.45,0.0022202692925930023,0.000999121111817658,1000.0,0.00019352484378032386,0.19352483749389648,54.55,8.55186408443842e-06,0.0004665041924454272
250,0.30694159865379333,20.0,0.0010516955517232418,0.021033911034464836,0.0001,20.28792953491211,0.0020287928637117147,0.0001,23.249486923217773,0.00232494855299592,1000.0,6.97771247359924e-05,0.06977712363004684,1000.0,1.7320549886790104e-05,0.017320549115538597,1.0,0.0,0.0,0.5,0.0022233224008232355,0.0011116612004116178,1000.0,0.00019287277245894074,0.1928727775812149,59.5,7.930051651783288e-06,0.0004718380805570632
275,0.3051653802394867,20.0,0.0010990126756951213,0.021980253979563713,0.0001,20.319791793823242,0.002031979151070118,0.0001,23.271240234375,0.0023271238896995783,1000.0,6.780197873013094e-05,0.06780198216438293,1000.0,1.6871277694008313e-05,0.01687127724289894,1.0,0.0,0.0,0.55,0.0022175677586346865,0.0012196622556075454,1000.0,0.0001924411189975217,0.19244112074375153,64.45,7.633288987562992e-06,0.000491965445689857
300,0.3038266599178314,20.0,0.0011412788880988955,0.0228255782276392,0.0001,20.30326271057129,0.002030326286330819,0.0001,23.260334014892578,0.0023260333109647036,1000.0,6.607096293009818e-05,0.06607096642255783,1000.0,1.6472768038511276e-05,0.016472768038511276,1.0,0.0,0.0,0.6,0.002221599919721484,0.0013329599751159549,1000.0,0.00019225370488129556,0.1922537088394165,69.4,7.411165370285744e-06,0.0005143348826095462
325,0.30278950929641724,20.0,0.0011801747605204582,0.023603495210409164,0.0001,20.25634002685547,0.0020256340503692627,0.0001,23.218368530273438,0.002321836771443486,1000.0,6.45578620606102e-05,0.06455786526203156,1000.0,1.6147325368365273e-05,0.016147324815392494,1.0,0.0,0.0,0.65,0.0022144722752273083,0.001439406885765493,1000.0,0.0001921479415614158,0.19214794039726257,74.35,7.343865945586003e-06,0.0005460164393298328
350,0.3016904592514038,20.0,0.0012172276619821787,0.024344552308321,0.0001,20.220508575439453,0.0020220507867634296,0.0001,23.192718505859375,0.0023192716762423515,1000.0,6.31310322205536e-05,0.06313103437423706,1000.0,1.5792769772815518e-05,0.01579277031123638,1.0,0.0,0.0,0.7,0.002193399937823415,0.0015353799099102616,1000.0,0.00019198079826310277,0.19198079407215118,79.3,7.120023838069756e-06,0.0005646179197356105
375,0.3007800579071045,20.0,0.0012534128036350012,0.0250682570040226,0.0001,20.116193771362305,0.0020116192754358053,0.0001,23.115209579467773,0.002311520976945758,1000.0,6.192784348968416e-05,0.06192784383893013,1000.0,1.5487035852856934e-05,0.015487035736441612,1.0,0.0,0.0,0.75,0.002193670952692628,0.0016452532727271318,1000.0,0.00019173813052475452,0.19173812866210938,84.25,7.00768623573822e-06,0.000590397568885237
