node_a,node_b,min_distance_m,max_distance_m,mean_distance_m,ncs,mean_penetration_m,max_penetration_m
human.left_hand,bathtub,0.0004261615395080298,0.06909579038619995,0.018761927261948586,0.9998657142857142,0.006025570910423994,0.018282145261764526
human.left_foot,bathtub,0.0017123561119660735,0.17115266621112823,0.06623703986406326,0.9998657142857142,0.006025570910423994,0.018282145261764526
human.right_foot,floor,0.23571188747882843,0.3186100721359253,0.27094408869743347,0.9998657142857142,0.006025570910423994,0.018282145261764526
