iter,total,corr,reproj,scale_reg,t_reg,scale,tx,ty,tz
56,0.29242215,0.29229254,206.22715759,0.06460494,0.06500631,1.28939748,0.01899857,0.06877375,0.24477650
57,0.27604100,0.27590829,195.04129028,0.06642431,0.06627183,1.29398835,0.01824234,0.06679613,0.24794622
58,0.26034606,0.26021028,184.87115479,0.06824163,0.06754570,1.29852760,0.01751601,0.06487051,0.25105917
59,0.24532323,0.24518435,175.67971802,0.07005537,0.06882703,1.30301368,0.01683408,0.06300164,0.25411502
60,0.23095874,0.23081677,167.41940308,0.07186407,0.07011463,1.30744493,0.01620814,0.06119346,0.25711337
61,0.21723825,0.21709317,160.03466797,0.07366624,0.07140709,1.31181967,0.01564655,0.05944919,0.26005396
62,0.20414566,0.20399749,153.46502686,0.07546043,0.07270278,1.31613660,0.01515425,0.05777130,0.26293650
63,0.19166666,0.19151542,147.64724731,0.07724516,0.07399996,1.32039404,0.01473279,0.05616154,0.26576078
64,0.17978568,0.17963137,142.51762390,0.07901904,0.07529676,1.32459033,0.01438047,0.05462100,0.26852655
65,0.16848603,0.16832866,138.01310730,0.08078064,0.07659127,1.32872438,0.01409268,0.05315014,0.27123371
66,0.15775232,0.15759191,134.07301331,0.08252858,0.07788150,1.33279455,0.01386234,0.05174878,0.27388209
67,0.14756812,0.14740469,130.63931274,0.08426150,0.07916550,1.33679950,0.01368036,0.05041623,0.27647161
68,0.13791685,0.13775043,127.65746307,0.08597810,0.08044133,1.34073794,0.01353631,0.04915127,0.27900225
69,0.12878133,0.12861195,125.07639313,0.08767705,0.08170708,1.34460890,0.01341895,0.04795221,0.28147396
70,0.12014569,0.11997337,122.84899139,0.08935712,0.08296088,1.34841073,0.01331691,0.04681698,0.28388679
71,0.11199254,0.11181732,120.93196869,0.09101708,0.08420097,1.35214257,0.01321921,0.04574314,0.28624079
72,0.10430538,0.10412730,119.28627014,0.09265573,0.08542567,1.35580313,0.01311583,0.04472795,0.28853607
73,0.09706678,0.09688587,117.87675476,0.09427196,0.08663343,1.35939169,0.01299811,0.04376842,0.29077277
74,0.09025957,0.09007588,116.67266083,0.09586465,0.08782279,1.36290741,0.01285910,0.04286137,0.29295108
75,0.08386747,0.08368105,115.64714813,0.09743278,0.08899246,1.36634910,0.01269383,0.04200348,0.29507124
76,0.07787359,0.07768447,114.77731323,0.09897535,0.09014128,1.36971605,0.01249935,0.04119131,0.29713351
77,0.07226087,0.07206911,114.04382324,0.10049142,0.09126822,1.37300777,0.01227479,0.04042142,0.29913819
78,0.06701298,0.06681862,113.43029022,0.10198008,0.09237238,1.37622356,0.01202124,0.03969032,0.30108562
79,0.06211359,0.06191670,112.92343903,0.10344053,0.09345301,1.37936294,0.01174152,0.03899458,0.30297619
80,0.05754673,0.05734735,112.51161194,0.10487197,0.09450945,1.38242531,0.01143995,0.03833086,0.30481032
81,0.05329643,0.05309461,112.18521118,0.10627369,0.09554116,1.38541043,0.01112196,0.03769589,0.30658847
82,0.04934705,0.04914285,111.93543243,0.10764503,0.09654768,1.38831806,0.01079375,0.03708659,0.30831113
83,0.04568343,0.04547692,111.75443268,0.10898541,0.09752858,1.39114797,0.01046189,0.03650002,0.30997884
