frame_idx,num_active,sum_weight,visibility_mean,mask_gate_mean,reproj_mean_px,reproj_p50_px,reproj_p90_px
0,2118,2118.0,1.0,1.0,0.7071018815040588,0.7071067690849304,0.7071499228477478
1,2116,2116.0,1.0,0.9990556836128235,0.47605380415916443,0.4309719502925873,0.8450257778167725
2,2106,2106.0,1.0,0.9943342804908752,0.7133601307868958,0.6439536809921265,1.234830379486084
3,2081,2081.0,1.0,0.9825306534767151,0.8347467184066772,0.7624667882919312,1.4378162622451782
4,2022,2022.0,0.9693106412887573,0.9589235186576843,0.9474693536758423,0.829903244972229,1.6610676050186157
5,1954,1954.0,0.9419263601303101,0.9386213421821594,1.0043200254440308,0.8873780965805054,1.791015386581421
6,1942,1942.0,0.9367327690124512,0.9310670495033264,0.9435055255889893,0.7776720523834229,1.716383457183838
7,2047,2047.0,0.984891414642334,0.9683663845062256,0.9929218888282776,0.8421595096588135,1.7707035541534424
8,2069,2069.0,0.9905571341514587,0.9768649339675903,0.86672443151474,0.7299209833145142,1.604511022567749
9,2104,2104.0,1.0,0.9933899641036987,0.7558726668357849,0.645553708076477,1.3531193733215332
10,2112,2112.0,1.0,0.9971671104431152,0.661885678768158,0.5299815535545349,1.2337868213653564
11,2110,2110.0,1.0,0.9962228536605835,0.615573525428772,0.4989457130432129,1.119795322418213
12,2111,2111.0,1.0,0.9966949820518494,0.6087465882301331,0.47814828157424927,1.1363235712051392
13,2112,2112.0,1.0,0.9971671104431152,0.5891124606132507,0.43761664628982544,1.2193970680236816
14,2107,2107.0,1.0,0.9948064088821411,0.5856562852859497,0.45120182633399963,1.1840004920959473
15,2104,2104.0,1.0,0.9933899641036987,0.6889968514442444,0.5423688888549805,1.2615845203399658
16,2103,2103.0,1.0,0.9929178357124329,0.83574378490448,0.6754006743431091,1.4764457941055298
17,2102,2102.0,1.0,0.992445707321167,0.9371474385261536,0.7691448926925659,1.609166145324707
18,2092,2092.0,1.0,0.987724244594574,0.968538224697113,0.8189201354980469,1.6645324230194092
19,2096,2096.0,1.0,0.9896128177642822,1.1870180368423462,0.9765618443489075,2.1322383880615234
20,2082,2082.0,1.0,0.9830028414726257,1.5474272966384888,1.2776014804840088,2.839648485183716
21,2069,2069.0,1.0,0.9768649339675903,1.8051389455795288,1.5102691650390625,3.3284711837768555
22,2051,2051.0,1.0,0.9683663845062256,1.846214771270752,1.5424118041992188,3.364778757095337
23,2058,2058.0,1.0,0.9716714024543762,1.8247748613357544,1.5219604969024658,3.412053108215332
24,2047,2047.0,1.0,0.9664778113365173,1.85187566280365,1.542870283126831,3.4794187545776367
25,2066,2066.0,1.0,0.9754485487937927,2.063230514526367,1.7159887552261353,3.925065040588379
26,2045,2045.0,1.0,0.9655334949493408,2.274350166320801,1.9133280515670776,4.302026748657227
27,2067,2067.0,1.0,0.9759206771850586,2.6130621433258057,2.242788076400757,4.896401882171631
28,2029,2029.0,0.9891406893730164,0.9678942561149597,2.86523699760437,2.4980783462524414,5.294736385345459
29,2032,2032.0,0.9867799878120422,0.9669499397277832,3.411010265350342,3.0478973388671875,6.1808857917785645
30,2030,2030.0,0.9839470982551575,0.9678942561149597,3.5697102546691895,3.189103603363037,6.45176887512207
