interaction_name,clip_score,num_renders
interaction_01,0.2309945672750473,4
interaction_02,0.21640126779675484,4
interaction_03,0.24244018271565437,4
interaction_04,0.23929866403341293,4
interaction_05,0.27978069335222244,4
interaction_06,0.25542327389121056,4
interaction_07,0.2707868367433548,4
interaction_08,0.26463542381922406,3
interaction_09,0.28788768500089645,4
interaction_10,0.25005697707335156,3
interaction_11,0.25505295768380165,4
interaction_12,0.2558671869337559,4
interaction_13,0.2589276023209095,4
interaction_14,0.28492744266986847,2
interaction_15,0.23277711123228073,4
interaction_16,0.2664245218038559,2
__mean__,0.2557301496466001,58
