iter,total,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,object_scale_reg_raw,object_scale_reg_scaled
0,84.30833435058594,0.0,0.0,0.404228538274765,80.84571075439453,0.0106570515781641,1.598557710647583,0.0,0.0,0.05483780801296234,1.0967562198638916,0.0,0.0,0.0,0.0,3.212603405700065e-05,0.0012850413331761956,0.0005609316867776215,0.03365590050816536,0.0061031607910990715,0.7323793172836304,0.0,0.0
25,45.56747817993164,0.0005045231664553285,0.010090462863445282,0.21443016827106476,42.88603210449219,0.00710314093157649,1.0654711723327637,1.4814244423178025e-05,0.0002962848811876029,0.05453474074602127,1.090694785118103,0.0004978879005648196,0.04978879168629646,0.00016517657786607742,0.004955297335982323,2.6702575269155204e-05,0.0010681030107662082,0.0004480622592382133,0.02688373625278473,0.003594068344682455,0.4312882125377655,3.0202616471797228e-05,0.0009060784941539168
50,23.68965721130371,0.0014301968039944768,0.02860393561422825,0.10679275542497635,21.358551025390625,0.00500069884583354,0.7501048445701599,4.4403208448784426e-05,0.0008880641544237733,0.054033972322940826,1.0806794166564941,0.0014179846039041877,0.1417984664440155,0.0003591554705053568,0.010774664580821991,2.8444217605283484e-05,0.0011377687333151698,0.0005678162560798228,0.03406897559762001,0.0023285425268113613,0.27942511439323425,0.0001207774257636629,0.003623322816565633
75,11.492693901062012,0.0025281787384301424,0.05056357383728027,0.04655458778142929,9.310917854309082,0.0035267681814730167,0.5290152430534363,6.757230585208163e-05,0.001351446146145463,0.054042547941207886,1.0808509588241577,0.002414082642644644,0.24140825867652893,0.0004581305547617376,0.013743916526436806,3.3928452467080206e-05,0.0013571381568908691,0.0007028286345303059,0.0421697199344635,0.0017750300467014313,0.21300360560417175,0.00027706308173947036,0.008311892859637737
100,5.620617389678955,0.003700275206938386,0.07400550693273544,0.017456699162721634,3.491339921951294,0.002318768063560128,0.34781521558761597,9.205485548591241e-05,0.0018410971388220787,0.0540405735373497,1.0808115005493164,0.0033235540613532066,0.33235540986061096,0.0004173315246589482,0.01251994539052248,4.2099989514099434e-05,0.001683999551460147,0.00090202217688784,0.05412133038043976,0.0017380842473357916,0.20857010781764984,0.0005184402107261121,0.015553206205368042
125,3.2195863723754883,0.0046454803086817265,0.09290960431098938,0.005958534311503172,1.191706895828247,0.0012074577389284968,0.1811186671257019,0.00013522971130441874,0.0027045942842960358,0.05232536792755127,1.0465073585510254,0.004001157358288765,0.4001157283782959,0.00039155560079962015,0.011746668256819248,5.2180410420987755e-05,0.0020872163586318493,0.0009353950154036283,0.056123699992895126,0.0017403920646756887,0.2088470458984375,0.0008573009981773794,0.02571902982890606
150,2.3312299251556396,0.0055260988883674145,0.11052197962999344,0.0021651091519743204,0.4330218434333801,0.0005096356035210192,0.07644534111022949,0.00014428727445192635,0.002885745372623205,0.04882337898015976,0.9764676094055176,0.004303141962736845,0.43031418323516846,0.000450831837952137,0.01352495513856411,5.8206438552588224e-05,0.002328257542103529,0.0008912757039070129,0.053476542234420776,0.0016285751480609179,0.1954290121793747,0.001227143220603466,0.03681429475545883
175,2.136612892150879,0.006266700569540262,0.1253340095281601,0.0016681059496477246,0.33362120389938354,0.000265671347733587,0.03985070064663887,0.00015063393220771104,0.00301267858594656,0.046143416315317154,0.9228683114051819,0.004197210539132357,0.4197210669517517,0.0004117994976695627,0.012353984639048576,5.6820550526026636e-05,0.0022728219628334045,0.00087167345918715,0.052300408482551575,0.0015318747609853745,0.18382497131824493,0.0013817554572597146,0.041452664881944656
200,2.048314332962036,0.006792398635298014,0.13584797084331512,0.0016008758684620261,0.3201751708984375,0.0001717529958114028,0.025762949138879776,0.00018919834110420197,0.0037839668802917004,0.04416423663496971,0.8832847476005554,0.003973185550421476,0.3973185420036316,0.00035145244328305125,0.010543573647737503,5.3447696700459346e-05,0.0021379077807068825,0.0008553285151720047,0.05131971091032028,0.0014673378318548203,0.17608053982257843,0.0014019699301570654,0.042059097439050674
225,1.982205867767334,0.00724157365038991,0.14483147859573364,0.0015439876588061452,0.30879753828048706,0.00012339399836491793,0.018509099259972572,0.00021093685063533485,0.004218737129122019,0.04261268675327301,0.8522537350654602,0.0038000415079295635,0.3800041377544403,0.0003108413075096905,0.00932523887604475,5.081394920125604e-05,0.0020325579680502415,0.0008435078198090196,0.05061046779155731,0.0014136858517304063,0.16964229941368103,0.0013993544271215796,0.04198063164949417
250,1.921325445175171,0.0076761008240282536,0.15352201461791992,0.0014388880226761103,0.2877776026725769,7.080726936692372e-05,0.010621090419590473,0.00024748683790676296,0.004949736874550581,0.04136398062109947,0.8272796273231506,0.003694521728903055,0.36945217847824097,0.0002835501218214631,0.008506503887474537,4.8907342716120183e-05,0.001956293825060129,0.0008422192768193781,0.05053315684199333,0.0013745093019679189,0.16494111716747284,0.0013928652042523026,0.04178595542907715
275,1.8783212900161743,0.00809139758348465,0.161827951669693,0.0013827572111040354,0.2765514552593231,5.224630513112061e-05,0.007836945354938507,0.0002904919383581728,0.005809838883578777,0.0403093621134758,0.8061872720718384,0.003560745157301426,0.3560745120048523,0.0002641974715515971,0.00792592391371727,4.713603630079888e-05,0.0018854414811357856,0.0008463920094072819,0.05078352242708206,0.0013499236665666103,0.16199083626270294,0.0013815833954140544,0.04144750162959099
300,1.8469085693359375,0.008482019416987896,0.16964039206504822,0.0013749742647632957,0.2749948501586914,5.135705214343034e-05,0.00770355761051178,0.00030864562722854316,0.006172912660986185,0.03936033695936203,0.787206768989563,0.003397485241293907,0.3397485315799713,0.0002488370519131422,0.007465111557394266,4.5214379497338086e-05,0.0018085751216858625,0.0008502017008140683,0.051012102514505386,0.0013338066637516022,0.16005679965019226,0.0013699644478037953,0.041098933666944504
325,1.8202903270721436,0.008839714340865612,0.17679429054260254,0.0013710834318771958,0.2742166817188263,4.9625872634351254e-05,0.007443880662322044,0.00031999527709558606,0.006399905309081078,0.03852143883705139,0.7704287767410278,0.0032621491700410843,0.32621490955352783,0.00023754894209560007,0.007126468233764172,4.3644089601002634e-05,0.0017457635840401053,0.0008499766699969769,0.05099859833717346,0.001318258000537753,0.15819096565246582,0.0013576708734035492,0.040730126202106476
350,1.7971409559249878,0.009172096848487854,0.18344193696975708,0.0013658509124070406,0.2731701731681824,4.8788144340505823e-05,0.007318221498280764,0.0003426729526836425,0.006853458937257528,0.03778209164738655,0.7556418180465698,0.0031473194248974323,0.3147319555282593,0.000227832468226552,0.00683497404679656,4.238815017743036e-05,0.0016955260653048754,0.0008466903818771243,0.05080142244696617,0.0013025618391111493,0.1563074141740799,0.0013448013924062252,0.04034404084086418
375,1.776275873184204,0.009491574950516224,0.18983149528503418,0.001360305119305849,0.2720610201358795,4.780114977620542e-05,0.007170172408223152,0.00035878605558536947,0.007175721228122711,0.037130024284124374,0.7426005005836487,0.003042645286768675,0.30426451563835144,0.00021898571867495775,0.006569571793079376,4.130505840294063e-05,0.0016522023361176252,0.0008417584467679262,0.05050550773739815,0.0012879598652943969,0.15455518662929535,0.0013296592514961958,0.039889778941869736
400,1.7582502365112305,0.009795242920517921,0.19590485095977783,0.001359473099000752,0.271894633769989,4.690144123742357e-05,0.007035216316580772,0.00038279418367892504,0.007655883673578501,0.03654072806239128,0.7308145761489868,0.002945913700386882,0.29459136724472046,0.00021199329057708383,0.006359798833727837,4.03825324610807e-05,0.001615301240235567,0.0008357706246897578,0.05014623701572418,0.0012740148231387138,0.15288177132606506,0.001311685424298048,0.039350561797618866
425,1.7407972812652588,0.01008687075227499,0.2017374187707901,0.0013571986928582191,0.27143973112106323,4.7028839617269114e-05,0.007054326124489307,0.0003673537285067141,0.0073470743373036385,0.036010246723890305,0.7202049493789673,0.0028547383844852448,0.2854738235473633,0.00020528686582110822,0.006158606149256229,3.957427179557271e-05,0.001582970842719078,0.0008295598672702909,0.04977359250187874,0.0012605572119355202,0.15126687288284302,0.0012919357977807522,0.03875807300209999
450,1.725793480873108,0.010371708311140537,0.20743416249752045,0.001355013228021562,0.2710026502609253,4.595275458996184e-05,0.006892913021147251,0.000399266486056149,0.007985329255461693,0.035526540130376816,0.7105308175086975,0.00277169281616807,0.27716928720474243,0.000198901048861444,0.005967031233012676,3.885709884343669e-05,0.0015542840119451284,0.0008221416501328349,0.04932849854230881,0.001248380052857101,0.14980560541152954,0.0012707676505669951,0.038123030215501785
475,1.712157964706421,0.010643110610544682,0.21286220848560333,0.0013548213755711913,0.27096426486968994,4.6477802243316546e-05,0.006971670314669609,0.0004299874708522111,0.008599749766290188,0.03508119657635689,0.7016239166259766,0.002690901979804039,0.2690902054309845,0.00019226042786613107,0.005767812952399254,3.823569568339735e-05,0.001529427827335894,0.0008148067863658071,0.04888840764760971,0.0012366329319775105,0.14839595556259155,0.0012488110223785043,0.03746433183550835
500,1.6992982625961304,0.010905283503234386,0.21810567378997803,0.00135352136567235,0.2707042694091797,4.715145405498333e-05,0.007072717882692814,0.0004304935864638537,0.008609871380031109,0.034682925790548325,0.6936585307121277,0.0026177316904067993,0.26177316904067993,0.00018661058857105672,0.0055983178317546844,3.768357782973908e-05,0.0015073431422933936,0.0008069597533904016,0.0484175868332386,0.0012255709152668715,0.14706851541996002,0.0012260761577636003,0.03678228333592415
525,1.6870745420455933,0.011161540634930134,0.22323080897331238,0.0013505371753126383,0.2701074481010437,4.6608540287707e-05,0.006991281174123287,0.00043356954120099545,0.008671390824019909,0.03431835398077965,0.6863670945167542,0.002549272496253252,0.25492724776268005,0.00018085988995153457,0.005425796844065189,3.718899824889377e-05,0.0014875598717480898,0.000798882101662457,0.04793292656540871,0.0012151659466326237,0.14581991732120514,0.0012037621345371008,0.036112863570451736
550,1.675732135772705,0.01141092274338007,0.2282184511423111,0.0013480262132361531,0.26960524916648865,4.597604856826365e-05,0.006896407343447208,0.0004496500769164413,0.008993001654744148,0.033972688019275665,0.6794537305831909,0.0024832505732774734,0.24832504987716675,0.00017552512872498482,0.0052657537162303925,3.675832340377383e-05,0.0014703329652547836,0.0007913538720458746,0.0474812313914299,0.0012051501544192433,0.14461801946163177,0.001180158811621368,0.035404764115810394
575,1.6652604341506958,0.011653361842036247,0.23306724429130554,0.001345518627204001,0.2691037356853485,4.639316102839075e-05,0.0069589740596711636,0.00044898787746205926,0.008979757316410542,0.033661048859357834,0.6732209920883179,0.0024197655729949474,0.2419765591621399,0.00016993473400361836,0.005098042078316212,3.633828600868583e-05,0.001453531440347433,0.0007846380467526615,0.04707828164100647,0.0011970172636210918,0.14364206790924072,0.0011560478014871478,0.03468143567442894
600,1.6560956239700317,0.011890958063304424,0.23781916499137878,0.0013436322333291173,0.2687264382839203,4.572499165078625e-05,0.006858748849481344,0.0004975522169843316,0.009951043874025345,0.03337246924638748,0.6674493551254272,0.00235862098634243,0.2358621060848236,0.00016431586118414998,0.004929475951939821,3.5987184674013406e-05,0.0014394873287528753,0.0007764043402858078,0.04658425971865654,0.0011880500242114067,0.1425659954547882,0.0011303244391456246,0.03390973433852196
625,1.6468884944915771,0.012120261788368225,0.2424052357673645,0.0013446174561977386,0.26892349123954773,4.49363978987094e-05,0.006740459706634283,0.0004895085585303605,0.009790170937776566,0.0331074558198452,0.6621491312980652,0.002299108076840639,0.22991080582141876,0.00015962407633196563,0.00478872237727046,3.5640798159874976e-05,0.001425631926394999,0.0007680385606363416,0.04608231410384178,0.00117898965254426,0.1414787620306015,0.0011064622085541487,0.03319386765360832
650,1.6395212411880493,0.012348774820566177,0.24697549641132355,0.0013402437325567007,0.2680487334728241,4.6209122956497595e-05,0.006931368261575699,0.0005396875785663724,0.01079375110566616,0.032862041145563126,0.6572408080101013,0.0022452569101005793,0.22452569007873535,0.0001556925126351416,0.00467077549546957,3.535968062351458e-05,0.0014143872540444136,0.00076243159128353,0.04574589431285858,0.0011724961223080754,0.14069953560829163,0.0010824966011568904,0.03247489780187607
675,1.6312909126281738,0.012569712474942207,0.25139424204826355,0.0013408917002379894,0.2681783437728882,4.638073733076453e-05,0.006957110483199358,0.0005187341594137251,0.010374682955443859,0.032629236578941345,0.6525847315788269,0.002191082574427128,0.21910825371742249,0.00015000239363871515,0.004500071983784437,3.507182191242464e-05,0.001402872847393155,0.0007544727995991707,0.04526836797595024,0.0011645809281617403,0.1397497057914734,0.0010590864112600684,0.031772591173648834
700,1.6252548694610596,0.01278673205524683,0.2557346522808075,0.0013408864615485072,0.2681773006916046,4.753563189296983e-05,0.0071303448639810085,0.0005438129301182926,0.010876258835196495,0.0324137918651104,0.6482758522033691,0.002139069139957428,0.2139069139957428,0.0001460191997466609,0.004380575846880674,3.480907253106125e-05,0.0013923628721386194,0.0007506170077249408,0.04503701999783516,0.0011603948660194874,0.13924738764762878,0.0010365416528657079,0.03109624981880188
725,1.6178933382034302,0.01299628522247076,0.2599256932735443,0.0013413089327514172,0.26826179027557373,4.587848161463626e-05,0.0068817720748484135,0.0005338325863704085,0.010676652193069458,0.0322154201567173,0.6443083882331848,0.0020879318471997976,0.20879317820072174,0.00014070287579670548,0.004221086390316486,3.455313708400354e-05,0.0013821255415678024,0.000743035867344588,0.044582150876522064,0.0011535733938217163,0.13842880725860596,0.001014389214105904,0.030431676656007767
750,1.6112791299819946,0.013211091049015522,0.26422181725502014,0.001340406946837902,0.268081396818161,4.601246109814383e-05,0.006901869084686041,0.0005118306144140661,0.010236612521111965,0.03202803060412407,0.6405606269836426,0.002042385982349515,0.20423859357833862,0.0001365264761261642,0.004095794167369604,3.433810343267396e-05,0.0013735240790992975,0.00073625473305583,0.04417528212070465,0.0011465750867500901,0.1375890076160431,0.0009934903355315328,0.029804710298776627
775,1.6068679094314575,0.013413740321993828,0.26827481389045715,0.0013364426558837295,0.26728853583335876,4.696641190093942e-05,0.007044961676001549,0.0006003474118188024,0.01200694777071476,0.03185379132628441,0.6370758414268494,0.0019951905123889446,0.1995190531015396,0.00013206018775235862,0.00396180571988225,3.412931255297735e-05,0.0013651724439114332,0.0007325780461542308,0.04395468160510063,0.0011433310573920608,0.13719972968101501,0.000972539244685322,0.029176177456974983
800,1.5999020338058472,0.013621663674712181,0.2724332809448242,0.0013336787233129144,0.2667357325553894,4.6343295252881944e-05,0.006951494142413139,0.0005460851243697107,0.010921702720224857,0.031698718667030334,0.6339743733406067,0.0019538968335837126,0.19538968801498413,0.00012732736649923027,0.003819820936769247,3.397693581064232e-05,0.0013590774033218622,0.0007247826433740556,0.04348696023225784,0.001135507132858038,0.13626085221767426,0.0009522964246571064,0.028568893671035767
825,1.5953269004821777,0.013817540369927883,0.27635079622268677,0.0013389693340286613,0.2677938640117645,4.640030601876788e-05,0.006960046011954546,0.0005472732591442764,0.010945465415716171,0.03154463693499565,0.6308927536010742,0.0019089104607701302,0.19089104235172272,0.00012316188076511025,0.0036948565393686295,3.3718853956088424e-05,0.001348754158243537,0.0007161347893998027,0.042968086898326874,0.0011291512055322528,0.13549815118312836,0.0009327714215032756,0.02798314206302166
850,1.5900352001190186,0.01401578914374113,0.2803157866001129,0.0013324390165507793,0.26648780703544617,4.612070188159123e-05,0.0069181052967906,0.0005424600676633418,0.010849201120436192,0.03141021355986595,0.6282042860984802,0.0018690284341573715,0.18690285086631775,0.00011922646808670834,0.0035767939407378435,3.358570393174887e-05,0.0013434281572699547,0.0007139857625588775,0.04283914715051651,0.0011268079979345202,0.13521696627140045,0.0009126957156695426,0.027380870655179024
875,1.5867094993591309,0.014212612062692642,0.28425222635269165,0.0013303071027621627,0.2660614252090454,4.657270619645715e-05,0.006985906045883894,0.0005622163880616426,0.011244327761232853,0.03128599375486374,0.6257199048995972,0.0018322126707062125,0.1832212656736374,0.00011529060429893434,0.0034587180707603693,3.3383148547727615e-05,0.0013353258837014437,0.0007123544928617775,0.04274126887321472,0.0011238184524700046,0.13485822081565857,0.0008943615248426795,0.026830846443772316
900,1.5831390619277954,0.014401145279407501,0.28802290558815,0.0013298671692609787,0.26597344875335693,4.5097760448697954e-05,0.006764663849025965,0.000598799844738096,0.011975997127592564,0.03115754947066307,0.6231510043144226,0.001794398296624422,0.17943982779979706,0.0001113427642849274,0.003340282943099737,3.3234253351110965e-05,0.0013293700758367777,0.0007074526511132717,0.042447157204151154,0.0011197185376659036,0.1343662291765213,0.000877601036336273,0.026328030973672867
