frame_idx,prior_raw,prior_scaled,contact_raw,contact_scaled,dynamics_raw,dynamics_scaled,penetration_raw,penetration_scaled,smooth_raw,smooth_scaled,human_prior_raw,human_prior_scaled,human_smooth_raw,human_smooth_scaled,human_mask_2d_raw,human_mask_2d_scaled,object_mask_2d_raw,object_mask_2d_scaled,object_part_mask_2d_raw,object_part_mask_2d_scaled,total_raw_local,total_scaled_local
0,9.313306509284303e-05,0.001862661330960691,0.00019655526557471603,0.03931105136871338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.790617458638735e-05,0.0028743704315274954,4.6723780542379245e-05,0.005606853868812323,0.00038431829307228327,0.04965493455529213
1,3.752280827029608e-05,0.0007504561799578369,0.0001855471928138286,0.037109438329935074,1.3752727682003751e-05,0.002062909072265029,0.0,0.0,0.0005465217982418835,0.016395654529333115,0.0,0.0,0.0,0.0,0.0,0.0,3.580236807465553e-05,0.002148142084479332,4.348027869127691e-05,0.005217633210122585,0.0008626271737739444,0.06368423253297806
2,2.401398705842439e-05,0.0004802797338925302,0.00018032999651040882,0.036065999418497086,2.2772559532313608e-05,0.0034158839844167233,3.488251240924001e-05,0.0006976502481848001,0.0007816861034370959,0.023450583219528198,0.0,0.0,0.0,0.0,0.0,0.0,2.3326127120526507e-05,0.0013995675835758448,2.6377150788903236e-05,0.0031652580946683884,0.0010933884186670184,0.06867522746324539
3,3.2355019357055426e-05,0.0006471003871411085,0.0001772901596268639,0.0354580320417881,1.2977324331586715e-05,0.0019465986406430602,2.248226519441232e-05,0.0004496453038882464,0.000778075132984668,0.023342253640294075,0.0,0.0,0.0,0.0,0.0,0.0,1.8858048861147836e-05,0.0011314828880131245,3.643354284577072e-05,0.004372024908661842,0.0010784714249894023,0.06734713912010193
4,5.102744762552902e-05,0.0010205489816144109,0.00017904814740177244,0.035809628665447235,5.543452061829157e-06,0.0008315177983604372,9.316332580056041e-05,0.0018632665742188692,0.0004643592401407659,0.013930777087807655,0.0,0.0,0.0,0.0,0.0,0.0,1.6623187548248097e-05,0.0009973912965506315,3.6239478504285216e-05,0.004348737187683582,0.0008460042299702764,0.05880186706781387
5,6.467158527811989e-05,0.0012934317346662283,0.00019415539281908423,0.03883107751607895,9.534363925922662e-06,0.0014301545452326536,8.133878145599738e-05,0.001626775600016117,0.00017496419604867697,0.005248925648629665,0.0,0.0,0.0,0.0,0.0,0.0,1.3828676856064703e-05,0.0008297206368297338,3.806339009315707e-05,0.004567606840282679,0.0005765563691966236,0.053827691823244095
6,6.825556920375675e-05,0.001365111442282796,0.0002061405684798956,0.04122811555862427,8.7620255726506e-06,0.0013143038377165794,5.6094679166562855e-05,0.0011218935251235962,0.00032347047817893326,0.009704113937914371,0.0,0.0,0.0,0.0,0.0,0.0,1.3704353477805853e-05,0.0008222612086683512,2.8653365006903186e-05,0.003438403829932213,0.0007050810381770134,0.05899420380592346
7,6.167581159388646e-05,0.0012335162609815598,0.00018888160411734134,0.03777632117271423,1.1885531421285123e-05,0.001782829756848514,0.0,0.0,0.0007560496451333165,0.02268148958683014,0.0,0.0,0.0,0.0,0.0,0.0,1.785560198186431e-05,0.0010713360970839858,4.502979572862387e-05,0.005403575487434864,0.0010813779663294554,0.06994907557964325
8,4.2639439925551414e-05,0.0008527887985110283,0.00019262444402556866,0.03852488845586777,2.717039933486376e-06,0.0004075559845659882,0.0,0.0,0.0021059776190668344,0.06317932903766632,0.0,0.0,0.0,0.0,0.0,0.0,1.7711037799017504e-05,0.0010626622242853045,4.545972478808835e-05,0.005455167032778263,0.002407129155471921,0.10948239266872406
9,2.0722818590002134e-05,0.00041445635724812746,0.00018818254466168582,0.03763650730252266,2.9204550173744792e-06,0.00043806826579384506,0.0,0.0,0.0037359772250056267,0.11207931488752365,0.0,0.0,0.0,0.0,0.0,0.0,1.729998257360421e-05,0.0010379989398643374,4.0345898014493287e-05,0.004841507878154516,0.004005448427051306,0.1564478576183319
