iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,human_pose_weight,human_pose_raw,human_pose_scaled,human_pose_smooth_weight,human_pose_smooth_raw,human_pose_smooth_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,object_intersect_weight,object_intersect_raw,object_intersect_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,16.18400764465332,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.006049445830285549,6.049445629119873,1000.0,0.0006085518398322165,0.6085518598556519,15.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.005664020776748657,0.11328041553497314,1000.0,0.005534138530492783,5.5341386795043945,10000.0,0.0003878591232933104,3.878591299057007
25,13.017524719238281,20.0,2.9630446078954265e-06,5.926089215790853e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0047661783173680305,4.766178131103516,1000.0,0.000296513520879671,0.29651352763175964,15.0,1.3390073036134709e-05,0.00020085109281353652,100.0,2.5170945718855364e-06,0.00025170945446006954,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0056050498969852924,0.1121009960770607,1000.0,0.004761615302413702,4.76161527633667,10000.0,0.0003080604365095496,3.080604314804077
50,10.824346542358398,20.0,1.0066642062156461e-05,0.00020133284851908684,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0038233837112784386,3.8233838081359863,1000.0,0.000180437506060116,0.18043750524520874,15.0,4.9938171287067235e-05,0.0007490725838579237,100.0,4.3345212361600716e-06,0.000433452136348933,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0056122299283742905,0.11224459856748581,1000.0,0.004022021312266588,4.022021293640137,10000.0,0.0002684874925762415,2.684875011444092
75,9.087125778198242,20.0,2.045759538304992e-05,0.0004091518931090832,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0030678072944283485,3.067807197570801,1000.0,0.000125904509332031,0.12590451538562775,15.0,0.00010681695130188018,0.001602254225872457,100.0,6.0308539104880765e-06,0.00060308538377285,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0055933985859155655,0.11186797171831131,1000.0,0.0033952125813812017,3.3952126502990723,10000.0,0.00023837191110942513,2.3837192058563232
100,7.687640190124512,20.0,3.3379656088072807e-05,0.0006675930926576257,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0024537532590329647,2.4537532329559326,1000.0,0.00010134172043763101,0.10134171694517136,15.0,0.00018215319141745567,0.002732297871261835,100.0,7.713224476901814e-06,0.0007713224622420967,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.005602511111646891,0.11205022037029266,1000.0,0.0028975270688533783,2.897526979446411,10000.0,0.00021187971287872642,2.1187970638275146
125,6.538668632507324,20.0,4.8328973207389936e-05,0.0009665794786997139,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0019561895169317722,1.956189513206482,1000.0,8.660205639898777e-05,0.08660205453634262,15.0,0.0002752632717601955,0.004128949251025915,100.0,9.344641512143426e-06,0.0009344641584903002,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.005587143357843161,0.11174286901950836,1000.0,0.002498310524970293,2.4983105659484863,10000.0,0.0001879793853731826,1.8797938823699951
150,5.57466983795166,20.0,6.536618457175791e-05,0.0013073236914351583,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0015549834351986647,1.554983377456665,1000.0,7.223220745800063e-05,0.0722322091460228,15.0,0.0003852706868201494,0.005779060535132885,100.0,1.0795996786328033e-05,0.001079599722288549,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0056152986362576485,0.11230596899986267,1000.0,0.00216507725417614,2.1650772094726562,10000.0,0.00016619052621535957,1.661905288696289
175,4.751277446746826,20.0,8.479269308736548e-05,0.00169585389085114,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0012314374325796962,1.2314374446868896,1000.0,5.706377123715356e-05,0.05706376954913139,15.0,0.0005125089082866907,0.007687633857131004,100.0,1.2363510904833674e-05,0.0012363510904833674,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.005583459511399269,0.11166919022798538,1000.0,0.001878932467661798,1.8789324760437012,10000.0,0.0001461554493289441,1.4615545272827148
200,4.042979717254639,20.0,0.00010742058657342568,0.002148411702364683,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0009709912119433284,0.9709911942481995,1000.0,4.361169339972548e-05,0.04361169412732124,15.0,0.0006606125389225781,0.009909188374876976,100.0,1.398224412696436e-05,0.0013982243835926056,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.005525650456547737,0.11051300913095474,1000.0,0.0016278657130897045,1.6278656721115112,10000.0,0.00012765423161908984,1.27654230594635
225,3.4376072883605957,20.0,0.00013315239630173892,0.0026630479842424393,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0007647257298231125,0.7647257447242737,1000.0,3.276302959420718e-05,0.032763030380010605,15.0,0.0008294967119581997,0.0124424509704113,100.0,1.5565170542686246e-05,0.0015565170906484127,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.005526338703930378,0.11052677035331726,1000.0,0.0014072780031710863,1.407278060913086,10000.0,0.00011056515359086916,1.1056514978408813
