frame_idx,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled,total_raw_local,total_scaled_local
0,20.0,0.0008327892865054309,0.016655785962939262,0.0001,526.9660034179688,0.052696600556373596,0.0001,763.5393676757812,0.07635393738746643,1000.0,0.0,0.0,1000.0,0.0,0.0,1.754,0.008173326030373573,0.014336013235151768,1000.0,0.03107365407049656,31.073654174804688,183.646,0.0,0.0,1290.5455322265625,31.23369598388672
1,20.0,0.0008359705097973347,0.016719410195946693,0.0001,511.89984130859375,0.051189981400966644,0.0001,815.7821044921875,0.08157820999622345,1000.0,2.4717739961488405e-06,0.002471773885190487,1000.0,1.8913071471615694e-05,0.01891307160258293,1.754,0.0077902888879179955,0.013664166443049908,1000.0,0.031866688281297684,31.866687774658203,183.646,2.3210379367810674e-05,0.004262493457645178,1327.722412109375,32.055484771728516
2,20.0,0.0008328543626703322,0.016657087951898575,0.0001,493.2440185546875,0.0493244007229805,0.0001,788.03369140625,0.07880336791276932,1000.0,3.9262154132302385e-06,0.003926215227693319,1000.0,2.7615196813712828e-05,0.027615197002887726,1.754,0.007719971239566803,0.01354082953184843,1000.0,0.033514246344566345,33.51424789428711,183.646,7.821503095328808e-05,0.014363877475261688,1281.3199462890625,33.71847915649414
3,20.0,0.0008375468896701932,0.016750937327742577,0.0001,469.8587951660156,0.04698587954044342,0.0001,785.9278564453125,0.07859278470277786,1000.0,5.020410753786564e-06,0.005020410753786564,1000.0,5.368098572944291e-05,0.053680986166000366,1.754,0.007434961386024952,0.013040921650826931,1000.0,0.034694913774728775,34.69491195678711,183.646,6.376441160682589e-05,0.011710078455507755,1255.8297119140625,34.92069625854492
4,20.0,0.0008367854752577841,0.016735710203647614,0.0001,446.645263671875,0.044664524495601654,0.0001,783.66015625,0.07836601138114929,1000.0,3.4952815894939704e-06,0.0034952815622091293,1000.0,9.895989205688238e-05,0.09895989298820496,1.754,0.007157652638852596,0.012554522603750229,1000.0,0.03581003099679947,35.81003189086914,183.646,0.00012643424270208925,0.023219142109155655,1230.3494873046875,36.08802795410156
5,20.0,0.0008325875969603658,0.016651751473546028,0.0001,427.04595947265625,0.042704593390226364,0.0001,780.4820556640625,0.0780482068657875,1000.0,2.0090379621251486e-05,0.02009037882089615,1000.0,0.0001397864252794534,0.13978642225265503,1.754,0.007291899994015694,0.012789992615580559,1000.0,0.03675887733697891,36.75887680053711,183.646,0.00016067155229393393,0.029506687074899673,1207.5731201171875,37.098453521728516
6,20.0,0.0008101051207631826,0.016202103346586227,0.0001,413.66497802734375,0.041366495192050934,0.0001,787.83056640625,0.0787830576300621,1000.0,4.256374268152285e-06,0.004256374202668667,1000.0,0.0002128461201209575,0.21284611523151398,1.754,0.006757296621799469,0.011852297931909561,1000.0,0.03795211762189865,37.952117919921875,183.646,0.0002282002242282033,0.041908059269189835,1201.54150390625,38.35933303833008
7,20.0,0.0007868257234804332,0.015736514702439308,0.0001,400.3411865234375,0.04003411903977394,0.0001,815.7235717773438,0.08157235383987427,1000.0,7.884561455284711e-06,0.007884561084210873,1000.0,0.0003327202866785228,0.3327202796936035,1.754,0.007135355845093727,0.012515413574874401,1000.0,0.03846053034067154,38.46052932739258,183.646,0.0003566232044249773,0.0654924213886261,1216.11181640625,39.016483306884766
8,20.0,0.0007615004433318973,0.015230009332299232,0.0001,424.01824951171875,0.04240182414650917,0.0001,914.579833984375,0.09145797789096832,1000.0,8.828034879115876e-06,0.00882803462445736,1000.0,0.0005856647621840239,0.5856647491455078,1.754,0.007297202944755554,0.012799293734133244,1000.0,0.0386640764772892,38.66407775878906,183.646,0.0013456819579005241,0.24712909758090973,1338.6468505859375,39.66758728027344
9,20.0,0.000725659541785717,0.01451319083571434,0.0001,435.6575927734375,0.04356575757265091,0.0001,1009.0704956054688,0.10090705007314682,1000.0,9.729661542223766e-06,0.009729661978781223,1000.0,0.0004825531505048275,0.4825531542301178,1.754,0.008271056227385998,0.014507432468235493,1000.0,0.03805059567093849,38.050594329833984,183.646,0.0006386779714375734,0.11729065328836441,1444.7762451171875,38.83366012573242
10,20.0,0.0006946247885935009,0.01389249600470066,0.0001,442.1856994628906,0.04421856999397278,0.0001,1041.6405029296875,0.10416404902935028,1000.0,2.8273125280975364e-06,0.0028273125644773245,1000.0,0.0004064003296662122,0.40640032291412354,1.754,0.008207360282540321,0.01439570914953947,1000.0,0.037243686616420746,37.24368667602539,183.646,0.00021674683375749737,0.03980468958616257,1483.8729248046875,37.86939239501953
11,20.0,0.000664715887978673,0.01329431775957346,0.0001,444.554931640625,0.04445549100637436,0.0001,1059.0081787109375,0.10590081661939621,1000.0,1.076810690392449e-06,0.0010768106440082192,1000.0,0.0004054081509821117,0.4054081439971924,1.754,0.007271673530340195,0.012754514813423157,1000.0,0.037222862243652344,37.222862243652344,183.646,0.0001768191868904978,0.03247213736176491,1503.6087646484375,37.83822250366211
12,20.0,0.0006357097299769521,0.012714194133877754,0.0001,470.3721923828125,0.047037217766046524,0.0001,1120.8170166015625,0.11208169907331467,1000.0,1.258643351320643e-05,0.012586433440446854,1000.0,0.0003747257578652352,0.3747257590293884,1.754,0.006802354007959366,0.011931329034268856,1000.0,0.03592374175786972,35.92374038696289,183.646,0.0003286514838691801,0.0603555291891098,1591.2332763671875,36.555171966552734
13,20.0,0.0005970772472210228,0.011941544711589813,0.0001,482.2008361816406,0.048220083117485046,0.0001,1189.4139404296875,0.11894138902425766,1000.0,3.296266004326753e-05,0.03296266123652458,1000.0,0.0004175680805929005,0.4175680875778198,1.754,0.006540373433381319,0.011471814475953579,1000.0,0.03573112189769745,35.73112106323242,183.646,0.0002876836806535721,0.05283195525407791,1671.6583251953125,36.4250602722168
14,20.0,0.0005863490514457226,0.011726981028914452,0.0001,494.49615478515625,0.0494496151804924,0.0001,1220.8656005859375,0.1220865547657013,1000.0,1.589440444149659e-06,0.0015894403913989663,1000.0,0.0003928972873836756,0.39289727807044983,1.754,0.0070830280892550945,0.012423630803823471,1000.0,0.035530298948287964,35.53030014038086,183.646,0.00034871301613748074,0.06403975188732147,1715.4056396484375,36.184513092041016
15,20.0,0.0005772763979621232,0.01154552772641182,0.0001,495.84912109375,0.04958491027355194,0.0001,1232.5709228515625,0.12325708568096161,1000.0,5.726016752305441e-06,0.005726016592234373,1000.0,0.0004006109375040978,0.40061092376708984,1.754,0.006959913298487663,0.012207687832415104,1000.0,0.03624406456947327,36.24406433105469,183.646,0.0001747795904520899,0.03209757059812546,1728.46435546875,36.879093170166016
16,20.0,0.000577806553337723,0.011556130833923817,0.0001,497.32061767578125,0.049732059240341187,0.0001,1267.911865234375,0.12679117918014526,1000.0,4.4692467781715095e-05,0.04469246789813042,1000.0,0.0003352947533130646,0.3352947533130646,1.754,0.007005671970546246,0.012287948280572891,1000.0,0.03652844950556755,36.52845001220703,183.646,0.0002777708286885172,0.051011499017477036,1765.277099609375,37.159812927246094
17,20.0,0.0005611457163468003,0.01122291386127472,0.0001,518.63134765625,0.051863133907318115,0.0001,1303.4293212890625,0.13034293055534363,1000.0,4.585874648910249e-06,0.004585874732583761,1000.0,0.00036918121622875333,0.36918121576309204,1.754,0.007047234568744898,0.012360849417746067,1000.0,0.03803003206849098,38.030033111572266,183.646,0.00017813770682550967,0.032714277505874634,1822.10693359375,38.642303466796875
