frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_inliers,reproj_inlier_ratio,reproj_mean,reproj_median,reproj_p90,visibility_mean,delta_t,delta_rot_deg
0,1,715,715,715,1.0,0.7071073651313782,0.7071067690849304,0.7071283459663391,1.0,0.0,0.0
1,1,715,715,715,1.0,0.7900340557098389,0.5407506823539734,1.5349286317825317,1.0,1.13217294216156,35.95473128626616
2,1,715,710,712,0.9958041958041958,0.9014149904251099,0.6308951377868652,1.8362078666687014,1.0,0.048385024070739746,1.2691829949462077
3,1,715,714,714,0.9986013986013986,0.9438580870628357,0.701012909412384,1.8651835203170777,1.0,0.13553543388843536,3.4932308111827846
4,1,715,715,714,0.9986013986013986,1.0087735652923584,0.76910001039505,1.9991029739379884,1.0,0.10136468708515167,1.4585762354821061
5,1,715,715,714,0.9986013986013986,1.0432449579238892,0.7822757959365845,2.021055936813355,1.0,0.05100288614630699,1.490690986516842
6,1,715,682,691,0.9664335664335665,1.6909695863723755,1.1687865257263184,3.2265944480896,1.0,2.9308462142944336,97.40838036130376
7,1,715,670,683,0.9552447552447553,1.8738991022109985,1.281018853187561,3.3930302619934083,1.0,0.09856847673654556,4.616685599734592
8,1,715,680,677,0.9468531468531468,1.9463249444961548,1.286981463432312,3.766859340667726,1.0,0.07863111793994904,3.4882950243354127
9,1,715,679,679,0.9496503496503497,1.9910304546356201,1.3023838996887207,3.751791048049927,1.0,0.1316790133714676,2.0177090798647135
10,1,715,698,691,0.9664335664335665,1.8886756896972656,1.2454122304916382,4.102372074127198,1.0,2.8395776748657227,93.8212580066876
11,1,715,696,690,0.965034965034965,1.9056380987167358,1.2373641729354858,4.091592311859132,1.0,0.024807974696159363,0.7912999260192214
12,1,715,692,690,0.965034965034965,1.924729585647583,1.3081051111221313,4.029545307159424,1.0,0.0412125289440155,1.0195239847790012
13,1,715,682,688,0.9622377622377623,2.1489741802215576,1.5297203063964844,4.137022113800049,1.0,0.4350636601448059,12.714745156787234
14,1,715,687,680,0.951048951048951,2.181236743927002,1.5240908861160278,4.3395263671875,1.0,2.244896650314331,70.58486149359116
15,1,715,685,690,0.965034965034965,1.9060568809509277,1.5132960081100464,3.628529500961304,1.0,2.0809686183929443,63.679751430190606
16,1,715,664,690,0.965034965034965,1.8974897861480713,1.4076933860778809,3.569441032409668,1.0,0.19251832365989685,6.147523065167197
17,1,715,671,678,0.9482517482517483,2.0214762687683105,1.2677944898605347,4.437622451782227,1.0,1.804699182510376,54.33430384538182
18,1,715,671,680,0.951048951048951,2.094154119491577,1.3544504642486572,4.5797339439392095,1.0,0.07282397896051407,2.07226004254073
19,1,715,686,690,0.965034965034965,2.0753960609436035,1.5579278469085693,3.978999471664429,1.0,1.606265902519226,49.90650585465167
20,1,715,668,679,0.9496503496503497,2.2396323680877686,1.5879392623901367,4.380638599395753,1.0,1.3093985319137573,38.67606742707766
21,1,715,677,692,0.9678321678321679,2.0303564071655273,1.5679556131362915,3.476000547409058,1.0,1.754838466644287,51.15646198159788
