ablation_name,diversity_num_samples,diversity_num_clusters,diversity_entropy,diversity_cluster_size,physical_num_edges,physical_mean_min_contact_distance_m,physical_mean_max_contact_distance_m,physical_mean_contact_distance_m,physical_ncs,physical_mean_penetration_m,physical_max_penetration_m,semantics_clip_score,semantics_num_renders,vlm_target_object_score,vlm_human_action_score,vlm_contact_score,vlm_physical_plausibility_score,vlm_mean_score
full_method,23,15,2.5475313664679273,2.680842638015747,82,0.008864532950995626,0.08727801277882595,0.03870799694871665,0.9993880745341616,0.005106556269785632,0.01734050073782387,0.2724691110460654,221,5.0,4.391304347826087,4.0,4.043478260869565,4.358695652173913
initial_pose_gvhmr,23,15,2.5702812857620385,2.651418447494507,82,0.11727084866117525,0.21105345015454552,0.16296061295341105,0.9956355279503107,0.017105499899986644,0.04110110583512679,0.2704358504518219,221,5.0,3.652173913043478,2.869565217391304,3.4782608695652173,3.75
no_agentic_verification,23,15,2.5475313664679273,2.575474262237549,82,0.03591678031843385,0.1186700837970104,0.06978892369222814,0.9991303105590061,0.005264164049826239,0.017250498736520178,0.27124473258205084,221,5.0,4.391304347826087,3.8260869565217392,3.869565217391304,4.271739130434782
PhySIC,23,15,2.5850551150485948,2.572882890701294,82,0.19738430377602256,0.2945493486647137,0.24223316447008603,0.9983295652173912,0.010621566099839068,0.025528877276650697,0.2594554612170095,221,4.869565217391305,4.043478260869565,3.4782608695652173,3.782608695652174,4.043478260869565
